Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-10-31,110.36,38.72,75.94,9.61,11.75
2020-07-31,93.25,31.83,70.28,8.81,10.09
2020-04-30,80.11,27.82,80.21,8.24,8.62
2020-01-31,101.46,33.05,160.16,11.16,10.89
2019-10-31,82.64,28.40,60.84,9.97,9.27
2019-07-31,77.53,31.39,64.20,10.02,9.14
2019-04-30,67.32,29.53,60.65,9.52,8.33
2019-01-31,50.63,25.44,46.62,7.86,6.55
2018-10-31,48.91,26.16,50.17,6.85,6.43
2018-07-31,57.39,33.37,56.70,8.49,7.67
2018-04-30,51.08,32.54,97.91,8.12,7.07
2018-01-31,44.07,30.82,60.39,7.67,6.45
2017-10-31,36.29,28.35,48.55,7.06,5.66
2017-07-31,31.49,18.91,46.70,6.61,5.15
2017-04-30,30.90,17.97,23.41,7.07,5.26
2017-01-31,28.37,17.09,31.60,7.27,4.92
2016-10-31,26.24,16.19,45.20,7.44,4.78
2016-07-31,25.22,22.42,38.69,7.17,4.88
2016-04-30,21.42,21.64,53.44,6.53,4.39
2016-01-31,16.76,18.83,30.62,5.13,3.69
2015-10-31,18.11,21.30,25.60,4.28,4.13
2015-07-31,18.02,21.45,25.26,4.49,4.14
2015-04-30,17.79,21.82,24.31,3.96,4.07
2015-01-31,18.30,24.40,23.15,4.31,4.14
2014-10-31,16.72,23.06,24.05,4.07,3.74
2014-07-31,16.69,24.36,25.82,4.20,3.76
2014-04-30,18.14,27.90,59.73,4.86,4.16
2014-01-31,17.14,24.49,141.07,4.90,4.04
2013-10-31,16.12,23.70,559.55,4.92,3.86
2013-07-31,16.26,23.22,0.00,5.35,4.03
2013-04-30,17.63,24.65,109.00,6.10,4.54
2013-01-31,17.96,24.77,72.05,6.74,4.78
2012-10-31,14.40,19.86,26.03,5.88,4.01
2012-07-31,11.88,16.97,17.99,5.27,3.39
2012-04-30,13.21,19.64,18.60,5.79,3.95
2012-01-31,11.76,18.52,19.99,5.87,3.62
2011-10-31,10.89,18.30,20.42,5.11,3.62
2011-07-31,10.86,19.66,21.03,5.17,3.88
2011-04-30,11.35,22.14,27.00,4.84,4.27
2011-01-31,9.81,21.10,21.50,4.30,3.97
2010-10-31,8.47,18.60,24.64,2.63,3.59
2010-07-31,9.11,20.36,29.60,2.83,4.01
2010-04-30,8.92,20.16,19.20,2.88,3.96
2010-01-31,8.44,19.29,17.68,2.84,3.85
2009-10-31,8.04,19.50,16.77,2.81,3.70
2009-07-31,8.83,21.14,22.82,3.22,4.03
2009-04-30,7.85,18.14,22.26,3.03,3.53
2009-01-31,6.02,13.77,41.28,2.45,2.67
2008-10-31,8.73,19.61,64.39,3.60,3.92
2008-07-31,10.97,25.06,79.34,4.57,5.05
2008-04-30,10.22,24.33,56.95,4.05,5.08
2008-01-31,10.22,26.04,42.11,3.91,5.73
2007-10-31,9.60,24.92,29.29,3.66,5.81
2007-07-31,7.04,19.41,19.95,2.82,4.70
2007-04-30,7.25,20.85,25.84,2.85,4.98
2007-01-31,7.36,21.81,27.84,3.03,5.01
2006-10-31,7.23,25.83,30.06,3.11,4.94
