Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-18,247.01,64.49,61.06,5.60,11.03
2020-10-31,232.27,60.64,57.42,5.27,10.37
2020-07-31,194.85,76.11,51.96,4.60,8.96
2020-04-30,161.95,0.00,43.26,4.21,7.64
2020-01-31,182.31,911.55,42.02,4.80,8.86
2019-10-31,156.49,166.48,38.90,4.17,8.02
2019-07-31,154.50,129.83,37.64,7.02,8.26
2019-04-30,165.35,112.48,40.21,7.80,9.23
2019-01-31,151.97,105.53,42.02,7.50,8.84
2018-10-31,137.24,128.26,41.11,7.15,8.35
2018-07-31,137.15,135.79,40.86,7.67,8.69
2018-04-30,120.99,189.05,36.72,8.03,8.02
2018-01-31,113.91,670.06,37.99,8.01,7.90
2017-10-31,102.34,10234.00,40.48,8.37,7.39
2017-07-31,90.80,0.00,35.42,7.72,6.83
2017-04-30,86.12,430.60,34.41,7.73,6.78
2017-01-31,79.10,292.96,32.61,7.46,6.50
2016-10-31,75.16,250.53,33.28,7.69,6.50
2016-07-31,81.80,263.87,34.96,9.14,7.42
2016-04-30,75.80,0.00,30.24,9.20,7.16
2016-01-31,68.06,0.00,32.45,9.13,6.76
2015-10-31,77.71,0.00,40.88,10.86,8.06
2015-07-31,73.30,0.00,39.71,10.67,7.91
2015-04-30,72.82,0.00,41.55,11.28,8.16
2015-01-31,56.45,0.00,39.54,9.24,6.52
2014-10-31,63.99,0.00,47.37,10.65,7.75
2014-07-31,54.25,0.00,38.20,10.17,6.91
2014-04-30,51.65,0.00,41.35,10.13,7.13
2014-01-31,60.53,0.00,62.76,12.15,8.96
2013-10-31,53.36,0.00,51.43,11.05,8.44
2013-07-31,43.75,0.00,43.93,9.25,7.40
2013-04-30,41.11,0.00,38.13,9.85,7.22
2013-01-31,43.03,0.00,43.31,10.87,7.92
2012-10-31,36.50,0.00,38.66,9.95,7.12
2012-07-31,31.09,0.00,30.22,9.13,6.46
2012-04-30,38.93,0.00,42.38,11.87,8.63
2012-01-31,29.20,0.00,35.93,10.08,7.04
2011-10-31,33.29,0.00,47.70,12.09,8.73
2011-07-31,36.18,723.55,58.66,13.83,10.27
2011-04-30,34.65,407.65,55.51,14.78,10.67
2011-01-31,32.29,274.77,47.91,13.45,10.53
2010-10-31,29.02,211.04,49.10,12.58,9.93
2010-07-31,24.74,176.70,45.29,10.24,8.90
2010-04-30,21.40,138.06,41.79,9.54,8.01
2010-01-31,15.89,99.30,36.77,7.65,6.19
2009-10-31,14.19,96.19,36.16,8.14,5.78
2009-07-31,10.84,84.98,30.20,6.70,4.59
2009-04-30,10.70,101.93,27.79,7.16,4.73
2009-01-31,6.65,76.03,19.78,4.79,3.09
2008-10-31,7.74,103.20,21.64,6.11,3.84
2008-07-31,15.95,236.26,36.83,13.64,8.58
2008-04-30,16.68,303.32,41.21,15.93,9.82
2008-01-31,12.98,346.07,39.54,13.70,8.44
2007-10-31,14.09,626.33,57.66,16.59,10.10
2007-07-31,9.72,971.50,49.52,12.93,7.64
2007-04-30,10.50,0.00,50.82,15.69,8.97
2007-01-31,10.96,0.00,59.10,17.81,10.24
2006-10-31,9.76,780.40,35.56,17.27,10.14
