Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,117.99,88.05,0.00,5.26,5.58
2020-12-31,104.07,77.66,0.00,4.64,4.92
2020-09-30,85.66,54.56,481.24,3.83,4.15
2020-06-30,73.30,66.04,0.00,3.40,3.64
2020-03-31,51.95,74.21,0.00,2.88,2.68
2019-12-31,56.30,67.02,397.32,3.55,3.02
2019-09-30,47.66,50.70,0.00,3.09,2.65
2019-06-30,54.21,60.91,262.90,3.45,3.13
2019-03-31,40.59,38.29,72.69,3.65,2.32
2018-12-31,31.18,31.82,38.58,2.91,1.74
2018-09-30,45.55,92.96,37.97,4.33,2.50
2018-06-30,41.89,67.56,27.93,5.14,2.25
2018-03-31,41.06,82.12,26.83,5.13,2.24
2017-12-31,41.08,72.07,25.09,5.45,2.30
2017-09-30,39.92,45.89,28.05,5.10,2.33
2017-06-30,35.10,39.89,27.73,6.07,2.14
2017-03-31,28.32,33.32,30.90,5.50,1.80
2016-12-31,26.96,37.44,47.39,5.72,1.79
2016-09-30,25.84,31.51,122.87,5.25,1.74
2016-06-30,22.99,27.05,164.45,4.51,1.57
2016-03-31,26.67,16.57,56.41,5.51,1.82
2015-12-31,25.03,14.06,34.32,5.13,1.70
2015-09-30,24.30,12.72,23.84,5.07,1.65
2015-06-30,29.33,17.67,115.56,5.75,1.91
