Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,130.10,32.61,18.35,142.14,5.08
2020-09-30,137.34,29.47,18.12,245.52,5.46
2020-06-30,147.14,24.85,18.82,-194.16,5.98
2020-03-31,140.46,24.56,24.72,-78.91,5.90
2019-12-31,109.71,21.60,20.66,17.04,4.95
2019-09-30,95.19,20.38,17.83,17.34,4.39
2019-06-30,96.43,25.99,15.72,24.77,4.56
2019-03-31,97.56,26.09,16.10,23.19,4.72
2018-12-31,99.96,25.31,15.10,23.82,4.92
2018-09-30,108.11,124.26,16.05,19.33,5.45
2018-06-30,101.96,167.15,15.91,21.70,5.27
2018-03-31,90.25,155.60,14.54,23.65,4.83
2017-12-31,85.58,0.00,16.08,12.39,4.73
2017-09-30,74.71,25.33,13.89,5.64,4.20
2017-06-30,77.39,26.06,13.92,6.22,4.41
2017-03-31,81.10,26.68,13.52,7.07,4.66
2016-12-31,69.47,20.37,10.59,4.16,3.98
2016-09-30,66.28,22.17,9.54,4.39,4.57
2016-06-30,62.29,24.92,9.42,4.31,4.08
2016-03-31,61.12,25.79,9.66,4.57,3.85
2015-12-31,58.84,29.27,10.07,4.59,3.60
2015-09-30,53.89,30.79,11.64,4.06,2.75
2015-06-30,54.57,32.29,13.51,3.93,2.85
2015-03-31,49.68,36.53,12.07,3.79,2.64
2014-12-31,49.62,33.53,12.49,3.67,2.73
2014-09-30,55.49,33.83,12.91,4.33,3.18
2014-06-30,48.65,27.64,11.11,3.80,2.92
2014-03-31,44.68,24.96,10.66,2.42,2.80
2013-12-31,49.20,27.18,12.10,2.72,3.18
2013-09-30,54.92,32.89,13.58,3.02,3.63
2013-06-30,46.95,28.11,11.89,2.68,3.19
2013-03-31,56.12,30.83,14.86,3.29,3.98
2012-12-31,51.04,27.44,13.88,3.05,3.73
2012-09-30,59.52,32.35,17.42,3.67,4.58
2012-06-30,65.29,34.00,18.62,4.16,5.18
2012-03-31,61.38,33.00,17.80,4.11,5.06
2011-12-31,47.23,25.12,15.87,3.21,4.08
2011-09-30,42.41,23.69,13.91,2.97,3.82
2011-06-30,62.22,35.35,20.29,4.39,5.87
2011-03-31,57.14,36.16,20.17,4.10,5.58
2010-12-31,53.21,36.70,18.72,3.90,5.39
2010-09-30,53.08,37.12,18.32,3.98,5.57
2010-06-30,32.85,26.07,12.37,2.60,3.57
2010-03-31,36.92,29.78,14.30,2.94,4.14
2009-12-31,32.36,31.42,14.68,2.70,3.70
2009-09-30,30.51,34.28,17.96,2.62,3.58
2009-06-30,24.80,28.84,15.84,2.21,2.91
2009-03-31,17.61,21.74,12.34,1.65,2.08
2008-12-31,18.33,19.30,12.18,1.72,2.17
2008-09-30,19.65,20.68,12.64,1.94,2.35
2008-06-30,22.88,22.43,16.42,2.25,2.83
2008-03-31,22.81,20.19,14.11,2.27,2.93
2007-12-31,29.56,25.71,16.47,3.01,3.95
2007-09-30,31.36,27.51,17.49,3.45,4.44
2007-06-30,26.19,24.71,14.76,2.89,3.94
2007-03-31,24.91,24.67,15.86,2.86,3.96
2006-12-31,21.04,20.04,14.35,2.57,3.50
