Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,71.15,0.00,335.61,2.07,3.89
2020-09-30,78.30,0.00,369.34,2.28,3.90
2020-06-30,79.59,107.55,274.62,2.16,3.90
2020-03-31,70.00,31.82,261.38,1.79,3.32
2019-12-31,79.39,47.25,286.70,1.95,3.85
2019-09-30,76.81,57.75,151.41,2.11,3.92
2019-06-30,72.43,49.61,156.57,2.05,3.58
2019-03-31,70.96,33.79,87.89,2.06,3.55
2018-12-31,65.34,17.52,82.44,2.02,3.19
2018-09-30,63.55,12.68,1546.15,2.04,3.12
2018-06-30,60.94,12.86,0.00,1.99,3.04
2018-03-31,59.50,12.74,0.00,1.94,3.01
2017-12-31,70.71,14.40,0.00,2.35,3.56
2017-09-30,66.50,19.62,0.00,2.31,3.36
2017-06-30,65.61,18.96,0.00,2.40,3.30
2017-03-31,65.80,18.43,0.00,2.41,3.36
2016-12-31,64.33,18.70,0.00,2.40,3.37
2016-09-30,61.79,18.67,0.00,2.39,3.36
2016-06-30,64.23,20.01,0.00,2.56,3.49
2016-03-31,61.32,19.28,0.00,2.61,3.26
2015-12-31,54.66,17.03,0.00,2.39,2.77
2015-09-30,56.33,18.59,0.00,2.52,2.76
2015-06-30,53.03,18.10,0.00,2.45,2.57
2015-03-31,55.70,22.28,0.00,2.64,2.67
2014-12-31,59.90,26.74,0.00,2.93,2.81
2014-09-30,53.38,20.85,0.00,2.69,2.45
2014-06-30,54.78,20.75,0.00,2.76,2.44
2014-03-31,53.90,19.82,0.00,2.68,2.37
2013-12-31,48.70,16.62,0.00,2.43,2.15
2013-09-30,46.63,30.48,0.00,2.41,2.07
2013-06-30,41.99,46.15,0.00,2.20,1.87
2013-03-31,42.56,42.14,0.00,2.25,1.89
2012-12-31,37.51,37.14,0.00,2.03,1.68
2012-09-30,37.94,18.78,170.06,1.84,1.75
2012-06-30,38.32,16.31,186.92,1.84,1.71
2012-03-31,35.97,14.51,0.00,1.72,1.57
2011-12-31,36.90,15.12,0.00,1.83,1.54
2011-09-30,34.96,13.87,0.00,1.71,1.39
2011-06-30,32.91,11.71,0.00,1.60,1.30
2011-03-31,30.16,5.79,0.00,1.45,1.19
2010-12-31,28.51,6.09,0.00,1.38,1.13
2010-09-30,28.83,6.36,0.00,1.38,1.17
2010-06-30,25.31,5.56,0.00,1.23,1.05
2010-03-31,26.54,11.39,473.16,1.43,1.10
2009-12-31,24.84,10.10,0.00,1.33,0.99
2009-09-30,21.76,7.83,48.36,1.15,0.83
2009-06-30,20.80,7.85,38.52,1.12,0.75
2009-03-31,19.02,7.92,0.00,1.05,0.69
2008-12-31,21.68,6.86,0.00,1.25,0.79
2008-09-30,25.60,8.31,0.00,1.42,1.02
2008-06-30,28.17,4.83,0.00,1.84,1.21
2008-03-31,24.02,5.26,0.00,1.46,1.05
2007-12-31,27.64,6.86,0.00,1.70,1.26
2007-09-30,24.35,6.85,0.00,1.52,0.99
2007-06-30,24.73,28.92,0.00,1.37,1.01
2007-03-31,25.23,13.67,39.65,1.36,1.04
2006-12-31,23.63,12.03,48.03,1.28,0.96
