Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,30.58,0.00,0.00,5.81,0.80
2020-06-30,28.05,0.00,1541.21,2.06,0.53
2020-03-31,28.53,5.29,8.01,1.27,0.41
2019-12-31,58.08,7.93,10.87,2.43,0.81
2019-09-30,56.78,8.00,19.99,2.44,0.81
2019-06-30,55.59,8.30,34.30,2.59,0.82
2019-03-31,50.29,8.44,54.88,2.55,0.77
2018-12-31,48.24,8.55,312.85,2.40,0.76
2018-09-30,55.56,11.22,14.38,2.78,0.89
2018-06-30,47.27,10.10,11.95,2.54,0.78
2018-03-31,52.00,10.63,13.30,2.91,0.89
2017-12-31,52.82,10.69,33.74,2.98,0.93
2017-09-30,45.21,9.08,48.04,2.30,0.82
2017-06-30,50.06,9.95,29.53,2.69,0.94
2017-03-31,42.64,7.92,16.07,2.42,0.81
2016-12-31,45.45,7.88,8.97,2.70,0.88
2016-09-30,36.20,5.86,6.75,2.13,0.70
2016-06-30,33.32,5.43,5.87,2.11,0.65
2016-03-31,44.39,7.47,8.70,3.04,0.87
2015-12-31,46.08,8.18,7.44,3.31,0.91
2015-09-30,40.68,11.56,7.41,3.09,0.81
2015-06-30,37.13,16.22,8.05,3.09,0.75
2015-03-31,40.56,28.97,9.78,3.66,0.83
2014-12-31,44.29,59.05,13.54,4.15,0.92
2014-09-30,32.48,2.82,9.11,2.21,0.69
2014-06-30,34.70,2.74,11.23,2.40,0.76
2014-03-31,31.00,2.47,13.55,2.26,0.70
2013-12-31,24.53,2.00,10.61,1.79,0.56
2013-09-30,21.02,8.72,10.23,131.29,0.48
2013-06-30,16.62,8.11,11.21,-12.05,0.39
2013-03-31,14.67,13.97,28.51,-6.47,0.34
2012-12-31,10.55,8.86,17.65,-4.21,0.24
2012-09-30,8.14,4.84,5.36,-144.30,0.19
2012-06-30,9.73,8.84,8.95,-7.29,0.23
2012-03-31,8.81,5.76,4.79,-7.40,0.21
2011-12-31,7.19,7.19,3.84,-4.35,0.17
2011-09-30,6.66,12.81,8.21,4.63,0.16
2011-06-30,8.15,27.16,6.07,8.78,0.20
2011-03-31,8.71,13.82,5.67,9.71,0.22
2010-12-31,11.19,15.99,6.33,10.42,0.30
2010-09-30,10.34,15.91,9.13,11.41,0.28
2010-06-30,10.44,347.98,12.61,41.38,0.30
2010-03-31,12.96,0.00,20.29,141.82,0.38
2009-12-31,10.11,0.00,47.25,32.31,0.30
2009-09-30,7.96,0.00,0.00,6.89,0.20
2009-06-30,5.14,0.00,0.00,4.08,0.11
2009-03-31,5.00,0.00,0.00,7.44,0.10
2008-12-31,10.18,0.00,0.00,8.10,0.19
2008-09-30,6.62,0.00,0.00,0.85,0.13
2008-06-30,5.06,0.00,5.55,0.41,0.10
2008-03-31,7.64,0.00,20.03,0.56,0.15
