Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,69.79,0.00,16.47,1.34,2.52
2020-09-30,55.22,0.00,13.03,1.06,2.00
2020-06-30,52.59,0.00,17.82,1.03,1.89
2020-03-31,33.55,0.00,28.14,0.61,1.17
2019-12-31,62.76,93.65,0.00,1.12,2.18
2019-09-30,69.39,65.45,18.87,1.23,8.43
2019-06-30,72.75,61.12,73.86,1.28,8.71
2019-03-31,73.45,17.36,20.04,0.58,8.53
2018-12-31,73.17,14.78,57.28,0.58,2.52
2018-09-30,87.99,32.59,37.90,0.67,0.00
2018-06-30,89.71,29.60,0.00,0.69,14.09
