Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-10-31,225.27,25.89,8.44,5.46,2.01
2020-07-31,175.20,20.42,7.05,4.26,1.56
2020-04-30,143.44,16.26,7.25,3.78,1.24
2020-01-31,155.97,15.25,9.71,4.10,1.28
2019-10-31,170.53,16.82,13.88,4.68,1.40
2019-07-31,161.48,15.69,15.66,4.14,1.34
2019-04-30,160.72,15.66,25.70,4.27,1.34
2019-01-31,158.37,15.21,26.47,4.45,1.35
2018-10-31,130.11,18.05,17.68,3.67,1.14
2018-07-31,138.46,21.77,30.19,4.30,1.26
2018-04-30,128.78,23.20,22.35,4.01,1.25
2018-01-31,157.74,36.10,20.93,5.51,1.64
2017-10-31,125.47,18.90,13.34,4.22,1.36
2017-07-31,120.54,20.19,9.72,4.52,1.37
2017-04-30,104.37,18.81,7.09,4.34,1.23
2017-01-31,99.56,21.55,7.02,4.64,1.18
2016-10-31,81.64,16.97,5.90,3.94,0.97
2016-07-31,71.34,14.30,5.24,3.02,0.85
2016-04-30,76.65,15.42,6.23,3.36,0.90
2016-01-31,69.66,12.81,6.02,3.33,0.83
2015-10-31,70.02,12.16,5.72,3.28,0.82
2015-07-31,84.21,12.94,7.05,3.58,0.94
2015-04-30,80.10,10.96,6.78,3.27,0.86
2015-01-31,74.87,9.44,7.23,3.08,0.78
2014-10-31,74.68,8.66,7.66,2.85,0.76
2014-07-31,73.77,8.29,8.33,2.44,0.76
2014-04-30,80.37,8.80,9.06,2.74,0.83
2014-01-31,73.59,7.96,8.03,2.65,0.75
2013-10-31,69.67,7.67,8.94,2.54,0.72
2013-07-31,70.29,8.06,11.21,3.13,0.73
2013-04-30,75.09,9.23,27.96,3.52,0.79
2013-01-31,78.64,9.84,54.62,4.09,0.85
2012-10-31,71.05,9.30,44.02,4.02,0.79
2012-07-31,63.52,8.46,789.11,3.36,0.74
2012-04-30,67.71,9.38,29.28,3.64,0.83
2012-01-31,70.42,10.46,19.27,4.17,0.91
2011-10-31,61.71,9.31,13.35,3.68,0.82
2011-07-31,63.45,10.44,17.73,3.48,0.88
2011-04-30,78.40,13.45,34.29,4.43,1.15
2011-01-31,72.82,14.59,20.21,4.66,1.14
2010-10-31,61.27,14.05,12.26,4.10,1.01
2010-07-31,52.97,19.19,9.13,3.67,0.94
2010-04-30,47.28,20.47,5.91,3.55,0.87
2010-01-31,39.30,18.36,5.56,3.34,0.73
2009-10-31,35.66,17.39,9.73,3.13,0.65
2009-07-31,34.02,10.03,18.24,1.94,0.58
2009-04-30,31.87,8.57,24.65,1.96,0.51
2009-01-31,26.62,6.12,28.56,1.72,0.41
2008-10-31,29.34,6.24,9.83,1.90,0.45
2008-07-31,53.11,11.00,12.41,3.01,0.86
2008-04-30,63.39,13.50,15.42,3.72,1.09
2008-01-31,65.81,15.25,14.66,4.08,1.20
2007-10-31,58.05,14.50,12.63,3.57,1.10
2007-07-31,44.98,12.27,10.55,1.50,0.90
2007-04-30,40.71,11.96,12.57,1.15,0.83
2007-01-31,37.16,10.29,28.23,1.11,0.78
2006-10-31,31.41,8.76,28.59,1.91,0.67
