Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,57.17,17.59,3.10,1.71,1.33
2020-06-30,49.14,15.55,2.89,1.56,1.12
2020-03-31,34.62,5.18,2.05,1.10,0.78
2019-12-31,81.85,9.01,4.43,2.14,1.88
2019-09-30,77.84,8.79,4.82,2.09,1.84
2019-06-30,74.07,8.66,4.07,2.06,1.82
2019-03-31,67.58,8.30,3.78,1.95,1.74
2018-12-31,55.70,7.13,3.89,1.66,1.51
2018-09-30,71.78,10.60,4.34,2.20,2.04
2018-06-30,65.77,10.42,4.10,2.08,1.96
2018-03-31,66.89,11.53,4.72,2.16,2.08
2017-12-31,71.21,13.16,5.34,2.34,2.33
2017-09-30,59.38,10.20,4.86,1.94,2.04
2017-06-30,56.93,9.83,5.02,1.90,2.05
2017-03-31,62.30,10.63,6.05,2.11,2.34
2016-12-31,65.39,11.31,6.25,2.25,2.55
2016-09-30,51.02,9.24,5.27,1.78,2.06
2016-06-30,48.09,9.01,5.31,1.72,2.01
2016-03-31,45.46,8.74,5.16,1.66,1.95
2015-12-31,47.58,9.27,5.65,1.78,2.09
2015-09-30,45.90,9.45,5.57,1.74,2.09
2015-06-30,50.62,10.44,6.43,1.97,2.35
2015-03-31,49.27,10.12,6.21,1.95,2.33
2014-12-31,57.01,11.64,7.17,2.30,2.76
2014-09-30,55.85,10.62,7.17,2.25,2.72
2014-06-30,53.54,10.52,8.41,2.19,2.68
2014-03-31,50.05,10.13,8.12,2.13,2.56
2013-12-31,47.94,9.67,7.10,2.09,2.50
2013-09-30,43.14,11.57,8.85,1.95,3.04
2013-06-30,40.50,16.01,0.00,1.88,4.32
2013-03-31,37.96,14.94,0.00,1.82,4.14
2012-12-31,32.63,26.97,0.00,0.00,3.62
2012-11-30,35.10,15.95,0.00,0.00,2.66
2012-09-30,33.43,15.19,9.66,0.00,1.93
2012-08-31,32.59,15.02,8.15,1.81,1.94
2012-06-30,29.01,13.37,6.28,0.00,1.76
2012-05-31,27.78,23.54,0.00,1.61,2.25
2012-03-31,27.89,23.63,0.00,0.00,2.30
2012-02-29,25.10,0.00,0.00,1.51,2.10
2011-11-30,19.84,0.00,0.00,0.00,1.70
2011-08-31,20.90,0.00,633.44,1.41,1.79
2011-05-31,19.76,0.00,0.00,1.43,1.70
2011-02-28,17.99,0.00,88.86,1.42,1.57
2010-11-30,15.10,0.00,0.00,0.00,1.32
2010-08-31,11.97,0.00,0.00,1.07,1.05
2010-05-31,11.08,0.00,23.03,1.00,0.94
2010-02-28,11.23,0.00,11.12,0.87,0.93
2009-11-30,12.70,0.00,0.00,0.00,1.03
2009-08-31,11.28,0.00,0.00,0.73,0.91
2009-05-31,7.83,0.00,10.17,0.51,0.69
2009-02-28,4.68,0.00,0.00,0.38,0.45
2008-11-30,8.30,0.00,0.00,0.00,0.86
2008-08-31,13.28,0.00,4.20,1.06,1.38
2008-05-31,13.78,0.00,4.38,1.13,1.45
