Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-10-31,208.35,20.65,17.38,7.31,1.62
2020-07-31,189.75,20.63,15.49,6.42,1.55
2020-04-30,174.37,22.56,17.32,6.09,1.51
2020-01-31,152.27,22.90,27.00,5.72,1.42
2019-10-31,158.82,24.85,25.97,6.08,1.52
2019-07-31,132.49,21.27,22.76,5.05,1.30
2019-04-30,124.36,20.39,22.49,4.89,1.26
2019-01-31,113.55,18.99,21.40,4.59,1.18
2018-10-31,109.28,16.14,19.99,4.52,1.17
2018-07-31,96.03,14.91,18.35,4.00,1.06
2018-04-30,94.17,15.70,21.76,4.04,1.07
2018-01-31,100.30,17.72,23.70,4.40,1.17
2017-10-31,78.41,17.35,21.99,3.71,0.93
2017-07-31,72.67,16.40,20.19,3.49,0.89
2017-04-30,70.30,15.87,17.56,3.49,0.88
2017-01-31,71.10,16.01,19.04,3.62,0.92
2016-10-31,66.33,15.61,16.04,3.42,0.89
2016-07-31,90.64,21.23,24.32,4.72,1.25
2016-04-30,78.15,18.88,24.59,4.12,1.10
2016-01-31,71.40,18.08,23.73,3.81,1.04
2015-10-31,64.27,16.82,23.38,3.50,0.96
2015-07-31,75.98,20.31,23.09,4.13,1.17
2015-04-30,68.54,18.93,19.69,3.78,1.08
2015-01-31,63.03,18.01,20.17,3.35,1.02
2014-10-31,58.90,17.64,15.46,3.34,0.99
2014-07-31,51.91,15.73,15.23,3.09,0.90
2014-04-30,53.05,16.47,15.07,3.33,0.96
2014-01-31,52.94,16.70,17.80,3.11,0.98
2013-10-31,54.31,17.35,27.86,3.30,1.03
2013-07-31,51.38,17.07,25.56,3.18,1.01
2013-04-30,48.96,16.88,31.93,3.10,1.00
2013-01-31,43.44,15.19,25.88,2.85,0.91
2012-10-31,45.70,16.68,29.13,3.17,0.97
2012-07-31,47.94,18.30,38.66,3.33,1.05
2012-04-30,44.61,18.59,34.02,3.23,1.01
2012-01-31,40.05,18.04,25.76,2.90,0.93
2011-10-31,37.28,18.55,25.62,2.80,0.91
2011-07-31,29.57,15.73,21.73,2.31,0.74
2011-04-30,30.63,16.38,19.67,2.48,0.79
2011-01-31,26.14,14.44,22.21,2.20,0.69
2010-10-31,26.50,18.53,15.32,2.37,0.71
