Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,79.21,15.06,27.34,2.26,1.32
2020-12-31,68.75,13.07,23.73,1.96,1.14
2020-09-30,75.23,11.72,22.02,2.26,1.37
2020-06-30,55.02,9.95,16.48,1.77,1.08
2020-03-31,33.62,6.63,14.87,1.14,0.68
2019-12-31,52.01,11.06,18.35,1.81,1.08
2019-09-30,51.80,12.05,24.08,1.85,1.11
2019-06-30,42.25,10.13,52.90,1.59,0.94
2019-03-31,40.40,9.88,109.78,1.58,0.93
2018-12-31,33.70,8.28,32.59,1.35,0.79
2018-09-30,40.85,10.75,22.38,1.68,0.98
2018-06-30,39.59,11.64,14.65,1.70,0.96
2018-03-31,42.21,14.17,29.04,1.90,1.07
2017-12-31,49.04,18.37,77.39,2.29,1.28
2017-09-30,38.25,14.01,51.23,1.85,1.03
2017-06-30,33.02,12.41,54.21,1.66,0.91
2017-03-31,31.72,12.39,33.04,1.65,0.91
2016-12-31,25.94,10.46,19.10,1.39,0.77
2016-09-30,28.56,12.15,19.92,1.57,0.88
2016-06-30,29.70,13.26,18.99,1.70,0.96
2016-03-31,28.44,13.05,11.95,1.69,0.93
2015-12-31,30.04,14.58,13.55,1.83,1.02
2015-09-30,27.47,13.53,14.51,1.72,0.94
2015-06-30,25.54,13.88,2456.15,1.66,0.93
2015-03-31,26.52,17.00,0.00,1.79,1.05
2014-12-31,23.50,15.26,0.00,1.63,1.00
2014-09-30,19.02,12.59,0.00,1.35,0.87
2014-06-30,22.71,15.56,0.00,1.67,1.12
2014-03-31,19.97,12.80,0.00,1.49,1.05
2013-12-31,20.55,13.70,0.00,1.58,1.13
2013-09-30,17.89,13.35,0.00,1.42,1.04
2013-06-30,19.60,15.80,0.00,1.62,1.24
2013-03-31,22.38,7.36,0.00,1.93,1.56
2012-12-31,18.22,6.39,0.00,1.62,1.36
2012-09-30,18.81,6.86,0.00,1.68,1.47
2012-06-30,16.73,6.56,0.00,1.53,1.34
2012-03-31,13.77,32.80,0.00,1.62,1.11
2011-12-31,11.42,30.05,0.00,1.36,0.97
2011-09-30,8.16,35.48,0.00,0.98,0.72
2011-06-30,10.36,115.09,104.42,1.26,0.95
2011-03-31,10.44,65.26,13.78,1.28,0.86
2010-12-31,10.66,96.92,6.27,1.31,0.84
2010-09-30,9.90,13.95,4.57,1.20,0.74
2010-06-30,8.72,872.07,4.55,1.05,0.64
2010-03-31,11.15,0.00,6.11,1.37,0.91
2009-12-31,9.59,0.00,5.92,1.18,0.81
2009-09-30,10.03,0.00,2.80,1.33,0.87
2009-06-30,8.20,0.00,1.64,1.04,0.59
2009-03-31,8.46,0.00,1.46,1.01,0.54
2008-12-31,6.14,0.00,0.91,0.70,0.33
2008-09-30,11.26,0.00,1.90,1.26,0.53
2008-06-30,9.32,0.00,1.34,0.81,0.37
2008-03-31,13.47,0.00,2.26,1.04,0.46
2007-12-31,11.14,0.00,2.21,0.65,0.34
2007-09-30,10.70,0.00,2.56,0.60,0.30
2007-06-30,16.50,0.00,3.79,0.91,0.40
2007-03-31,18.09,7.80,10.91,0.87,0.41
2006-12-31,21.67,6.63,0.00,1.04,0.46
