Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,215.16,43.55,34.97,4.02,7.59
2020-06-30,176.53,37.80,34.25,3.45,6.73
2020-03-31,138.03,31.37,28.91,3.10,5.53
2019-12-31,152.86,37.74,33.32,3.51,6.19
2019-09-30,143.69,42.64,29.71,3.11,6.67
2019-06-30,142.02,41.65,29.47,3.16,6.35
2019-03-31,131.03,38.65,28.11,2.97,5.63
2018-12-31,102.21,27.40,21.07,2.54,4.26
2018-09-30,107.54,27.64,24.99,2.72,4.54
2018-06-30,97.51,25.87,21.44,2.51,4.19
2018-03-31,96.60,26.76,21.15,2.48,4.26
2017-12-31,91.42,25.90,21.96,2.42,4.16
2017-09-30,84.36,24.89,21.86,2.31,3.33
2017-06-30,82.86,26.39,23.79,2.34,3.34
2017-03-31,83.84,25.48,21.82,2.45,3.43
2016-12-31,76.18,20.81,18.12,2.28,3.16
2016-09-30,76.59,21.39,15.15,2.28,3.95
2016-06-30,74.70,14.85,13.87,2.05,4.03
2016-03-31,70.04,13.84,13.75,1.96,3.62
2015-12-31,68.46,14.38,14.48,1.98,3.38
2015-09-30,62.72,13.37,13.02,1.85,2.41
2015-06-30,62.90,17.33,13.17,1.78,2.28
2015-03-31,62.29,17.26,13.48,1.88,2.26
2014-12-31,62.79,17.30,13.68,1.89,2.28
2014-09-30,55.59,14.55,13.10,1.64,2.03
2014-06-30,57.53,15.51,13.79,1.69,2.10
2014-03-31,54.74,15.08,13.46,1.66,2.02
2013-12-31,56.27,14.81,13.18,1.75,2.09
2013-09-30,50.51,14.11,12.88,1.65,1.91
2013-06-30,46.10,13.14,11.64,1.57,1.77
2013-03-31,45.25,13.00,10.93,1.59,1.75
2012-12-31,40.68,12.11,9.81,1.47,1.59
2012-09-30,40.12,12.27,9.51,1.47,1.58
2012-06-30,37.87,11.69,9.90,1.43,1.49
2012-03-31,40.70,12.19,11.84,1.58,1.68
2011-12-31,34.17,10.99,10.45,1.38,1.49
2011-09-30,30.45,10.15,10.11,1.26,1.45
2011-06-30,38.45,11.98,12.93,1.59,2.00
2011-03-31,37.64,13.35,13.36,1.70,2.01
2010-12-31,34.20,12.98,12.33,1.63,1.86
2010-09-30,29.43,12.55,11.06,1.46,1.70
2010-06-30,26.89,14.00,10.39,1.46,1.59
2010-03-31,28.93,15.94,11.42,1.58,1.79
2009-12-31,27.21,15.73,11.21,1.51,1.73
2009-09-30,24.34,13.60,10.02,1.40,1.45
2009-06-30,22.32,12.26,9.61,1.35,1.28
2009-03-31,19.59,10.20,7.95,1.25,1.07
2008-12-31,20.44,10.35,8.24,1.33,1.08
2008-09-30,25.05,12.52,9.65,1.57,1.32
2008-06-30,27.89,12.76,10.96,1.77,1.52
2008-03-31,27.42,12.93,12.09,1.82,1.57
2007-12-31,31.63,15.10,13.90,2.21,1.88
2007-09-30,29.80,14.13,13.76,2.30,1.87
2007-06-30,27.20,15.24,12.18,2.29,1.75
2007-03-31,25.73,14.33,11.96,2.26,1.70
2006-12-31,26.08,14.99,11.94,2.42,1.79
