Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,50.79,24.66,11.47,2.17,3.27
2020-09-30,21.77,10.57,4.92,0.93,1.40
2020-06-30,21.10,10.71,4.69,0.94,1.36
2020-03-31,19.44,6.70,4.84,0.90,1.23
2019-12-31,32.74,11.37,7.48,1.49,2.10
2019-09-30,26.63,10.28,6.42,1.26,1.70
2019-06-30,30.70,12.79,7.19,1.47,1.98
2019-03-31,27.02,19.72,6.52,1.38,1.74
2018-12-31,24.74,29.81,6.82,1.28,1.60
2018-09-30,32.00,0.00,10.71,1.71,2.18
2018-06-30,27.50,0.00,9.64,1.49,1.98
2018-03-31,21.43,0.00,8.84,1.17,1.66
2017-12-31,22.38,0.00,8.63,1.85,1.88
2017-09-30,21.29,11.15,7.85,1.41,1.87
2017-06-30,25.83,13.67,11.82,1.77,2.33
2017-03-31,29.09,15.23,12.14,2.10,2.68
2016-12-31,27.41,13.98,12.94,2.06,2.59
2016-09-30,26.92,15.12,12.21,2.03,2.60
2016-06-30,25.23,13.64,13.59,1.87,2.49
2016-03-31,28.63,17.56,15.50,2.16,2.89
2015-12-31,26.68,16.89,14.70,2.01,2.74
2015-09-30,26.01,16.06,18.05,1.98,2.69
2015-06-30,33.26,20.79,19.96,2.61,3.48
2015-03-31,30.76,13.67,20.72,2.50,3.28
2014-12-31,34.45,13.56,19.76,2.70,3.80
2014-09-30,37.80,12.73,23.37,2.84,4.32
2014-06-30,37.14,11.36,34.57,1.38,4.44
2014-03-31,41.35,13.78,25.26,1.54,4.10
2013-12-31,45.21,15.22,27.90,1.71,4.02
2013-09-30,42.21,15.24,68.12,1.61,3.95
2013-06-30,38.62,14.80,25.05,1.50,3.32
2013-03-31,39.37,15.44,37.48,1.54,3.74
2012-12-31,31.74,12.75,23.57,1.24,3.12
2012-09-30,29.80,10.88,11.05,1.14,2.65
2012-06-30,27.00,9.71,10.64,1.03,2.44
2012-03-31,25.30,9.58,9.52,0.98,2.36
2011-12-31,20.49,7.29,7.96,0.82,2.00
2011-09-30,18.81,7.77,8.29,0.78,1.92
2011-06-30,20.48,9.06,9.04,0.86,2.21
2011-03-31,19.95,10.56,11.91,0.87,2.24
2010-12-31,20.85,13.54,14.45,0.95,2.42
2010-09-30,21.78,15.23,14.11,0.92,2.53
2010-06-30,17.86,14.64,21.66,0.78,2.12
2010-03-31,16.90,12.07,12.66,0.75,2.05
2009-12-31,15.34,11.89,11.10,0.70,1.88
2009-09-30,14.45,12.24,12.63,0.68,1.69
2009-06-30,11.26,8.04,6.68,0.54,1.20
2009-03-31,8.01,7.09,4.96,0.40,0.76
2008-12-31,7.08,7.30,4.84,0.36,0.62
2008-09-30,7.13,59.38,6.08,0.36,0.80
2008-06-30,9.78,0.00,19.60,0.60,1.60
2008-03-31,9.45,0.00,39.80,0.59,2.61
2007-12-31,11.19,0.00,286.29,0.70,8.19
2007-09-30,12.85,33.81,0.00,0.77,0.00
2007-06-30,10.24,127.96,431.93,0.62,25.73
2007-03-31,8.52,0.00,0.00,0.52,23.79
2006-12-31,7.16,0.00,0.00,0.44,25.05
