Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,145.49,59.14,24.39,2.21,9.77
2020-06-30,139.79,49.22,21.87,2.12,9.36
2020-03-31,135.53,48.58,19.09,2.08,8.98
2019-12-31,115.81,49.28,17.08,2.28,7.55
2019-09-30,124.38,124.38,23.81,2.54,8.11
2019-06-30,111.91,102.67,18.87,2.23,7.36
2019-03-31,112.04,88.92,18.90,2.12,7.45
2018-12-31,99.39,81.47,16.29,1.89,6.74
2018-09-30,104.01,78.20,17.51,1.99,6.86
2018-06-30,102.34,104.42,21.21,1.95,6.81
2018-03-31,95.74,93.87,21.20,1.80,6.44
2017-12-31,102.50,101.49,25.73,1.91,6.97
2017-09-30,105.64,85.19,18.40,1.94,7.37
2017-06-30,100.06,39.87,36.83,3.23,6.94
2017-03-31,93.50,39.96,38.03,2.94,6.49
2016-12-31,85.58,38.90,32.46,2.65,5.95
2016-09-30,83.83,58.62,37.68,2.56,5.92
2016-06-30,93.19,202.59,16.44,3.15,6.82
2016-03-31,75.00,66.37,11.57,2.48,5.66
2015-12-31,63.44,39.41,9.98,2.05,4.95
2015-09-30,54.14,36.10,8.56,1.82,4.40
2015-06-30,54.52,26.99,9.12,1.90,4.48
2015-03-31,53.24,36.22,9.77,1.87,4.40
2014-12-31,52.82,53.89,10.54,1.83,4.35
2014-09-30,49.08,28.87,9.33,1.62,4.08
2014-06-30,45.32,23.12,8.55,1.48,3.84
2014-03-31,40.65,20.13,8.66,1.35,3.50
2013-12-31,37.04,17.64,9.55,1.30,3.24
2013-09-30,39.36,18.48,16.60,1.37,3.43
2013-06-30,44.58,30.96,0.00,1.60,3.89
2013-03-31,48.26,33.28,0.00,1.83,4.23
2012-12-31,48.41,32.93,0.00,1.73,4.32
2012-09-30,49.27,33.98,0.00,1.72,4.51
2012-06-30,52.42,37.71,132.54,2.11,4.85
2012-03-31,51.13,38.16,59.41,2.08,4.74
2011-12-31,45.63,34.57,22.14,1.87,4.20
2011-09-30,37.35,29.88,34.41,1.51,3.42
2011-06-30,41.34,39.37,0.00,1.91,3.80
2011-03-31,38.48,46.36,0.00,1.74,3.67
2010-12-31,33.70,50.30,0.00,1.50,3.32
2010-09-30,39.94,68.87,0.00,1.74,4.16
2010-06-30,37.03,58.77,0.00,1.59,4.09
2010-03-31,34.53,53.12,0.00,1.64,3.97
2009-12-31,31.76,52.06,16.77,1.49,3.82
2009-09-30,28.60,45.40,8.09,1.32,3.49
2009-06-30,22.25,38.36,6.35,1.01,2.77
2009-03-31,20.40,40.81,7.98,0.94,2.60
2008-12-31,20.00,50.00,10.22,0.93,2.65
2008-09-30,28.41,142.03,0.00,1.35,3.97
2008-06-30,24.43,271.43,0.00,1.18,3.52
2008-03-31,21.04,262.99,0.00,1.01,3.17
2007-12-31,22.53,62.59,0.00,1.41,3.49
2007-09-30,22.95,54.64,0.00,1.51,3.30
2007-06-30,21.78,30.25,0.00,1.41,3.06
2007-03-31,22.90,31.37,0.00,1.79,3.08
2006-12-31,19.50,41.48,0.00,1.49,2.46
