Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,36.44,62.84,0.00,2.66,14.15
2020-06-30,34.74,34.40,142.80,2.54,13.71
2020-03-31,31.54,28.68,264.41,2.31,12.39
2019-12-31,33.57,28.69,220.11,2.43,12.58
2019-09-30,32.67,29.17,58.62,2.38,11.72
2019-06-30,30.20,46.46,0.00,2.32,10.90
2019-03-31,29.01,29.30,0.00,2.23,10.75
2018-12-31,24.40,22.80,73.44,1.86,9.32
2018-09-30,26.52,18.81,0.00,2.01,10.74
2018-06-30,26.95,15.67,0.00,2.04,11.39
2018-03-31,24.41,5.35,106.02,1.90,10.58
2017-12-31,24.88,5.46,181.38,1.94,11.53
2017-09-30,25.41,6.09,4.18,1.90,12.99
2017-06-30,24.48,6.07,4.09,1.87,12.73
2017-03-31,22.85,23.80,16.50,2.32,11.91
2016-12-31,22.93,26.06,18.80,2.33,11.13
2016-09-30,23.41,28.54,21.85,2.37,12.65
2016-06-30,22.69,31.51,21.89,2.38,11.28
2016-03-31,19.03,11.13,4.47,2.06,8.90
2015-12-31,17.58,9.88,3.89,1.89,7.77
2015-09-30,15.63,9.19,3.39,1.63,5.57
2015-06-30,15.10,9.10,3.50,1.58,5.22
2015-03-31,17.55,23.72,15.39,2.09,5.73
2014-12-31,16.16,26.49,16.98,1.93,5.22
2014-09-30,13.62,16.41,8.18,1.44,4.76
2014-06-30,14.26,22.64,8.67,1.48,4.79
2014-03-31,13.13,29.84,7.49,1.43,4.41
2013-12-31,11.58,24.63,6.52,1.24,3.88
2013-09-30,11.76,83.97,22.53,1.27,3.52
2013-06-30,11.74,234.80,27.47,1.25,3.31
2013-03-31,12.67,0.00,178.70,1.36,3.42
2012-12-31,10.24,0.00,62.78,1.09,2.60
2012-09-30,10.72,0.00,2.38,1.12,2.66
2012-06-30,10.55,0.00,2.35,1.08,2.52
2012-03-31,10.21,0.00,2.11,1.01,2.30
2011-12-31,8.47,77.04,1.35,0.77,1.79
2011-09-30,7.28,0.00,1.88,0.66,1.69
2011-06-30,9.57,39.87,2.41,0.82,2.14
2011-03-31,9.46,55.63,2.34,0.79,1.94
2010-12-31,8.31,0.00,2.97,0.70,1.65
2010-09-30,7.62,0.00,3.80,0.64,1.53
2010-06-30,7.35,0.00,3.79,0.60,1.47
2010-03-31,7.93,0.00,4.34,0.61,1.58
2009-12-31,7.66,0.00,5.08,0.58,1.36
2009-09-30,7.45,0.00,3.38,0.55,0.96
2009-06-30,5.35,23.26,2.01,0.35,0.64
2009-03-31,3.29,6.46,1.39,0.17,0.38
2008-12-31,6.39,16.39,4.76,0.33,0.80
2008-09-30,13.66,21.35,0.00,0.70,1.62
2008-06-30,12.24,13.03,0.00,0.61,1.53
2008-03-31,12.21,11.20,0.00,0.60,1.63
2007-12-31,13.68,8.83,0.00,0.73,1.81
2007-09-30,17.44,11.47,885.19,0.91,2.75
2007-06-30,18.12,11.47,0.00,0.95,2.90
2007-03-31,21.84,14.86,0.00,1.14,3.56
2006-12-31,20.34,19.19,0.00,1.09,3.40
