Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,120.18,17.02,0.00,1.86,1.90
2020-09-30,114.02,16.15,0.00,1.77,1.81
2020-06-30,105.60,16.68,0.00,1.71,1.67
2020-03-31,92.40,15.71,0.00,1.48,1.41
2019-12-31,125.04,19.82,0.00,2.03,1.82
2019-09-30,126.98,21.31,0.00,2.14,1.75
2019-06-30,121.24,19.97,0.00,2.10,1.61
2019-03-31,117.41,18.43,0.00,1.95,1.53
2018-12-31,103.03,16.67,0.00,1.75,1.31
2018-09-30,101.13,15.03,118.64,1.72,1.33
2018-06-30,95.28,14.89,0.00,1.68,1.28
2018-03-31,95.13,15.59,0.00,1.67,1.30
2017-12-31,98.88,15.62,0.00,1.78,1.40
2017-09-30,96.24,17.63,0.00,1.75,1.41
2017-06-30,94.13,16.15,0.00,1.76,1.42
2017-03-31,90.19,15.88,0.00,1.67,1.43
2016-12-31,86.30,17.90,396.03,1.63,1.46
2016-09-30,81.36,17.92,63.01,1.60,1.43
2016-06-30,85.38,20.67,1985.65,1.74,1.55
2016-03-31,77.49,19.87,0.00,1.56,1.40
2015-12-31,67.99,16.75,0.00,1.39,1.18
2015-09-30,67.53,12.76,125.09,1.37,1.10
2015-06-30,62.13,13.22,98.49,1.30,1.01
2015-03-31,66.55,13.89,75.51,1.38,1.04
2014-12-31,70.62,13.85,0.00,1.50,1.02
2014-09-30,61.69,14.97,0.00,1.33,0.93
2014-06-30,62.58,14.32,0.00,1.38,0.96
2014-03-31,59.18,13.86,79.64,1.29,0.94
2013-12-31,52.41,13.90,29.21,1.17,0.95
2013-09-30,51.57,14.57,34.68,1.15,0.95
2013-06-30,51.85,13.94,19.45,1.20,0.97
2013-03-31,52.37,13.16,22.36,1.19,0.99
2012-12-31,45.59,12.84,18.37,1.06,0.89
2012-09-30,45.05,11.38,12.92,1.04,0.90
2012-06-30,44.13,11.86,17.53,1.06,0.87
2012-03-31,40.54,10.01,21.21,0.96,0.80
2011-12-31,39.68,9.49,12.45,0.95,0.76
2011-09-30,35.32,8.41,11.17,0.85,0.68
2011-06-30,35.63,8.71,10.59,0.88,0.69
2011-03-31,34.46,10.11,9.19,0.85,0.69
2010-12-31,31.52,8.41,6.81,0.79,0.62
2010-09-30,31.56,8.84,7.66,0.80,0.62
2010-06-30,30.97,8.67,6.45,0.79,0.62
2010-03-31,29.95,8.39,5.43,0.76,0.60
2009-12-31,28.93,8.82,5.47,0.76,0.59
2009-09-30,23.04,6.86,4.73,0.61,0.47
2009-06-30,20.67,5.94,0.00,0.55,0.40
2009-03-31,17.60,5.60,0.00,0.47,0.32
2008-12-31,22.19,6.62,17.14,0.60,0.39
2008-09-30,24.58,5.98,0.00,0.67,0.43
2008-06-30,25.69,6.09,0.00,0.71,0.46
2008-03-31,23.26,3.72,7.63,0.64,0.46
2007-12-31,25.94,4.54,0.00,0.72,0.53
2007-09-30,28.27,5.72,4.37,0.81,0.64
2007-06-30,27.84,5.79,3.17,0.81,0.63
2007-03-31,27.37,11.31,63.69,0.83,0.61
2006-12-31,27.35,11.30,40.56,0.83,0.60
