Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,20.83,0.00,18.84,2.53,1.56
2020-09-30,9.40,0.00,8.50,1.14,0.70
2020-06-30,10.89,0.00,15.10,1.24,0.73
2020-03-31,6.58,0.00,6.21,0.62,0.36
2019-12-31,24.42,0.00,18.73,1.58,1.60
2019-09-30,22.54,7.04,0.00,1.33,1.36
2019-06-30,26.62,3.30,0.00,1.56,1.60
2019-03-31,29.36,4.85,57.49,1.55,1.84
2018-12-31,20.91,3.26,0.00,1.02,1.19
2018-09-30,36.95,8.63,0.00,1.96,3.64
2018-06-30,40.59,0.00,282.24,1.63,4.30
2018-03-31,29.29,24.41,0.00,1.12,2.97
2017-12-31,38.08,14.37,366.85,1.42,3.06
2017-09-30,33.71,11.51,19.47,1.48,3.21
2017-06-30,29.31,6.68,3.58,1.36,1.96
2017-03-31,38.18,69.41,4.76,1.84,2.45
2016-12-31,41.73,0.00,13.05,1.72,3.14
2016-09-30,40.25,0.00,24.09,2.10,1.64
2016-06-30,33.03,0.00,0.00,1.94,1.31
2016-03-31,24.96,0.00,0.00,1.24,0.87
2015-12-31,28.83,0.00,0.00,1.10,0.89
2015-09-30,33.18,0.00,0.00,0.86,0.78
2015-06-30,52.89,0.00,415.50,1.08,1.13
2015-03-31,53.42,0.00,6.76,0.95,1.08
2014-12-31,53.99,13.88,0.00,0.84,1.06
2014-09-30,59.88,11.07,0.00,0.91,1.50
2014-06-30,69.49,17.42,0.00,1.09,2.07
2014-03-31,58.40,14.49,0.00,0.95,1.94
2013-12-31,53.79,0.00,0.00,1.07,2.08
2013-09-30,50.04,0.00,0.00,0.99,1.94
2013-06-30,44.78,0.00,0.00,0.91,1.89
2013-03-31,48.50,0.00,0.00,1.00,2.16
2012-12-31,44.57,0.00,0.00,0.85,1.88
2012-09-30,51.62,32.27,0.00,0.96,2.20
2012-06-30,49.32,8.36,0.00,0.90,1.81
2012-03-31,60.28,5.38,0.00,1.11,2.11
2011-12-31,52.40,4.68,0.00,0.99,1.91
2011-09-30,46.73,4.16,0.00,0.90,1.79
2011-06-30,66.25,4.90,0.00,1.29,2.87
2011-03-31,76.98,8.92,26.87,1.70,3.76
2010-12-31,65.74,6.37,8.65,1.47,2.90
2010-09-30,54.09,5.14,5.90,1.25,2.32
2010-06-30,50.77,7.41,4.91,1.33,2.30
2010-03-31,53.57,8.97,10.40,1.41,2.53
2009-12-31,60.97,0.00,0.00,1.75,3.35
2009-09-30,55.71,0.00,0.00,1.69,3.54
2009-06-30,44.99,0.00,0.00,1.46,1.79
2009-03-31,36.80,0.00,0.00,1.26,1.27
2008-12-31,53.92,0.00,34.71,1.40,1.73
2008-09-30,74.66,5.60,13.38,1.30,2.32
2008-06-30,98.21,10.80,21.38,1.86,3.96
2008-03-31,85.15,10.37,26.12,1.69,3.65
2007-12-31,72.45,9.07,31.77,1.46,3.26
2007-09-30,67.70,10.64,76.13,1.45,2.88
2007-06-30,63.59,10.09,34.36,1.44,2.77
2007-03-31,56.12,9.02,0.00,1.37,2.58
2006-12-31,54.27,8.56,0.00,1.38,2.49
