Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,50.25,6.52,18.74,9.65,3.53
2020-09-30,51.94,7.22,19.73,12.25,4.04
2020-06-30,52.13,7.87,13.69,12.66,4.47
2020-03-31,29.77,4.94,9.10,9.87,2.86
2019-12-31,35.60,17.03,11.76,9.87,3.58
2019-09-30,38.28,17.40,11.21,9.59,4.39
2019-06-30,38.66,15.10,14.52,7.93,4.33
2019-03-31,36.21,13.21,16.97,6.10,4.13
2018-12-31,27.26,10.61,13.28,3.97,3.16
2018-09-30,32.07,0.00,19.00,4.46,3.09
2018-06-30,35.22,0.00,17.88,4.87,3.52
2018-03-31,39.08,0.00,17.35,5.18,4.08
2017-12-31,36.65,0.00,15.73,4.69,4.00
2017-09-30,37.35,5.54,18.88,3.47,4.15
2017-06-30,33.91,5.12,18.33,3.17,3.93
2017-03-31,32.60,4.67,17.02,3.03,3.90
2016-12-31,28.84,4.47,14.99,2.97,3.57
2016-09-30,31.95,20.61,13.92,5.23,4.18
2016-06-30,22.74,13.86,10.77,3.99,3.07
2016-03-31,23.17,17.42,9.86,4.19,3.22
2015-12-31,26.69,18.66,9.55,4.81,3.79
2015-09-30,23.74,13.34,7.44,4.40,3.40
2015-06-30,23.02,12.31,5.84,1.42,3.29
2015-03-31,22.04,9.46,5.28,1.36,2.59
2014-12-31,21.44,0.00,5.26,1.32,2.11
2014-09-30,21.64,0.00,4.90,1.36,1.84
2014-06-30,19.13,0.00,4.69,1.25,1.47
2014-03-31,21.11,0.00,5.91,1.36,1.66
2013-12-31,20.96,9.62,6.36,1.15,1.72
2013-09-30,21.32,10.15,8.24,1.21,1.81
2013-06-30,19.76,9.78,8.20,1.18,1.73
2013-03-31,20.72,10.06,9.33,1.27,1.87
2012-12-31,19.49,9.79,9.95,1.21,1.82
2012-09-30,18.48,6.31,11.14,1.20,1.80
2012-06-30,16.05,5.61,10.97,1.09,1.61
2012-03-31,14.10,5.53,9.02,0.97,1.49
2011-12-31,11.59,4.69,6.58,0.83,1.31
2011-09-30,11.27,8.17,6.50,0.90,1.38
2011-06-30,12.33,9.27,6.99,0.98,1.62
2011-03-31,11.86,8.35,6.81,0.97,1.65
2010-12-31,10.63,7.82,6.98,0.90,1.54
2010-09-30,9.32,4.76,6.25,0.81,1.36
2010-06-30,7.49,3.94,5.07,0.69,1.09
2010-03-31,10.30,5.60,6.67,0.95,1.52
2009-12-31,8.99,4.94,5.01,0.85,1.34
2009-09-30,9.02,8.27,5.26,0.91,1.40
2009-06-30,6.55,5.45,3.78,0.71,1.03
2009-03-31,4.80,3.69,2.75,0.56,0.75
2008-12-31,5.33,3.92,3.02,0.62,0.82
2008-09-30,8.55,5.86,4.63,1.02,1.31
2008-06-30,10.44,26.78,5.81,1.19,1.67
2008-03-31,11.40,36.78,6.65,1.32,1.92
2007-12-31,12.68,52.84,7.98,1.46,2.27
2007-09-30,14.91,149.09,9.97,1.85,2.86
2007-06-30,12.30,12.42,8.91,1.46,2.55
2007-03-31,12.67,14.23,10.15,1.54,2.83
2006-12-31,11.49,14.54,9.45,1.44,2.75
