Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,199.40,0.00,41.88,9.41,4.07
2020-06-30,198.06,0.00,37.09,9.60,3.99
2020-03-31,154.77,29.26,27.42,5.05,3.02
2019-12-31,191.13,35.86,34.28,6.32,3.75
2019-09-30,195.64,37.55,33.33,6.55,4.19
2019-06-30,194.58,38.15,34.64,6.77,4.02
2019-03-31,173.56,34.44,37.12,6.05,3.46
2018-12-31,144.49,29.67,28.96,5.16,2.89
2018-09-30,153.26,28.12,36.81,5.55,3.09
2018-06-30,136.82,25.77,35.03,5.00,2.79
2018-03-31,133.27,26.03,31.07,5.01,2.77
2017-12-31,130.07,25.30,31.00,4.92,2.76
2017-09-30,124.29,27.93,34.66,4.92,2.71
2017-06-30,127.93,29.21,33.27,5.30,2.83
2017-03-31,120.46,28.41,31.24,5.08,2.70
2016-12-31,112.32,27.07,27.46,4.70,2.53
2016-09-30,116.28,32.30,25.09,4.88,2.62
2016-06-30,112.96,35.41,23.20,4.94,2.54
2016-03-31,105.90,31.90,20.08,4.67,2.38
2015-12-31,108.26,32.61,27.20,4.59,2.41
2015-09-30,103.53,27.76,25.45,4.47,2.27
2015-06-30,106.37,26.20,28.58,4.56,2.30
2015-03-31,107.29,26.30,35.95,4.61,2.30
2014-12-31,97.76,24.88,28.96,3.97,2.09
2014-09-30,107.06,28.47,30.79,4.14,2.31
2014-06-30,103.56,29.01,31.51,4.16,2.27
2014-03-31,100.19,30.92,32.95,4.14,2.24
2013-12-31,96.50,30.63,32.14,3.92,2.22
2013-09-30,91.15,30.49,35.44,4.01,2.17
2013-06-30,78.44,28.11,30.62,3.51,1.93
2013-03-31,73.63,27.07,32.44,3.50,1.85
2012-12-31,65.83,27.89,32.18,3.15,1.66
2012-09-30,59.14,30.64,52.13,2.87,1.59
2012-06-30,62.34,35.02,110.46,3.20,1.82
2012-03-31,55.98,33.12,41.55,2.81,1.77
2011-12-31,52.26,27.22,39.23,2.66,1.83
2011-09-30,44.03,20.58,19.67,4.14,1.59
2011-06-30,50.61,22.69,20.62,5.01,1.88
2011-03-31,45.65,20.29,19.27,4.78,1.75
2010-12-31,44.95,19.98,16.30,4.90,1.75
2010-09-30,45.08,20.77,21.51,5.31,1.77
2010-06-30,39.78,19.59,20.93,4.99,1.57
2010-03-31,38.80,20.53,17.98,4.86,1.55
2009-12-31,39.21,22.67,22.98,4.62,1.59
2009-09-30,40.52,25.65,19.68,4.89,1.68
2009-06-30,34.07,23.02,19.58,4.45,1.41
2009-03-31,30.24,18.66,23.75,4.49,1.24
2008-12-31,30.46,17.02,19.22,4.56,1.25
2008-09-30,41.88,21.93,27.62,4.65,1.73
2008-06-30,37.01,19.79,21.97,4.16,1.58
2008-03-31,37.28,21.18,19.98,4.47,1.65
2007-12-31,43.83,25.78,24.89,5.59,2.02
2007-09-30,40.30,25.34,23.39,5.82,1.92
2007-06-30,36.36,23.31,20.40,5.61,1.79
2007-03-31,36.52,24.67,22.99,5.66,1.86
2006-12-31,38.28,26.77,29.63,5.73,2.01
