Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,176.54,50.15,45.54,7.24,5.26
2020-09-30,156.20,43.51,40.29,6.40,4.89
2020-06-30,170.70,70.25,0.00,7.59,5.61
2020-03-31,118.31,53.78,0.00,5.91,4.00
2019-12-31,138.43,0.00,0.00,6.40,4.81
2019-09-30,138.58,0.00,0.00,6.56,4.91
2019-06-30,132.87,0.00,101.38,6.21,4.76
2019-03-31,116.05,0.00,67.48,5.37,4.16
2018-12-31,90.88,36.79,31.00,3.47,3.23
2018-09-30,126.93,34.49,34.21,4.72,4.51
2018-06-30,121.27,29.22,24.33,4.45,4.31
2018-03-31,113.81,26.34,22.74,4.10,4.07
2017-12-31,113.56,23.51,22.75,4.21,4.11
2017-09-30,101.71,23.01,17.71,3.86,3.72
2017-06-30,131.51,27.86,23.77,5.14,4.85
2017-03-31,130.49,29.39,24.57,5.31,4.87
2016-12-31,112.49,27.91,20.97,4.96,4.33
2016-09-30,127.70,32.33,26.15,5.48,5.14
2016-06-30,121.53,31.65,24.33,5.61,5.11
2016-03-31,107.89,29.32,21.38,5.07,4.76
2015-12-31,104.80,29.44,20.34,5.29,4.76
2015-09-30,91.21,26.59,17.76,4.76,4.23
2015-06-30,90.87,28.40,19.23,4.87,4.33
2015-03-31,86.79,28.64,19.16,4.72,4.27
2014-12-31,75.24,25.33,17.54,4.02,3.83
2014-09-30,69.32,24.85,16.47,3.52,3.60
2014-06-30,67.06,24.39,16.43,3.35,3.54
2014-03-31,62.67,22.96,15.79,3.19,3.34
2013-12-31,63.42,22.02,16.15,3.30,3.40
2013-09-30,54.58,20.67,15.11,3.02,2.98
2013-06-30,53.55,20.84,15.15,3.06,2.98
2013-03-31,52.14,21.20,14.21,3.08,3.00
2012-12-31,48.80,21.98,13.89,3.00,2.88
2012-09-30,41.85,17.08,11.88,2.65,2.59
2012-06-30,41.55,17.68,13.00,2.72,2.62
2012-03-31,39.31,19.56,13.31,2.59,2.52
2011-12-31,34.26,18.13,12.70,2.38,2.25
2011-09-30,27.06,15.20,10.31,1.84,1.75
2011-06-30,30.40,16.43,13.45,2.06,1.99
2011-03-31,33.87,15.90,16.37,2.35,2.26
2010-12-31,30.90,14.64,15.46,2.21,2.11
2010-09-30,26.95,12.96,13.40,1.92,1.91
2010-06-30,24.21,12.48,10.04,1.80,1.77
2010-03-31,30.84,16.67,12.90,2.35,2.30
2009-12-31,26.58,14.45,9.78,2.08,1.98
2009-09-30,25.04,13.39,10.22,2.02,1.98
2009-06-30,22.40,11.43,9.09,1.90,1.71
2009-03-31,20.95,10.32,8.49,1.92,1.55
2008-12-31,22.68,10.80,8.76,2.16,1.64
2008-09-30,29.41,14.07,9.83,2.59,1.96
2008-06-30,28.67,14.26,11.02,2.49,1.94
2008-03-31,29.37,14.83,12.05,2.63,2.06
2007-12-31,30.93,15.31,12.48,2.87,2.27
2007-09-30,32.40,15.96,15.50,3.10,2.50
2007-06-30,37.71,17.46,15.95,3.12,3.01
2007-03-31,30.91,14.18,12.56,4.17,2.53
2006-12-31,34.40,16.23,13.91,5.12,2.89
