Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,55.22,55.78,0.00,1.34,1.51
2020-09-30,50.30,50.81,0.00,1.22,1.37
2020-06-30,52.47,16.92,0.00,1.21,1.50
2020-03-31,52.93,15.34,0.00,1.24,1.48
2019-12-31,72.04,18.96,0.00,1.68,1.96
2019-09-30,71.44,0.00,0.00,1.67,1.92
2019-06-30,62.77,0.00,0.00,1.58,1.59
2019-03-31,57.65,0.00,0.00,1.48,1.46
2018-12-31,52.34,0.00,0.00,1.35,1.35
2018-09-30,61.74,43.48,0.00,1.41,1.57
2018-06-30,57.20,44.69,0.00,1.33,1.53
2018-03-31,57.01,44.19,0.00,1.34,1.51
2017-12-31,56.09,32.61,0.00,1.32,1.50
2017-09-30,67.81,15.31,0.00,1.51,1.86
2017-06-30,68.23,15.98,0.00,1.50,1.86
2017-03-31,68.98,16.19,0.00,1.58,1.91
2016-12-31,61.96,15.57,0.00,1.42,1.72
2016-09-30,61.71,22.94,64.31,1.44,1.80
2016-06-30,65.91,24.41,67.88,1.56,1.92
2016-03-31,60.63,20.14,40.54,1.45,1.74
2015-12-31,49.60,16.00,57.46,1.21,1.41
2015-09-30,52.42,11.37,0.00,1.25,1.40
2015-06-30,45.88,9.58,94.53,1.12,1.17
2015-03-31,51.19,9.70,0.00,1.27,1.30
2014-12-31,53.30,10.86,0.00,1.34,1.31
2014-09-30,45.24,9.92,0.00,1.16,1.12
2014-06-30,46.72,10.52,0.00,1.23,1.20
2014-03-31,45.23,18.02,0.00,1.23,1.15
2013-12-31,36.75,13.17,0.00,1.02,0.96
2013-09-30,36.28,157.75,0.00,1.03,0.94
2013-06-30,37.66,0.00,0.00,1.10,0.99
2013-03-31,39.07,0.00,0.00,1.13,1.07
2012-12-31,34.85,0.00,0.00,1.01,0.97
2012-09-30,34.98,0.00,0.00,0.95,1.18
2012-06-30,35.12,0.00,0.00,0.96,1.17
2012-03-31,32.08,0.00,0.00,0.90,1.03
2011-12-31,31.01,0.00,0.00,0.91,0.96
2011-09-30,28.42,9.57,0.00,0.77,0.91
2011-06-30,28.55,8.87,0.00,0.79,0.92
2011-03-31,26.74,7.17,0.00,0.74,0.88
2010-12-31,27.96,7.28,0.00,0.79,0.92
2010-09-30,24.71,6.21,8.25,0.70,0.65
2010-06-30,22.59,6.19,10.09,0.66,0.60
2010-03-31,24.10,9.45,8.46,0.71,0.64
2009-12-31,24.30,9.38,6.72,0.72,0.64
2009-09-30,23.26,8.95,0.00,0.69,0.61
2009-06-30,21.59,8.00,0.00,0.65,0.54
2009-03-31,19.58,5.53,0.00,0.58,0.47
2008-12-31,21.60,5.85,0.00,0.66,0.50
2008-09-30,26.56,7.24,0.00,0.85,0.63
2008-06-30,33.95,9.10,0.00,1.18,0.83
2008-03-31,32.19,10.00,40.96,1.12,0.81
2007-12-31,34.83,10.49,27.45,1.21,0.89
2007-09-30,35.99,10.14,14.14,1.26,0.95
2007-06-30,36.24,10.24,8.56,1.32,0.97
2007-03-31,31.56,8.31,8.27,1.15,0.84
2006-12-31,29.05,8.14,7.29,1.10,0.79
