Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,266.19,2218.25,40.44,17.69,6.86
2020-09-30,217.78,132.79,36.45,17.57,5.70
2020-06-30,187.87,102.66,41.60,17.10,4.81
2020-03-31,158.66,44.82,29.81,13.11,3.76
2019-12-31,205.11,40.46,43.01,16.02,4.77
2019-09-30,197.09,38.65,47.05,15.60,4.78
2019-06-30,181.02,37.48,37.77,14.82,4.51
2019-03-31,163.24,33.38,35.61,12.79,4.17
2018-12-31,127.93,29.27,27.39,10.68,3.37
2018-09-30,142.90,45.36,28.36,11.76,3.85
2018-06-30,139.93,47.43,27.20,10.91,3.84
2018-03-31,146.46,47.71,28.92,11.36,4.14
2017-12-31,124.13,43.10,25.22,9.96,3.64
2017-09-30,104.88,28.35,26.31,8.13,3.20
2017-06-30,93.05,27.78,26.74,7.78,2.93
2017-03-31,81.90,27.39,24.91,7.28,2.64
2016-12-31,73.59,25.37,23.92,7.08,2.42
2016-09-30,84.83,28.85,28.51,8.46,2.82
2016-06-30,86.90,29.26,25.89,8.91,2.91
2016-03-31,89.75,28.76,25.26,8.67,3.05
2015-12-31,83.53,26.77,22.65,8.53,2.88
2015-09-30,76.26,24.92,21.99,8.07,2.66
2015-06-30,81.67,28.86,21.43,8.38,2.93
2015-03-31,78.16,25.29,23.18,7.65,2.76
2014-12-31,71.41,24.45,21.87,7.06,2.54
2014-09-30,69.79,24.23,24.28,7.01,2.51
2014-06-30,69.18,22.68,26.53,6.85,2.48
2014-03-31,62.14,23.63,25.36,6.46,2.30
2013-12-31,69.78,27.47,31.31,6.97,2.65
2013-09-30,64.59,25.03,27.43,6.94,2.47
2013-06-30,60.60,23.49,31.27,7.12,2.35
2013-03-31,58.85,23.82,31.54,7.11,2.32
2012-12-31,54.86,23.34,29.93,6.80,2.18
2012-09-30,55.73,25.10,36.83,7.10,2.25
2012-06-30,48.99,22.68,27.55,6.93,2.00
2012-03-31,56.07,26.32,28.87,7.63,2.34
2011-12-31,50.83,24.09,27.32,7.45,2.15
2011-09-30,39.37,20.04,24.18,6.11,1.72
2011-06-30,47.15,27.10,28.07,7.03,2.15
2011-03-31,43.19,25.41,31.35,6.73,2.02
2010-12-31,36.17,23.64,27.12,5.93,1.75
2010-09-30,28.06,21.34,17.82,5.14,1.40
2010-06-30,24.73,20.70,14.47,4.98,1.27
2010-03-31,28.79,26.41,12.00,5.45,1.50
2009-12-31,21.46,21.04,9.84,4.21,1.14
2009-09-30,16.27,20.86,9.99,3.45,0.89
2009-06-30,14.34,25.83,13.62,3.39,0.77
2009-03-31,10.82,11.95,27.66,2.58,0.56
2008-12-31,13.59,12.76,28.29,3.23,0.68
2008-09-30,21.47,17.39,30.92,4.91,1.05
2008-06-30,19.99,16.59,23.71,4.71,0.99
2008-03-31,19.73,17.54,20.78,4.93,1.03
2007-12-31,18.76,16.75,19.55,5.28,1.01
2007-09-30,18.04,17.26,28.65,5.69,1.04
2007-06-30,19.34,17.90,22.99,6.27,1.15
2007-03-31,20.76,21.62,22.83,7.53,1.28
2006-12-31,17.34,19.82,12.17,4.44,1.10
