Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,111.92,34.23,11.61,2.46,1.80
2020-09-30,77.59,22.42,8.05,1.71,1.25
2020-06-30,68.60,16.30,7.43,1.52,1.08
2020-03-31,45.46,7.76,4.99,1.00,0.69
2019-12-31,76.26,13.97,9.79,1.72,1.14
2019-09-30,70.45,12.78,8.82,1.57,1.04
2019-06-30,73.66,11.38,9.73,1.70,1.08
2019-03-31,71.20,10.16,9.53,1.67,1.02
2018-12-31,68.07,9.05,9.54,1.62,0.96
2018-09-30,88.36,7.83,14.68,2.06,1.26
2018-06-30,91.74,8.64,13.62,2.24,1.32
2018-03-31,96.40,9.42,15.03,2.45,1.43
2017-12-31,84.14,8.31,12.03,2.19,1.29
2017-09-30,81.68,11.70,15.88,2.30,1.28
2017-06-30,75.36,11.92,17.02,2.23,1.21
2017-03-31,72.06,11.95,13.85,2.22,1.18
2016-12-31,66.64,11.43,12.36,2.12,1.10
2016-09-30,59.57,10.29,9.16,1.94,0.98
2016-06-30,59.34,9.99,9.77,1.97,0.96
2016-03-31,62.73,10.10,9.86,2.16,0.99
2015-12-31,58.25,10.29,8.94,2.14,0.90
2015-09-30,55.48,11.23,9.02,2.08,0.85
2015-06-30,69.74,15.10,9.32,2.70,1.08
2015-03-31,58.73,12.85,9.11,2.48,0.92
2014-12-31,63.97,12.92,11.33,2.65,1.02
2014-09-30,67.85,9.61,11.74,2.53,1.10
2014-06-30,72.96,9.55,14.62,2.75,1.20
2014-03-31,71.73,9.69,15.16,2.83,1.19
2013-12-31,66.87,8.98,12.86,2.63,1.12
2013-09-30,64.24,13.16,12.85,2.69,1.07
2013-06-30,57.52,14.75,12.81,2.63,0.97
2013-03-31,57.15,16.42,13.13,2.77,1.01
2012-12-31,55.43,18.30,12.56,2.82,1.01
2012-09-30,46.22,11.30,11.27,2.35,0.88
2012-06-30,40.65,9.54,12.53,2.65,0.80
2012-03-31,41.48,9.33,0.00,2.82,0.82
2011-12-31,31.19,6.44,28.07,2.25,0.62
2011-09-30,27.17,6.38,42.20,1.96,0.57
2011-06-30,40.18,9.42,21.94,2.96,0.89
2011-03-31,38.91,10.19,5.98,3.04,0.91
2010-12-31,32.78,10.98,14.91,2.85,0.82
2010-09-30,28.68,10.86,19.98,2.28,0.83
2010-06-30,20.54,9.49,13.87,1.77,0.62
2010-03-31,24.34,15.21,14.53,2.24,0.77
2009-12-31,22.86,24.58,7.14,2.19,0.76
2009-09-30,20.17,17.77,5.21,1.78,0.69
2009-06-30,14.16,12.76,5.60,1.30,0.44
2009-03-31,9.91,7.05,8.13,0.94,0.28
2008-12-31,11.50,5.16,5.05,1.07,0.30
2008-09-30,19.67,6.90,6.41,1.57,0.43
2008-06-30,24.41,10.59,6.84,1.85,0.56
2008-03-31,22.01,10.12,5.25,1.77,0.53
2007-12-31,21.39,11.95,8.86,1.64,0.53
2007-09-30,23.20,13.30,5.75,1.89,0.63
2007-06-30,22.21,10.10,7.69,1.72,0.58
2007-03-31,21.72,9.55,8.65,1.73,0.55
2006-12-31,20.19,8.23,6.39,1.66,0.49
