Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,79.90,29.48,16.54,5.36,2.88
2020-09-30,64.74,19.98,15.43,4.58,2.35
2020-06-30,60.81,19.00,14.64,4.61,2.16
2020-03-31,46.28,13.22,10.93,3.66,1.59
2019-12-31,73.57,21.02,17.84,5.32,2.47
2019-09-30,64.06,17.27,16.48,4.73,2.17
2019-06-30,63.38,18.00,18.65,4.43,2.17
2019-03-31,64.56,17.59,19.31,4.63,2.25
2018-12-31,55.92,15.58,16.94,4.16,2.00
2018-09-30,71.17,20.57,19.87,4.98,2.60
2018-06-30,63.83,19.52,18.19,4.74,2.40
2018-03-31,62.64,22.45,20.36,4.63,2.43
2017-12-31,63.48,25.60,24.74,4.80,2.57
2017-09-30,56.77,24.16,25.44,4.15,2.40
2017-06-30,53.44,23.75,22.04,4.26,2.33
2017-03-31,53.22,22.65,20.84,4.26,2.39
2016-12-31,49.20,19.92,14.38,4.09,2.20
2016-09-30,47.66,18.91,12.66,4.02,2.12
2016-06-30,45.20,16.03,11.24,3.66,2.82
2016-03-31,46.70,15.99,13.04,3.88,2.52
2015-12-31,40.66,10.78,14.01,3.49,1.95
2015-09-30,37.18,9.32,12.96,2.99,1.56
2015-06-30,46.21,12.87,14.22,3.48,1.91
2015-03-31,46.84,12.39,11.95,3.52,1.88
2014-12-31,50.65,16.18,12.06,3.65,2.00
2014-09-30,50.98,16.82,11.80,3.49,2.03
2014-06-30,53.69,15.12,13.10,3.45,1.55
2014-03-31,53.70,19.25,13.16,3.58,1.56
2013-12-31,56.05,20.09,13.51,3.63,1.63
2013-09-30,51.34,18.60,12.49,3.39,1.51
2013-06-30,42.99,20.97,11.01,3.00,1.27
2013-03-31,43.74,15.51,11.86,2.95,1.29
2012-12-31,41.17,14.76,11.50,2.80,1.22
2012-09-30,37.21,13.94,11.45,2.58,1.12
2012-06-30,35.63,10.83,11.38,2.44,1.09
2012-03-31,39.58,12.57,12.71,2.73,1.23
2011-12-31,35.07,11.17,10.34,2.49,1.10
2011-09-30,30.86,9.44,8.99,2.16,0.96
2011-06-30,41.67,12.86,11.99,2.83,1.34
2011-03-31,43.01,13.83,13.05,3.00,1.44
2010-12-31,41.85,14.38,13.14,3.06,1.46
2010-09-30,38.31,13.49,10.48,2.90,1.38
2010-06-30,31.57,12.48,8.19,2.61,1.21
2010-03-31,36.13,15.92,8.70,3.02,1.41
2009-12-31,30.35,13.61,7.76,2.56,1.18
2009-09-30,28.33,11.90,8.41,2.45,1.07
2009-06-30,22.69,8.76,7.32,1.97,0.82
2009-03-31,19.82,6.93,6.84,1.81,0.68
2008-12-31,25.14,8.22,8.01,2.27,0.83
2008-09-30,27.72,9.06,8.48,2.35,0.92
2008-06-30,33.40,11.28,10.54,2.66,1.10
2008-03-31,34.39,11.86,10.57,2.84,1.18
2007-12-31,37.65,13.35,12.46,3.23,1.34
2007-09-30,35.17,13.22,12.11,3.16,1.28
2007-06-30,30.75,12.18,11.68,2.80,1.17
2007-03-31,28.16,11.76,12.39,2.68,1.11
2006-12-31,28.65,12.40,11.14,2.79,1.16
