Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,62.51,0.00,18.14,1.81,2.93
2020-09-30,35.38,0.00,10.27,1.02,1.66
2020-06-30,49.48,81.11,16.78,1.41,1.99
2020-03-31,34.75,9.55,6.34,0.94,1.12
2019-12-31,80.78,17.11,24.94,2.17,2.70
2019-09-30,71.28,13.81,17.71,1.96,2.35
2019-06-30,89.17,14.50,22.59,2.51,2.86
2019-03-31,90.91,15.43,36.95,2.65,2.99
2018-12-31,83.11,14.11,25.13,2.49,2.79
2018-09-30,121.35,14.19,57.46,3.80,4.39
2018-06-30,118.19,17.72,120.96,3.92,4.93
2018-03-31,99.83,18.12,119.57,3.43,4.71
2017-12-31,102.18,22.91,160.73,3.63,5.27
2017-09-30,91.44,9144.37,64.65,3.80,5.10
2017-06-30,85.41,0.00,39.11,3.55,4.96
2017-03-31,91.88,0.00,43.38,3.81,5.76
2016-12-31,95.08,0.00,58.75,3.92,6.83
2016-09-30,90.79,0.00,0.00,4.24,7.05
2016-06-30,78.16,0.00,0.00,3.57,6.02
2016-03-31,67.85,0.00,0.00,3.01,4.76
2015-12-31,66.01,0.00,0.00,2.80,4.12
2015-09-30,67.75,0.00,0.00,2.80,3.20
2015-06-30,81.31,32.27,0.00,2.56,3.06
2015-03-31,85.01,22.37,0.00,2.67,2.87
2014-12-31,85.20,16.02,48.10,2.64,2.59
2014-09-30,91.46,16.42,58.24,2.83,2.93
2014-06-30,107.82,24.48,82.33,3.53,3.79
2014-03-31,90.38,20.90,41.00,3.08,3.25
2013-12-31,77.24,19.19,40.99,2.74,2.91
2013-09-30,77.83,38.43,129.15,2.86,3.08
2013-06-30,60.46,32.95,1081.59,2.29,2.50
2013-03-31,58.71,43.17,0.00,2.32,2.60
2012-12-31,55.30,52.67,0.00,2.26,2.56
2012-09-30,51.22,23.12,0.00,2.01,2.41
2012-06-30,41.12,16.03,0.00,1.66,1.94
2012-03-31,50.61,21.27,0.00,2.10,2.47
2011-12-31,44.81,21.96,0.00,1.91,2.36
2011-09-30,32.24,16.79,0.00,1.39,1.86
2011-06-30,47.38,61.14,0.00,2.11,3.14
2011-03-31,53.63,155.46,0.00,2.44,4.13
2010-12-31,41.30,131.12,0.00,2.05,3.43
2010-09-30,41.94,41.94,0.00,2.10,3.49
2010-06-30,44.32,38.53,0.00,2.22,4.08
2010-03-31,41.81,42.02,0.00,2.08,4.21
2009-12-31,43.71,40.47,0.00,2.21,4.58
2009-09-30,37.45,30.95,0.00,1.99,4.03
2009-06-30,30.39,7.07,0.00,1.64,2.20
2009-03-31,24.45,5.21,0.00,1.34,1.71
2008-12-31,29.66,6.11,0.00,1.64,2.09
2008-09-30,39.77,8.54,0.00,2.23,2.92
2008-06-30,58.26,29.65,0.00,3.90,6.40
2008-03-31,53.23,23.87,0.00,3.67,5.87
2007-12-31,39.55,18.06,0.00,2.79,4.61
2007-09-30,32.02,16.42,0.00,2.38,4.07
2007-06-30,32.30,15.06,0.00,2.51,4.12
2007-03-31,31.51,14.35,0.00,2.64,4.18
2006-12-31,27.55,10.52,0.00,2.45,3.45
