Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,757.45,148.52,545.71,6.39,11.27
2020-06-30,697.46,120.88,509.66,5.95,10.48
2020-03-31,617.74,104.00,408.94,6.12,9.34
2019-12-31,574.90,95.82,473.44,5.55,8.71
2019-09-30,565.64,95.87,0.00,5.51,8.62
2019-06-30,492.32,81.51,0.00,4.77,7.54
2019-03-31,440.17,84.65,0.00,4.39,6.80
2018-12-31,340.48,74.83,0.00,3.81,5.37
2018-09-30,415.59,103.64,0.00,4.67,6.64
2018-06-30,410.55,117.97,2127.20,4.71,6.71
2018-03-31,396.97,123.67,0.00,4.42,6.73
2017-12-31,427.80,143.08,2514.99,4.94,7.55
2017-09-30,419.52,138.46,0.00,5.02,7.70
2017-06-30,401.63,147.12,38.75,4.80,7.62
2017-03-31,372.97,133.68,33.17,4.46,7.18
2016-12-31,331.16,188.16,32.15,5.42,6.45
2016-09-30,332.03,307.44,32.47,5.13,6.57
2016-06-30,355.67,332.40,0.00,5.37,7.17
2016-03-31,301.83,206.73,0.00,4.35,6.24
2015-12-31,274.38,130.66,0.00,6.21,5.81
2015-09-30,237.10,0.00,0.00,9.12,5.06
2015-06-30,218.83,0.00,201.82,5.66,4.73
2015-03-31,199.35,0.00,2096.25,5.25,4.30
2014-12-31,192.71,0.00,812.08,4.79,4.19
2014-09-30,180.59,66.89,1023.77,3.71,4.01
2014-06-30,178.56,67.89,0.00,3.54,4.06
2014-03-31,157.10,85.85,0.00,3.11,3.66
2013-12-31,150.82,87.18,0.00,3.04,3.61
2013-09-30,156.09,90.23,0.00,3.17,3.88
2013-06-30,157.00,98.74,0.00,3.36,4.00
2013-03-31,183.85,63.40,0.00,3.87,4.93
2012-12-31,175.26,60.43,0.00,3.70,4.83
2012-09-30,175.13,73.89,0.00,3.81,5.01
2012-06-30,149.29,75.02,0.00,3.48,4.36
2012-03-31,133.82,70.43,0.00,3.08,4.02
2011-12-31,86.18,50.11,0.00,2.06,2.67
2011-09-30,75.50,45.48,0.00,1.77,2.42
2011-06-30,85.86,50.51,0.00,1.96,2.89
2011-03-31,77.43,76.66,0.00,1.82,2.69
2010-12-31,69.07,83.21,0.00,1.70,2.54
2010-09-30,86.99,88.77,0.00,2.16,3.33
2010-06-30,69.03,57.05,0.00,1.80,2.79
2010-03-31,82.73,48.67,0.00,2.77,3.55
2009-12-31,90.22,51.55,0.00,3.00,4.03
2009-09-30,78.19,19.31,0.00,2.69,3.75
2009-06-30,61.82,16.40,0.00,2.18,3.09
2009-03-31,47.72,14.08,0.00,1.94,2.50
2008-12-31,45.21,14.40,0.00,1.86,2.48
2008-09-30,59.04,256.68,0.00,2.63,3.30
2008-06-30,75.83,473.94,0.00,3.21,4.69
2008-03-31,56.51,403.66,0.00,2.46,3.91
2007-12-31,85.90,0.00,0.00,3.86,6.57
2007-09-30,75.38,235.56,0.00,3.36,6.49
2007-06-30,77.74,3887.17,0.00,5.58,7.04
2007-03-31,72.78,0.00,0.00,5.38,6.85
2006-12-31,64.27,0.00,0.00,5.34,6.37
