Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,50.81,20.01,11.42,1.76,7.43
2020-06-30,57.54,19.12,14.06,1.98,8.22
2020-03-31,59.76,19.03,18.56,2.06,8.49
2019-12-31,77.52,29.93,48.02,2.73,11.08
2019-09-30,82.06,38.53,54.60,2.93,11.85
2019-06-30,71.76,35.88,43.17,2.56,10.47
2019-03-31,70.66,47.74,52.88,2.55,10.41
2018-12-31,61.46,34.72,23.76,2.18,9.14
2018-09-30,61.69,34.27,23.52,2.17,9.25
2018-06-30,58.83,37.00,29.01,2.08,8.91
2018-03-31,56.43,31.18,22.16,1.97,8.64
2017-12-31,57.87,35.50,31.48,2.03,8.96
2017-09-30,59.36,29.10,23.57,2.08,9.28
2017-06-30,58.82,26.38,17.51,2.05,9.26
2017-03-31,55.18,24.09,17.96,1.93,8.75
2016-12-31,56.62,4.86,3.05,1.98,8.92
2016-09-30,56.15,4.90,3.27,1.99,8.49
2016-06-30,57.01,4.99,3.34,1.83,8.32
2016-03-31,61.64,5.30,3.60,1.99,8.70
2015-12-31,59.61,25.37,32.88,2.03,8.26
2015-09-30,54.51,22.81,19.24,1.85,7.65
2015-06-30,50.54,20.46,17.63,1.70,7.16
2015-03-31,55.64,27.82,22.88,1.90,7.95
2014-12-31,50.99,29.47,29.40,1.73,7.36
2014-09-30,43.41,30.15,35.87,1.47,6.22
2014-06-30,44.05,23.43,14.64,1.50,6.33
2014-03-31,40.23,16.29,8.80,1.36,5.79
2013-12-31,35.67,6.78,2.64,1.19,5.28
2013-09-30,36.38,5.93,2.50,1.20,5.86
2013-06-30,39.15,6.75,3.07,1.33,6.66
2013-03-31,36.85,7.05,3.27,1.27,6.51
2012-12-31,37.65,14.00,13.24,1.63,6.65
2012-09-30,37.70,20.38,0.00,1.84,8.04
2012-06-30,40.63,27.46,0.00,2.00,8.37
2012-03-31,40.58,13.53,23.44,2.03,8.28
2011-12-31,36.75,12.46,18.46,1.86,7.36
2011-09-30,33.09,10.12,5.80,1.68,5.70
2011-06-30,38.05,12.64,9.17,1.92,6.53
2011-03-31,35.57,30.14,20.60,1.94,6.06
2010-12-31,32.55,34.27,0.00,1.81,5.48
2010-09-30,29.54,65.64,0.00,1.72,5.31
2010-06-30,25.68,30.57,44.98,1.46,4.57
2010-03-31,23.97,20.48,13.73,1.31,4.21
2009-12-31,20.50,16.40,6.06,1.11,3.59
2009-09-30,18.43,19.00,5.56,1.00,2.92
2009-06-30,13.21,11.69,4.34,0.71,2.06
2009-03-31,10.68,8.54,5.87,0.57,1.64
2008-12-31,16.96,11.39,8.16,0.91,2.57
2008-09-30,24.85,12.06,11.87,1.31,3.80
2008-06-30,21.17,6.92,7.43,1.13,3.27
2008-03-31,22.69,6.41,6.72,1.21,3.60
2007-12-31,19.70,5.78,14.28,1.05,3.24
2007-09-30,22.58,5.12,5.32,1.19,3.85
2007-06-30,24.05,8.15,20.44,1.27,4.27
2007-03-31,25.17,10.03,132.60,1.28,4.56
2006-12-31,26.23,7.76,9.53,1.31,4.78
