Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,127.80,55.32,20.94,3.51,2.89
2020-09-30,101.36,29.81,16.61,2.78,2.25
2020-06-30,86.28,23.13,13.66,2.43,1.86
2020-03-31,75.88,14.88,11.90,2.12,1.52
2019-12-31,91.63,17.42,13.46,2.35,1.81
2019-09-30,79.78,14.17,12.32,2.07,1.57
2019-06-30,79.21,15.41,12.79,2.03,1.57
2019-03-31,75.96,15.10,14.43,1.98,1.52
2018-12-31,64.17,13.10,13.39,1.68,1.30
2018-09-30,80.34,16.50,16.58,2.07,1.66
2018-06-30,68.67,9.73,15.92,1.78,1.44
2018-03-31,72.76,10.67,16.16,1.84,1.56
2017-12-31,71.38,10.69,14.87,1.82,1.57
2017-09-30,68.85,10.81,16.07,1.82,1.55
2017-06-30,69.22,15.80,15.84,1.97,1.58
2017-03-31,65.44,15.22,13.90,1.93,1.51
2016-12-31,58.72,13.91,12.93,1.76,1.36
2016-09-30,56.97,13.40,11.74,1.67,1.31
2016-06-30,51.33,12.64,9.99,1.52,1.18
2016-03-31,53.26,12.90,11.25,1.57,1.21
2015-12-31,43.87,10.35,10.77,1.32,0.98
2015-09-30,42.84,9.92,10.32,1.29,0.94
2015-06-30,55.85,12.09,21.22,1.65,1.21
2015-03-31,55.78,14.53,20.22,1.71,1.19
2014-12-31,55.35,14.68,21.18,1.64,1.17
2014-09-30,51.24,14.48,20.59,1.46,1.09
2014-06-30,61.96,18.50,18.23,1.73,1.32
2014-03-31,59.91,14.87,17.90,1.67,1.29
2013-12-31,60.31,15.47,17.21,1.70,1.30
2013-09-30,54.22,16.14,15.91,1.60,1.15
2013-06-30,51.53,15.57,14.31,1.58,1.10
2013-03-31,47.62,14.05,13.22,1.48,1.01
2012-12-31,41.84,11.92,13.71,1.30,0.88
2012-09-30,36.21,8.79,12.42,1.48,0.77
2012-06-30,30.09,7.22,10.38,1.28,0.63
2012-03-31,37.53,9.34,14.89,1.59,0.79
2011-12-31,32.53,8.26,16.40,1.45,0.70
2011-09-30,26.34,7.15,13.30,1.14,0.58
2011-06-30,37.87,11.14,25.13,1.58,0.86
2011-03-31,40.54,13.10,19.57,1.77,0.96
2010-12-31,36.88,13.56,14.10,1.69,0.91
2010-09-30,29.79,11.77,10.37,1.38,0.77
2010-06-30,23.46,10.13,7.37,1.19,0.63
2010-03-31,26.97,15.55,9.36,1.34,0.75
2009-12-31,22.47,19.88,6.22,2.19,0.63
2009-09-30,19.83,19.93,8.15,0.94,0.63
2009-06-30,15.48,11.38,7.30,0.77,0.45
2009-03-31,12.65,5.52,6.31,0.69,0.32
2008-12-31,16.86,5.17,11.02,0.87,0.40
2008-09-30,18.86,5.20,7.99,0.89,0.39
2008-06-30,28.32,7.99,10.11,1.27,0.60
2008-03-31,26.40,7.88,8.96,1.41,0.59
2007-12-31,31.94,9.65,11.94,1.80,0.74
2007-09-30,32.47,9.99,12.54,2.00,0.77
2007-06-30,30.36,9.47,12.50,1.99,0.74
2007-03-31,27.15,8.47,10.10,1.86,0.67
2006-12-31,24.28,7.82,6.93,1.73,0.61
