Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,93.18,13.52,0.00,1.69,1.83
2020-09-30,96.71,14.04,0.00,1.76,1.90
2020-06-30,91.24,14.91,0.00,1.75,1.75
2020-03-31,90.49,16.30,0.00,1.73,1.68
2019-12-31,114.55,18.24,0.00,2.18,2.07
2019-09-30,111.33,27.83,0.00,2.15,1.96
2019-06-30,96.81,18.98,0.00,1.92,1.67
2019-03-31,89.94,17.23,0.00,1.86,1.53
2018-12-31,80.14,17.31,0.00,1.67,1.33
2018-09-30,74.74,32.08,0.00,1.57,1.22
2018-06-30,73.63,45.45,0.00,1.62,1.19
2018-03-31,70.99,27.84,0.00,1.57,1.14
2017-12-31,72.46,31.78,0.00,1.60,1.18
2017-09-30,67.28,0.00,0.00,1.39,1.09
2017-06-30,66.90,0.00,0.00,1.40,1.10
2017-03-31,65.43,0.00,59.37,1.42,1.09
2016-12-31,62.52,0.00,0.00,1.35,1.03
2016-09-30,64.51,9.01,0.00,1.12,1.08
2016-06-30,67.66,70.48,167.36,1.20,1.11
2016-03-31,65.21,0.00,67.72,1.20,1.04
2015-12-31,55.56,0.00,7.65,1.04,0.87
2015-09-30,52.23,0.00,9.06,1.02,0.79
2015-06-30,55.89,12.67,7.12,0.98,0.85
2015-03-31,60.75,13.12,7.14,1.07,0.90
2014-12-31,67.90,13.01,6.88,1.20,0.98
2014-09-30,59.43,11.05,5.32,1.04,0.86
2014-06-30,62.36,11.44,6.31,1.10,0.91
2014-03-31,50.22,9.44,6.22,0.90,0.75
2013-12-31,46.90,11.79,8.11,0.86,0.74
2013-09-30,46.25,9.59,0.00,0.87,0.74
2013-06-30,50.37,9.38,0.00,0.96,0.84
2013-03-31,45.17,6.94,0.00,0.86,0.76
2012-12-31,44.95,9.46,0.00,0.86,0.78
2012-09-30,48.26,12.19,20.35,0.92,0.83
2012-06-30,46.74,8.35,12.08,0.91,0.77
2012-03-31,45.67,8.62,12.70,0.90,0.73
2011-12-31,49.05,6.51,19.77,0.96,0.78
2011-09-30,43.98,5.55,14.25,0.85,0.71
2011-06-30,44.70,6.37,7.76,0.91,0.73
2011-03-31,43.48,6.29,5.24,0.90,0.72
2010-12-31,45.30,6.81,4.36,0.94,0.75
2010-09-30,48.40,6.89,4.43,1.00,0.81
2010-06-30,44.83,6.66,5.92,0.95,0.78
2010-03-31,50.37,8.10,7.51,1.06,0.92
2009-12-31,50.18,7.97,9.81,1.09,0.92
2009-09-30,48.50,8.74,17.46,1.07,0.86
2009-06-30,46.63,8.27,10.22,1.03,0.75
2009-03-31,40.54,6.91,9.32,0.91,0.62
2008-12-31,48.99,7.86,10.10,1.15,0.74
2008-09-30,51.97,8.25,7.04,1.24,0.80
2008-06-30,69.84,11.28,17.76,1.82,1.15
2008-03-31,62.82,10.23,26.72,1.57,1.08
2007-12-31,68.34,12.18,21.47,1.68,1.21
2007-09-30,61.53,10.39,11.82,1.50,1.12
2007-06-30,60.56,11.11,10.09,1.52,1.13
2007-03-31,58.92,10.79,7.50,1.49,1.12
2006-12-31,51.56,9.64,6.31,1.27,1.00
