Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,54.23,19.51,41.74,1.40,2.52
2020-09-30,50.32,18.10,38.73,1.30,2.34
2020-06-30,58.14,21.22,38.82,1.55,2.70
2020-03-31,53.51,19.67,28.34,1.43,2.51
2019-12-31,62.81,22.43,27.96,1.67,2.95
2019-09-30,63.73,24.60,23.52,1.69,2.88
2019-06-30,57.17,24.33,23.23,1.52,2.68
2019-03-31,54.73,23.39,33.88,1.43,2.58
2018-12-31,53.06,22.39,26.54,1.36,2.57
2018-09-30,50.92,20.05,31.36,1.27,2.65
2018-06-30,51.65,22.17,53.34,1.29,2.73
2018-03-31,48.37,21.31,40.21,1.78,2.65
2017-12-31,48.56,21.39,46.76,1.79,2.69
2017-09-30,45.62,18.93,268.83,1.67,2.52
2017-06-30,48.77,20.49,0.00,1.80,2.72
2017-03-31,49.92,20.89,0.00,1.85,2.77
2016-12-31,51.83,21.33,0.00,1.92,2.88
2016-09-30,52.20,22.40,0.00,1.93,2.95
2016-06-30,51.59,23.24,0.00,1.97,2.95
2016-03-31,45.63,21.03,1002.86,1.75,2.62
2015-12-31,39.01,18.66,344.59,1.50,2.19
2015-09-30,35.36,16.52,74.04,1.36,1.92
2015-06-30,31.47,13.87,221.81,1.24,1.66
2015-03-31,35.65,16.13,0.00,1.42,1.84
2014-12-31,37.93,16.14,0.00,1.51,1.92
2014-09-30,31.38,13.41,0.00,1.25,1.61
2014-06-30,35.13,15.41,0.00,1.45,1.83
2014-03-31,32.34,13.47,0.00,1.34,1.70
2013-12-31,29.59,12.98,0.00,1.24,1.60
2013-09-30,27.89,12.02,0.00,1.17,1.53
2013-06-30,28.76,12.08,0.00,1.24,1.57
2013-03-31,29.53,12.62,0.00,1.28,1.61
2012-12-31,24.94,11.60,0.00,1.08,1.40
2012-09-30,25.55,13.10,0.00,1.11,1.43
2012-06-30,25.51,12.75,0.00,1.15,1.41
2012-03-31,23.52,15.47,0.00,1.06,1.29
2011-12-31,23.67,14.98,0.00,1.06,1.27
2011-09-30,21.48,14.71,0.00,0.96,1.15
2011-06-30,21.60,16.24,0.00,1.00,1.16
2011-03-31,20.95,11.64,0.00,0.98,1.14
2010-12-31,19.71,10.95,32.54,0.92,1.08
2010-09-30,18.75,10.08,19.73,0.86,1.03
2010-06-30,16.51,10.45,38.27,0.79,0.96
2010-03-31,16.57,11.35,89.40,0.80,0.96
2009-12-31,15.91,10.01,0.00,0.77,0.94
2009-09-30,14.09,8.29,0.00,0.67,0.84
2009-06-30,13.36,7.55,0.00,0.65,0.77
2009-03-31,12.27,8.29,0.00,0.60,0.70
2008-12-31,14.08,8.23,0.00,0.69,0.79
2008-09-30,15.58,9.44,0.00,0.76,0.85
2008-06-30,14.35,7.84,0.00,0.72,0.76
2008-03-31,15.01,7.05,0.00,0.76,0.79
2007-12-31,16.68,9.06,0.00,0.86,0.87
2007-09-30,15.63,8.49,0.00,0.81,0.83
2007-06-30,15.28,8.13,0.00,0.82,0.82
2007-03-31,17.14,8.93,0.00,0.94,0.92
2006-12-31,15.85,8.43,0.00,0.88,0.86
