Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,91.23,70.18,89.06,12.45,13.10
2020-09-30,79.82,63.86,73.15,11.81,11.53
2020-06-30,69.11,59.41,46.48,11.19,10.12
2020-03-31,62.87,36.07,36.58,9.98,8.92
2019-12-31,77.76,47.23,53.32,3.92,11.38
2019-09-30,73.30,60.25,56.21,12.02,11.25
2019-06-30,61.58,54.18,54.03,10.97,9.91
2019-03-31,63.78,53.30,75.74,11.57,10.68
2018-12-31,51.06,45.45,47.56,10.13,8.80
2018-09-30,58.03,49.60,48.74,10.83,10.28
2018-06-30,48.52,44.93,40.42,9.62,8.83
2018-03-31,46.51,50.19,36.34,9.06,8.73
2017-12-31,37.57,39.14,29.23,8.00,7.09
2017-09-30,36.44,31.78,35.92,7.31,7.14
2017-06-30,39.41,35.83,46.85,8.49,7.94
2017-03-31,31.36,31.15,36.46,7.22,6.49
2016-12-31,31.23,35.76,38.63,7.57,6.88
2016-09-30,40.19,47.65,57.74,9.57,9.18
2016-06-30,33.24,41.30,45.94,8.58,7.95
2016-03-31,29.40,37.62,40.92,8.13,7.44
2015-12-31,26.33,35.18,38.92,6.80,6.97
2015-09-30,23.70,33.77,35.32,6.32,6.39
2015-06-30,23.74,35.52,62.24,6.68,6.40
2015-03-31,23.74,17.63,17.78,6.92,6.47
2014-12-31,21.23,16.94,14.66,3.13,5.93
2014-09-30,17.03,14.19,11.44,5.34,4.99
2014-06-30,14.31,12.25,8.54,4.75,4.45
2014-03-31,12.36,27.07,19.45,5.82,4.03
2013-12-31,10.96,19.23,20.45,4.65,3.68
2013-09-30,11.61,19.84,23.03,5.30,3.98
2013-06-30,11.20,19.70,22.89,4.77,3.99
2013-03-31,13.69,26.00,26.25,5.86,5.01
2012-12-31,15.03,36.50,41.65,6.97,5.62
2012-09-30,17.90,48.14,50.77,8.11,7.00
2012-06-30,17.22,49.66,50.34,8.30,6.87
2012-03-31,12.12,36.54,46.89,5.96,5.00
2011-12-31,11.78,35.89,35.85,6.03,5.04
2011-09-30,11.88,36.00,35.14,6.01,5.20
2011-06-30,14.53,44.71,46.60,7.23,6.62
2011-03-31,14.50,44.62,54.55,7.36,6.87
2010-12-31,13.47,44.41,49.12,7.11,6.65
2010-09-30,11.18,39.90,46.70,6.20,5.67
2010-06-30,9.34,29.40,31.44,5.67,4.81
2010-03-31,8.24,27.01,25.66,4.88,4.32
2009-12-31,7.24,22.32,25.61,2.13,3.85
2009-09-30,5.83,18.64,17.48,3.62,3.20
2009-06-30,5.67,22.23,33.99,3.83,3.17
2009-03-31,5.05,20.77,43.74,3.60,2.87
2008-12-31,4.58,24.98,16.41,3.50,2.63
2008-09-30,4.81,31.92,19.32,3.69,2.84
2008-06-30,5.17,35.88,16.85,3.91,3.20
2008-03-31,3.71,27.34,11.52,3.13,2.44
2007-12-31,3.83,24.73,17.66,3.12,2.65
2007-09-30,4.11,25.55,18.03,3.41,2.93
2007-06-30,4.11,25.97,20.10,3.51,2.98
2007-03-31,4.23,26.56,19.96,3.73,3.10
2006-12-31,3.92,22.62,15.22,3.62,2.91
