Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,158.92,0.00,0.00,5.67,4.31
2020-12-31,132.40,0.00,0.00,4.72,3.59
2020-09-30,91.69,0.00,0.00,3.14,1.88
2020-06-30,82.20,0.00,0.00,2.75,1.33
2020-03-31,56.27,0.00,0.00,2.12,0.72
2019-12-31,107.72,28.72,10.05,2.77,1.34
2019-09-30,133.41,39.94,17.01,3.38,1.69
2019-06-30,131.69,32.44,11.50,3.33,1.72
2019-03-31,117.48,41.08,11.66,3.10,1.57
2018-12-31,110.93,42.02,15.46,2.89,1.51
2018-09-30,128.15,44.50,16.10,3.23,1.79
2018-06-30,117.75,70.09,14.82,3.17,1.71
2018-03-31,107.89,53.15,15.57,2.80,1.62
2017-12-31,116.72,49.25,16.08,2.89,1.81
2017-09-30,139.93,55.31,17.83,3.43,2.21
2017-06-30,144.51,68.49,15.46,3.77,2.36
2017-03-31,122.17,62.33,13.49,3.26,2.07
2016-12-31,109.44,63.63,21.14,2.88,1.91
2016-09-30,112.52,100.47,29.60,4.27,2.00
2016-06-30,102.24,71.50,24.77,3.58,1.89
2016-03-31,103.49,22.50,30.93,3.30,1.98
2015-12-31,119.03,20.70,27.46,3.63,2.37
2015-09-30,112.47,17.74,24.28,5.83,2.36
2015-06-30,104.28,16.93,14.92,6.19,2.26
2015-03-31,89.62,25.98,11.00,6.25,2.00
2014-12-31,81.11,27.04,10.40,5.44,1.86
2014-09-30,83.08,25.96,10.36,5.25,2.00
2014-06-30,74.53,30.05,13.17,4.77,1.93
2014-03-31,68.47,29.51,16.03,4.22,1.90
2013-12-31,65.65,39.55,20.16,3.77,1.92
2013-09-30,48.71,48.23,14.34,2.79,1.48
2013-06-30,56.37,56.37,10.73,3.28,1.79
2013-03-31,56.12,44.90,7.70,3.35,1.84
2012-12-31,57.34,28.67,8.01,3.25,1.99
2012-09-30,53.38,21.70,7.29,2.92,1.94
2012-06-30,44.26,16.09,6.67,2.57,1.68
2012-03-31,30.73,10.28,5.56,1.85,1.21
2011-12-31,26.59,7.84,5.97,1.54,1.07
2011-09-30,44.37,13.13,12.12,1.96,1.97
2011-06-30,49.82,15.97,11.30,2.27,2.25
2011-03-31,38.84,13.30,9.96,1.92,1.82
2010-12-31,42.87,14.58,13.16,2.15,2.04
2010-09-30,48.10,15.32,12.05,2.40,2.30
2010-06-30,31.90,11.82,8.34,1.70,1.61
2010-03-31,42.25,19.38,10.38,2.30,2.19
2009-12-31,43.43,21.08,12.82,2.29,2.31
2009-09-30,40.43,0.00,12.51,2.21,2.04
2009-06-30,25.51,0.00,9.83,1.48,1.29
2009-03-31,15.33,0.00,6.85,0.92,0.77
2008-12-31,13.91,0.00,5.52,0.84,0.69
2008-09-30,25.51,12.15,9.73,0.72,1.27
2008-06-30,31.03,14.92,7.94,0.89,1.62
2008-03-31,36.95,18.29,8.44,1.08,2.04
2007-12-31,53.38,28.09,13.41,1.58,3.18
2007-09-30,53.82,28.93,27.47,1.56,3.45
2007-06-30,49.44,31.69,28.09,1.39,3.45
2007-03-31,39.13,26.09,48.49,1.12,2.93
2006-12-31,35.42,25.30,0.00,0.99,2.80
