Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,119.63,35.50,33.84,5.58,11.89
2020-09-30,106.12,31.49,30.02,4.95,10.55
2020-06-30,90.88,27.37,23.12,4.27,9.20
2020-03-31,93.35,28.03,24.92,4.34,9.60
2019-12-31,102.01,31.49,45.19,4.52,10.60
2019-09-30,111.85,35.17,57.88,4.98,11.81
2019-06-30,100.80,29.91,50.18,4.58,10.84
2019-03-31,96.02,29.01,134.80,4.41,10.49
2018-12-31,84.52,25.85,47.12,3.86,9.41
2018-09-30,80.23,19.29,111.38,3.66,9.14
2018-06-30,91.55,23.60,140.22,4.25,10.62
2018-03-31,79.43,20.79,45.64,3.69,9.38
2017-12-31,78.80,20.96,48.76,3.65,9.50
2017-09-30,71.37,26.24,79.84,3.49,8.63
2017-06-30,68.97,23.70,0.00,3.37,8.56
2017-03-31,65.10,22.61,0.00,3.17,8.32
2016-12-31,66.88,23.06,0.00,3.24,8.82
2016-09-30,68.03,29.32,0.00,3.38,9.33
2016-06-30,78.48,39.84,0.00,4.02,11.40
2016-03-31,78.56,44.13,0.00,4.05,12.04
2015-12-31,73.64,46.61,0.00,3.85,11.88
2015-09-30,63.98,33.67,0.00,3.31,11.07
2015-06-30,53.64,29.97,0.00,2.72,9.49
2015-03-31,55.09,32.79,1172.16,3.36,10.04
2014-12-31,47.47,31.02,0.00,2.89,8.90
2014-09-30,41.41,23.01,0.00,2.49,7.92
2014-06-30,42.38,26.66,0.00,2.55,8.49
2014-03-31,38.27,24.85,0.00,2.31,8.01
2013-12-31,32.97,21.84,0.00,1.98,7.24
2013-09-30,35.46,29.80,0.00,2.41,8.07
2013-06-30,32.20,24.77,0.00,2.25,7.58
2013-03-31,29.87,24.68,0.00,2.13,7.41
2012-12-31,27.49,24.12,0.00,1.97,7.04
2012-09-30,24.95,25.72,0.00,1.96,6.55
2012-06-30,22.69,29.86,0.00,1.80,6.22
2012-03-31,21.20,32.62,0.00,1.87,5.94
2011-12-31,17.71,33.42,0.00,1.56,5.12
2011-09-30,13.54,29.43,0.00,1.20,4.15
2011-06-30,15.40,39.48,0.00,1.37,4.83
2011-03-31,14.85,42.42,109.40,1.39,4.75
2010-12-31,12.38,41.28,87.90,1.16,4.05
2010-09-30,11.35,42.04,34.60,1.06,3.73
2010-06-30,9.78,39.10,47.66,0.91,3.22
2010-03-31,8.86,98.41,39.58,0.82,2.91
2009-12-31,8.00,21.63,0.00,0.73,2.61
2009-09-30,7.23,14.17,0.00,0.66,2.30
2009-06-30,5.72,9.69,0.00,0.52,1.81
2009-03-31,3.77,4.72,0.00,0.34,1.16
2008-12-31,6.74,11.62,0.00,0.61,1.98
2008-09-30,9.74,18.73,0.00,0.97,2.80
2008-06-30,9.59,18.44,0.00,0.94,2.68
2008-03-31,9.95,18.77,0.00,1.08,2.80
2007-12-31,8.64,16.62,0.00,0.92,2.53
2007-09-30,9.14,19.45,0.00,0.95,2.70
2007-06-30,9.65,24.75,0.00,0.99,2.86
2007-03-31,10.93,34.15,0.00,1.10,3.19
2006-12-31,10.42,43.41,0.00,1.04,3.01
