Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-18,11.43,0.00,2.45,1.52,0.36
2020-12-31,8.79,0.00,1.88,1.17,0.28
2020-09-30,6.66,0.00,1.65,0.82,0.20
2020-06-30,6.08,0.00,2.63,0.81,0.19
2020-03-31,4.83,0.00,3.32,0.67,0.13
2019-12-31,9.15,457.26,3.66,1.13,0.23
2019-09-30,8.86,21.61,4.12,1.02,0.22
2019-06-30,9.75,17.73,4.39,1.10,0.25
2019-03-31,8.24,10.56,4.44,0.92,0.21
2018-12-31,7.06,7.67,3.90,0.80,0.18
2018-09-30,8.38,5.41,3.71,0.93,0.21
2018-06-30,9.89,5.85,4.32,1.10,0.25
2018-03-31,9.77,5.06,3.85,1.09,0.24
2017-12-31,10.74,5.65,3.89,1.23,0.27
2017-09-30,10.17,9.24,3.78,1.24,0.26
2017-06-30,9.38,9.88,3.45,1.18,0.24
2017-03-31,9.63,10.36,3.00,1.27,0.25
2016-12-31,9.88,8.66,3.07,1.37,0.26
2016-09-30,9.70,5.36,3.12,1.25,0.25
2016-06-30,10.00,4.88,2.93,1.30,0.26
2016-03-31,10.62,5.23,3.84,1.45,0.28
2015-12-31,10.72,6.50,4.75,1.51,0.29
2015-09-30,10.23,8.59,4.63,1.48,0.28
2015-06-30,11.20,12.17,5.79,1.69,0.32
2015-03-31,11.93,15.50,6.78,1.90,0.34
2014-12-31,11.34,14.54,6.37,1.83,0.32
2014-09-30,10.73,7.10,7.89,1.58,0.30
2014-06-30,12.41,7.71,12.16,1.80,0.35
2014-03-31,11.15,7.01,7.82,1.64,0.31
2013-12-31,10.93,6.25,11.62,1.65,0.30
2013-09-30,11.89,8.43,15.63,2.29,0.33
2013-06-30,10.84,7.18,14.41,2.22,0.31
2013-03-31,9.14,6.22,27.60,2.04,0.27
2012-12-31,8.94,6.29,10.09,2.19,0.27
2012-09-30,6.78,1.53,6.22,1.37,0.21
2012-06-30,6.55,1.48,5.32,1.46,0.20
2012-03-31,8.49,1.79,7.01,1.95,0.26
2011-12-31,7.29,1.46,5.46,1.91,0.22
2011-09-30,6.55,3.95,3.79,4.13,0.20
2011-06-30,9.35,5.56,5.10,6.64,0.30
2011-03-31,10.10,5.94,5.67,15.57,0.33
2010-12-31,11.38,7.16,6.44,-67.37,0.39
2010-09-30,8.29,4.63,4.55,-16.56,0.26
2010-06-30,6.83,4.14,3.07,-6.63,0.20
2010-03-31,8.52,4.92,3.31,-5.34,0.25
2009-12-31,6.78,10.76,1.97,-2.93,0.18
2009-09-30,4.89,0.00,4.43,-2.22,0.13
2009-06-30,4.11,0.00,0.00,-1.41,0.09
2009-03-31,1.78,0.00,0.00,-0.26,0.03
2008-12-31,1.55,0.00,0.00,-0.26,0.02
2008-09-30,3.52,0.00,9.37,-4.23,0.05
2008-06-30,3.26,0.00,0.78,-4.38,0.04
2008-03-31,3.88,0.00,0.70,1.22,0.05
2007-12-31,4.56,0.00,0.82,1.79,0.06
2007-09-30,5.75,0.00,0.00,10.44,0.07
2007-06-30,6.38,0.00,0.00,-6.89,0.08
2007-03-31,5.35,0.00,2.32,-2.71,0.06
2006-12-31,5.09,0.00,3.44,-2.78,0.06
