Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,65.57,0.00,49.89,0.97,3.33
2020-09-30,29.79,0.00,22.67,0.44,1.51
2020-06-30,41.02,0.00,29.73,0.55,1.94
2020-03-31,25.44,0.00,10.02,0.28,1.03
2019-12-31,89.64,64.49,135.98,0.96,3.71
2019-09-30,86.58,12.49,0.00,0.90,3.69
2019-06-30,104.72,16.73,0.00,1.11,4.58
2019-03-31,97.40,15.29,0.00,1.10,4.42
2018-12-31,88.82,11.16,0.00,1.03,4.10
2018-09-30,129.40,19.55,547.13,1.99,6.57
2018-06-30,125.80,21.80,2659.61,2.06,7.26
2018-03-31,120.86,23.42,302.07,2.08,8.20
2017-12-31,120.60,24.27,560.93,2.12,9.72
2017-09-30,93.58,22.66,0.00,1.64,8.68
2017-06-30,84.84,25.25,320.02,1.57,8.87
2017-03-31,99.07,0.00,0.00,1.90,11.80
2016-12-31,96.54,0.00,0.00,2.17,13.59
2016-09-30,92.22,0.00,0.00,2.54,14.28
2016-06-30,87.13,0.00,226.19,2.86,13.76
2016-03-31,73.73,0.00,95.00,2.26,11.01
2015-12-31,63.91,0.00,730.36,2.02,8.88
2015-09-30,61.71,0.00,0.00,1.80,7.86
2015-06-30,72.01,0.00,0.00,2.04,8.33
2015-03-31,73.40,23.23,0.00,2.05,7.99
2014-12-31,57.11,16.13,0.00,1.64,6.03
2014-09-30,71.43,31.75,0.00,2.15,8.12
2014-06-30,84.83,47.39,0.00,3.44,11.19
2014-03-31,64.30,39.94,0.00,3.01,10.31
2013-12-31,50.52,39.47,0.00,2.81,10.08
2013-09-30,40.73,45.77,0.00,2.33,12.68
