Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,48.54,32.58,29.59,10.20,4.95
2020-09-30,44.20,30.28,29.67,8.79,4.57
2020-06-30,41.77,28.81,30.14,8.61,4.34
2020-03-31,30.27,21.77,26.97,6.53,3.23
2019-12-31,35.54,25.75,33.86,7.65,3.83
2019-09-30,31.24,22.89,35.10,6.93,3.39
2019-06-30,30.95,23.10,38.39,7.09,3.42
2019-03-31,30.35,22.48,32.93,7.25,3.42
2018-12-31,24.50,18.63,27.74,6.08,2.84
2018-09-30,26.98,20.99,31.03,6.69,3.22
2018-06-30,22.22,18.67,26.08,5.73,2.74
2018-03-31,25.01,23.16,34.91,6.63,3.18
2017-12-31,24.89,24.77,30.37,6.83,3.27
2017-09-30,20.61,21.92,24.38,5.85,2.80
2017-06-30,19.54,21.47,27.56,5.65,2.74
2017-03-31,22.95,26.23,34.02,6.70,3.30
2016-12-31,20.80,24.05,35.71,6.22,3.04
2016-09-30,18.36,21.35,30.98,5.56,2.70
2016-06-30,19.37,22.13,28.48,5.99,2.87
2016-03-31,21.24,23.86,30.39,6.73,3.17
2015-12-31,17.55,19.83,25.31,5.64,2.65
2015-09-30,15.63,17.56,22.22,5.08,2.37
2015-06-30,17.88,20.32,28.87,5.88,2.74
2015-03-31,17.45,20.29,30.30,5.51,2.72
2014-12-31,19.91,23.84,37.49,6.15,3.17
2014-09-30,18.68,23.35,47.46,5.82,3.07
2014-06-30,20.47,26.42,55.79,6.50,3.48
2014-03-31,20.29,26.70,54.82,6.69,3.56
2013-12-31,19.45,25.76,53.96,6.51,3.48
2013-09-30,20.47,27.12,51.96,6.94,3.73
2013-06-30,18.55,25.06,44.88,6.45,3.43
2013-03-31,20.70,28.56,46.75,7.49,3.88
2012-12-31,18.78,26.45,42.53,7.14,3.56
2012-09-30,17.02,24.48,40.53,6.06,3.29
2012-06-30,15.89,23.53,38.27,5.88,3.14
2012-03-31,21.24,32.93,61.99,8.17,4.35
2011-12-31,17.06,27.97,66.41,6.91,3.65
2011-09-30,12.97,22.75,51.45,5.44,2.90
2011-06-30,13.97,26.24,64.22,6.09,3.28
2011-03-31,12.54,25.58,48.19,5.72,3.10
2010-12-31,11.49,25.54,39.55,5.28,2.99
2010-09-30,10.12,24.39,35.55,4.68,2.75
2010-06-30,9.47,25.78,26.77,4.44,2.72
2010-03-31,9.06,28.08,21.16,4.48,2.74
2009-12-31,7.78,25.11,17.88,3.85,2.40
2009-09-30,7.23,21.28,14.74,3.63,2.15
2009-06-30,6.14,16.05,14.82,3.07,1.71
2009-03-31,5.95,13.60,18.21,3.11,1.56
2008-12-31,6.39,13.59,21.97,3.32,1.63
2008-09-30,8.98,19.52,36.43,4.75,2.32
2008-06-30,7.80,17.73,29.85,4.19,2.10
2008-03-31,8.30,20.13,31.09,4.76,2.33
2007-12-31,7.26,18.74,24.56,4.29,2.12
2007-09-30,8.16,22.20,36.51,4.87,2.47
2007-06-30,7.48,21.08,50.87,4.57,2.35
2007-03-31,6.27,18.43,69.32,4.02,2.03
2006-12-31,6.38,19.33,157.12,4.18,2.13
