Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,273.16,27.05,33.38,6.07,9.16
2020-09-30,261.90,29.83,39.43,6.34,9.55
2020-06-30,227.07,27.73,34.72,5.86,8.68
2020-03-31,166.80,22.85,20.69,4.52,6.53
2019-12-31,205.25,31.87,27.83,5.79,8.34
2019-09-30,178.08,28.45,26.30,5.41,7.72
2019-06-30,193.00,32.71,31.11,6.21,8.92
2019-03-31,166.69,24.77,30.58,5.50,8.22
2018-12-31,131.09,17.32,24.93,4.45,6.87
2018-09-30,164.46,24.81,27.58,5.88,9.30
2018-06-30,194.32,30.08,32.41,7.08,11.80
2018-03-31,159.79,26.46,25.19,5.97,10.58
2017-12-31,176.46,32.74,29.84,6.90,12.82
2017-09-30,170.87,33.11,31.99,6.97,13.79
2017-06-30,150.98,34.39,31.03,6.59,13.37
2017-03-31,142.05,37.58,31.92,6.62,13.74
2016-12-31,115.05,35.29,28.97,5.62,12.16
2016-09-30,128.27,49.53,31.51,6.81,15.10
2016-06-30,114.28,54.94,32.08,6.49,14.89
2016-03-31,114.10,70.43,36.60,6.90,16.56
2015-12-31,104.66,81.77,38.30,6.71,16.65
2015-09-30,89.73,90.64,36.31,6.10,15.78
2015-06-30,85.77,87.52,37.88,6.09,16.11
2015-03-31,82.22,79.82,38.57,6.11,16.38
2014-12-31,78.02,70.93,37.82,6.00,16.50
2014-09-30,79.04,75.28,62.28,9.66,18.34
2014-06-30,67.29,73.14,54.07,9.41,17.27
2014-03-31,60.24,80.32,45.20,9.19,17.17
2013-12-31,54.65,92.63,48.09,8.96,17.45
2013-09-30,50.23,119.60,48.79,9.39,18.35
2013-06-30,24.88,108.17,30.09,4.87,10.11
2013-03-31,25.58,1279.00,83.24,5.18,10.80
