Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,87.55,31.61,18.25,4.63,2.02
2020-09-30,86.28,24.58,17.99,4.56,2.05
2020-06-30,63.57,20.57,13.37,3.57,1.56
2020-03-31,42.84,13.26,10.35,2.51,1.03
2019-12-31,64.47,21.07,17.88,3.71,1.58
2019-09-30,53.79,18.42,15.62,3.20,1.34
2019-06-30,55.94,19.56,18.09,3.34,1.42
2019-03-31,46.41,16.76,15.92,2.89,1.21
2018-12-31,36.87,13.86,11.73,2.38,0.99
2018-09-30,50.81,17.58,18.15,3.22,1.39
2018-06-30,51.91,17.13,20.23,3.40,1.46
2018-03-31,56.73,18.60,22.55,3.51,1.64
2017-12-31,65.73,21.48,23.50,3.84,1.94
2017-09-30,64.38,22.20,20.80,3.84,1.94
2017-06-30,62.30,21.94,18.66,3.74,1.91
2017-03-31,57.94,21.15,18.05,3.67,1.80
2016-12-31,50.75,19.59,15.85,3.29,1.61
2016-09-30,54.99,22.36,22.61,3.60,1.78
2016-06-30,54.73,23.29,22.53,3.69,1.81
2016-03-31,52.77,25.99,25.04,3.73,1.81
2015-12-31,52.09,26.99,28.01,3.39,1.85
2015-09-30,44.45,26.61,24.03,2.95,1.66
2015-06-30,42.77,48.61,32.67,2.89,1.66
2015-03-31,44.19,46.52,33.60,3.06,1.79
2014-12-31,42.01,44.69,50.12,2.94,1.75
2014-09-30,38.05,36.94,54.36,2.56,1.73
2014-06-30,36.85,24.09,57.97,2.31,1.70
2014-03-31,38.72,28.68,58.75,2.44,1.79
2013-12-31,41.94,31.54,35.34,2.63,1.94
2013-09-30,38.12,35.63,25.82,2.48,1.87
2013-06-30,35.38,37.64,28.03,2.32,1.80
2013-03-31,34.10,39.65,29.59,2.29,1.77
2012-12-31,26.62,36.98,19.98,1.83,1.40
2012-09-30,24.61,144.76,18.60,1.69,1.14
2012-06-30,20.29,338.17,23.35,1.45,0.94
