Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,28.00,20.74,0.00,2.11,1.39
2020-06-30,37.32,30.09,0.00,2.83,1.86
2020-03-31,38.18,30.55,0.00,3.04,1.90
2019-12-31,45.96,27.04,0.00,3.56,2.24
2019-09-30,45.25,21.05,0.00,3.36,2.15
2019-06-30,39.82,99.54,0.00,2.91,1.84
2019-03-31,38.35,383.52,0.00,2.94,1.71
2018-12-31,34.27,16.72,0.00,2.57,1.49
2018-09-30,33.60,0.00,0.00,2.50,1.45
2018-06-30,32.14,0.00,53.95,1.99,1.36
2018-03-31,30.13,0.00,186.65,1.95,1.25
2017-12-31,26.81,0.00,7.40,3.04,1.09
2017-09-30,26.70,0.00,11.35,1.85,1.51
2017-06-30,24.97,0.00,13.28,1.76,1.23
2017-03-31,26.92,0.00,14.33,1.95,1.20
2016-12-31,25.89,0.00,19.59,1.83,1.03
2016-09-30,27.35,0.00,12.65,1.01,0.79
2016-06-30,28.56,0.00,9.66,1.06,0.81
2016-03-31,29.11,18.08,10.25,0.99,0.82
2015-12-31,25.41,18.55,13.88,0.87,0.72
2015-09-30,24.78,21.18,24.44,0.83,0.70
2015-06-30,25.49,24.75,113.75,0.86,0.73
2015-03-31,27.18,36.73,0.00,0.93,0.78
2014-12-31,29.96,42.80,0.00,1.02,0.84
2014-09-30,25.55,14.43,0.00,0.85,0.71
2014-06-30,26.13,17.42,68.43,0.87,0.71
2014-03-31,25.33,26.39,37.09,0.84,0.69
2013-12-31,24.26,25.81,363.23,0.80,0.68
2013-09-30,26.43,105.70,0.00,0.88,0.75
2013-06-30,26.67,36.05,0.00,0.87,0.76
2013-03-31,29.78,18.85,0.00,0.96,0.83
2012-12-31,29.07,15.80,0.00,0.93,0.80
2012-09-30,30.31,12.52,78.05,0.94,0.81
2012-06-30,33.43,12.71,14.13,1.03,0.86
2012-03-31,30.62,11.73,14.67,0.96,0.77
2011-12-31,29.39,14.48,6.64,0.92,0.72
2011-09-30,29.44,12.21,5.53,0.95,0.71
2011-06-30,28.58,16.06,6.03,0.92,0.67
2011-03-31,23.70,10.67,5.40,0.78,0.55
2010-12-31,23.32,9.04,5.03,0.79,0.53
2010-09-30,23.91,8.69,6.65,0.84,0.56
2010-06-30,21.54,7.35,23.38,0.74,0.51
2010-03-31,23.54,6.88,12.44,0.84,0.56
2009-12-31,27.62,8.37,29.86,0.98,0.65
2009-09-30,26.83,7.43,0.00,0.96,0.62
2009-06-30,22.44,5.12,10.97,0.76,0.50
2009-03-31,22.07,5.70,0.00,0.81,0.49
2008-12-31,27.48,6.27,0.00,1.01,0.62
2008-09-30,37.50,9.01,0.00,1.23,0.85
2008-06-30,45.72,11.55,0.00,1.51,1.06
2008-03-31,37.84,8.99,78.53,1.28,0.89
2007-12-31,39.58,9.36,113.60,1.34,0.96
2007-09-30,34.40,8.19,19.54,1.20,0.87
2007-06-30,34.87,8.19,26.61,1.23,0.92
2007-03-31,35.43,8.68,23.83,1.30,0.98
2006-12-31,31.99,8.35,13.31,1.13,0.91
