Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,198.81,41.33,20.04,5.10,5.09
2020-12-31,175.94,36.58,17.74,4.52,4.50
2020-09-30,122.77,24.46,12.54,3.36,3.19
2020-06-30,139.48,26.17,13.74,3.96,3.65
2020-03-31,106.63,18.97,10.97,3.24,2.80
2019-12-31,139.65,21.32,14.33,4.40,3.72
2019-09-30,140.42,19.81,13.18,4.81,3.78
2019-06-30,145.63,18.91,13.76,5.39,3.99
2019-03-31,156.93,19.00,13.86,6.38,4.37
2018-12-31,162.03,20.00,14.22,6.91,4.57
2018-09-30,199.42,27.13,17.45,9.34,5.73
2018-06-30,172.45,23.59,14.88,8.28,5.06
2018-03-31,144.61,21.14,12.71,7.21,4.34
2017-12-31,131.22,20.19,11.81,6.61,4.01
2017-09-30,120.56,18.46,11.13,6.14,3.75
2017-06-30,127.06,21.07,12.25,6.70,4.02
2017-03-31,142.57,24.25,13.92,7.72,4.61
2016-12-31,144.72,26.03,15.28,7.85,4.81
2016-09-30,124.64,23.08,13.08,6.87,4.26
2016-06-30,113.84,22.23,12.53,6.35,4.00
2016-03-31,105.85,21.00,11.90,6.00,3.81
2015-12-31,96.96,18.97,10.84,5.28,3.57
2015-09-30,115.80,22.98,13.46,6.17,4.39
2015-06-30,120.35,24.36,14.19,6.44,4.70
2015-03-31,114.94,24.46,14.14,6.23,4.65
2014-12-31,130.47,29.45,17.82,6.99,5.50
2014-09-30,118.74,29.03,17.17,6.36,5.23
2014-06-30,111.44,29.33,16.85,5.92,5.17
2014-03-31,106.63,29.54,16.81,5.67,5.22
2013-12-31,90.86,25.96,14.59,4.75,4.70
2013-09-30,85.81,24.45,14.35,4.35,4.58
2013-06-30,68.80,20.29,11.66,3.62,3.76
2013-03-31,89.08,25.90,15.54,4.89,4.95
2012-12-31,97.15,27.76,16.23,5.51,5.45
2012-09-30,104.64,30.33,17.93,6.20,6.06
2012-06-30,99.56,28.94,18.13,6.14,6.00
2012-03-31,134.96,40.90,25.60,8.76,8.58
2011-12-31,106.12,34.01,20.70,7.18,7.14
2011-09-30,71.05,23.92,14.98,5.09,5.03
2011-06-30,110.25,40.53,25.01,7.64,8.23
2011-03-31,102.57,41.87,24.69,7.44,8.09
2010-12-31,130.16,59.71,32.27,9.77,11.00
2010-09-30,103.81,55.81,27.95,8.31,9.51
2010-06-30,68.57,42.07,20.42,5.82,6.88
2010-03-31,61.63,43.40,20.31,5.52,6.77
2009-12-31,52.97,42.38,20.55,4.94,6.24
2009-09-30,39.63,34.16,16.67,3.88,4.84
2009-06-30,34.61,33.28,14.90,3.51,4.30
2009-03-31,20.95,21.38,9.07,2.20,2.59
2008-12-31,22.86,24.06,10.24,2.44,2.84
2008-09-30,23.38,26.27,11.77,2.57,3.01
2008-06-30,28.42,35.53,15.22,3.11,3.83
2008-03-31,18.17,22.02,10.61,1.98,2.61
2007-12-31,28.52,33.55,16.70,2.99,4.35
2007-09-30,37.19,41.09,20.67,4.07,6.01
2007-06-30,40.30,41.55,27.24,4.56,6.92
2007-03-31,33.34,36.24,23.42,3.97,6.09
2006-12-31,37.11,42.16,20.90,4.65,7.28
