Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,103.05,78.07,19.37,2.13,4.32
2020-06-30,97.62,77.48,18.97,1.98,4.15
2020-03-31,94.99,52.19,22.57,1.92,4.28
2019-12-31,115.63,63.88,29.14,2.27,5.63
2019-09-30,103.59,47.96,33.14,2.09,6.26
2019-06-30,91.16,38.30,33.29,14.05,6.19
2019-03-31,88.28,36.48,30.75,14.47,6.15
2018-12-31,73.49,25.70,25.51,12.58,5.25
2018-09-30,82.38,23.98,31.26,12.41,5.98
2018-06-30,74.09,21.63,28.99,10.56,5.45
2018-03-31,71.31,21.38,27.53,9.86,5.32
2017-12-31,65.57,22.61,23.64,9.97,4.98
2017-09-30,64.48,30.63,24.90,11.46,5.02
2017-06-30,61.17,29.91,23.26,10.79,4.83
2017-03-31,57.66,28.76,23.36,10.13,4.61
2016-12-31,53.14,25.61,20.86,9.01,4.34
2016-09-30,49.74,24.99,18.81,8.43,3.93
2016-06-30,54.37,27.60,21.07,9.08,4.41
2016-03-31,51.29,29.06,19.43,8.52,4.27
2015-12-31,45.73,30.59,20.75,7.75,3.91
2015-09-30,43.31,29.76,22.24,6.93,4.05
2015-06-30,41.42,28.17,20.63,6.20,3.97
2015-03-31,39.70,25.95,18.85,5.86,3.89
2014-12-31,35.49,23.82,17.67,5.18,3.56
2014-09-30,32.32,20.92,16.15,4.58,3.32
2014-06-30,30.16,21.97,16.74,4.32,3.17
2014-03-31,28.35,21.31,17.34,4.14,3.06
2013-12-31,29.53,24.15,19.57,4.23,3.28
2013-09-30,25.26,22.31,18.16,3.78,2.90
2013-06-30,21.85,20.14,18.53,3.31,2.58
2013-03-31,21.97,20.06,19.25,3.35,2.68
2012-12-31,19.76,17.76,17.17,3.09,2.46
2012-09-30,18.51,17.88,16.92,3.04,2.35
2012-06-30,18.06,18.01,14.25,3.01,2.34
2012-03-31,17.35,20.05,14.01,2.96,2.29
2011-12-31,14.69,17.91,11.22,2.53,1.98
2011-09-30,12.69,16.65,9.32,2.27,1.75
2011-06-30,15.66,20.67,12.33,2.87,2.21
2011-03-31,15.68,19.36,11.88,2.87,2.26
2010-12-31,14.64,17.91,11.35,2.66,2.16
2010-09-30,13.46,16.56,11.88,2.49,2.00
2010-06-30,11.42,14.63,10.01,2.20,1.72
2010-03-31,12.69,15.91,11.48,2.48,1.94
2009-12-31,12.12,15.84,11.55,2.45,1.85
2009-09-30,12.05,17.92,12.21,2.55,1.91
2009-06-30,11.43,18.81,12.87,2.50,1.82
2009-03-31,9.12,17.12,9.98,2.10,1.37
2008-12-31,9.09,10.51,10.44,2.19,1.30
2008-09-30,11.83,12.96,14.59,2.75,1.74
2008-06-30,11.34,11.63,14.55,2.62,1.72
2008-03-31,12.02,12.21,17.92,2.93,1.99
2007-12-31,13.87,21.26,23.71,3.71,2.56
2007-09-30,12.72,19.27,22.17,3.51,2.17
2007-06-30,14.20,22.36,25.71,3.96,2.34
2007-03-31,13.27,20.73,25.66,3.70,2.15
2006-12-31,13.11,20.64,24.06,3.70,2.08
