Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,105.47,27.61,22.80,4.61,2.95
2020-06-30,98.79,26.99,25.48,4.49,2.81
2020-03-31,80.64,22.59,33.86,3.86,2.27
2019-12-31,98.02,27.15,32.79,4.94,2.81
2019-09-30,85.72,22.15,0.00,4.15,2.53
2019-06-30,80.72,21.70,0.00,3.77,2.45
2019-03-31,74.40,22.14,98.24,3.51,2.30
2018-12-31,71.63,19.36,34.10,2.95,2.28
2018-09-30,83.97,11.35,29.73,3.67,2.99
2018-06-30,85.77,11.80,52.27,3.82,3.29
2018-03-31,73.48,10.70,39.80,3.28,3.27
2017-12-31,90.63,22.72,40.94,4.50,4.84
2017-09-30,85.36,502.14,30.63,5.37,4.46
2017-06-30,69.69,199.12,20.31,4.61,3.66
2017-03-31,66.24,236.59,29.64,4.69,3.53
2016-12-31,53.70,34.42,17.68,3.60,2.85
2016-09-30,45.76,0.00,20.57,2.89,3.13
2016-06-30,43.69,0.00,636.87,2.86,2.71
2016-03-31,37.94,8.76,0.00,2.53,2.09
2015-12-31,36.63,10.12,0.00,2.57,1.97
2015-09-30,31.61,5.53,0.00,1.96,1.22
2015-06-30,48.75,7.91,0.00,2.95,1.89
2015-03-31,52.95,36.51,437.56,4.81,2.11
2014-12-31,52.59,22.96,36.84,4.48,2.04
2014-09-30,52.60,27.40,209.48,3.93,2.02
2014-06-30,65.31,40.07,269.87,4.92,2.41
2014-03-31,70.09,41.72,109.96,5.53,2.55
2013-12-31,68.95,32.37,55.84,5.74,2.42
2013-09-30,65.41,24.50,57.73,6.35,2.57
2013-06-30,55.58,17.42,45.32,4.74,2.29
2013-03-31,51.80,16.76,55.81,4.75,2.12
2012-12-31,53.03,17.65,39.75,4.70,2.16
2012-09-30,50.07,17.79,25.79,4.62,2.16
2012-06-30,48.27,17.43,21.27,4.78,2.07
2012-03-31,47.69,17.31,23.75,5.03,2.13
2011-12-31,38.70,15.18,24.57,4.14,1.83
2011-09-30,31.05,19.05,22.03,3.17,1.37
2011-06-30,38.54,24.24,35.55,3.89,1.75
2011-03-31,37.98,29.33,34.45,4.14,1.76
2010-12-31,35.67,30.35,24.27,4.29,1.68
2010-09-30,30.49,15.48,23.12,3.26,1.48
2010-06-30,25.55,16.02,19.59,3.05,1.26
2010-03-31,26.88,16.64,32.41,3.29,1.36
2009-12-31,24.71,15.89,25.12,3.16,1.28
2009-09-30,24.87,17.21,28.83,3.21,1.29
2009-06-30,20.87,11.72,17.75,2.75,1.06
2009-03-31,18.98,10.20,13.06,2.74,0.94
2008-12-31,19.62,9.79,13.86,2.94,0.96
2008-09-30,22.48,11.50,12.82,2.89,1.13
2008-06-30,33.80,20.24,17.87,4.16,1.82
2008-03-31,24.18,20.58,17.46,3.15,1.38
2007-12-31,23.72,27.83,23.04,3.35,1.40
2007-09-30,22.58,33.70,0.00,3.24,1.38
2007-06-30,19.36,29.67,0.00,2.85,1.22
2007-03-31,16.30,18.37,0.00,2.36,1.06
2006-12-31,16.50,16.14,0.00,2.50,1.12
