Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,32.37,14.99,8.43,1.75,1.55
2020-12-31,28.88,13.37,7.52,1.56,1.38
2020-09-30,27.97,10.59,8.62,1.54,1.39
2020-06-30,26.62,16.53,8.17,1.59,1.34
2020-03-31,22.69,10.60,7.11,1.35,1.13
2019-12-31,35.83,12.53,11.27,2.11,1.90
2019-09-30,31.05,13.04,8.58,1.87,1.68
2019-06-30,35.70,22.60,9.69,2.23,1.95
2019-03-31,34.85,41.00,25.77,2.51,2.44
2018-12-31,46.41,0.00,0.00,0.00,3.36
2018-09-30,44.51,0.00,134.83,0.00,5.52
2018-06-30,47.66,0.00,0.00,0.00,12.02
