Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,99.71,249.28,0.00,3.00,9.00
2020-12-31,85.12,212.80,0.00,2.56,7.68
2020-09-30,72.54,31.27,0.00,2.27,6.38
2020-06-30,82.96,23.24,0.00,2.48,7.07
2020-03-31,71.75,15.91,1549.73,2.09,5.75
2019-12-31,122.58,26.71,176.23,3.51,9.78
2019-09-30,128.59,38.04,82.03,3.77,10.24
2019-06-30,120.67,35.92,450.62,3.60,9.61
2019-03-31,128.22,40.71,105.78,3.84,10.22
2018-12-31,108.96,34.27,53.81,3.28,8.71
2018-09-30,116.75,37.18,0.00,3.54,9.42
2018-06-30,115.90,30.58,52.10,3.56,9.43
2018-03-31,105.48,26.37,210.00,3.25,8.72
2017-12-31,119.64,30.14,0.00,3.66,10.07
2017-09-30,111.05,27.09,101.08,3.44,9.53
2017-06-30,112.10,32.49,0.00,3.88,9.79
2017-03-31,117.47,36.94,0.00,4.09,10.34
2016-12-31,124.09,35.46,0.00,4.30,10.97
2016-09-30,133.48,36.37,452.32,4.63,11.89
2016-06-30,142.65,39.63,103.28,5.04,12.86
2016-03-31,133.66,38.74,86.79,4.81,12.21
2015-12-31,124.39,41.19,99.17,4.85,11.51
2015-09-30,115.44,45.09,114.27,4.51,10.86
2015-06-30,107.61,43.05,465.26,4.27,10.28
2015-03-31,122.89,48.96,1305.91,4.99,11.90
2014-12-31,110.75,45.96,0.00,4.49,10.87
2014-09-30,97.68,42.10,0.00,4.01,9.69
2014-06-30,98.99,38.52,0.00,4.12,9.92
2014-03-31,93.31,37.32,0.00,3.99,9.43
2013-12-31,81.90,33.29,220.21,3.71,8.39
2013-09-30,81.30,31.03,74.43,3.75,8.41
2013-06-30,82.48,36.17,79.26,3.92,8.50
2013-03-31,85.33,38.43,50.67,4.17,8.89
2012-12-31,81.58,34.57,45.07,4.03,8.61
2012-09-30,82.01,36.29,51.22,4.04,8.83
2012-06-30,80.52,33.55,42.52,4.08,8.92
2012-03-31,74.36,30.48,39.42,3.75,8.36
2011-12-31,69.23,30.50,42.38,3.55,7.84
2011-09-30,62.39,26.89,30.35,2.99,7.06
2011-06-30,63.97,31.05,30.22,3.18,7.25
2011-03-31,60.78,30.24,27.24,3.10,6.90
2010-12-31,57.59,29.09,21.07,3.18,6.52
2010-09-30,59.84,30.37,23.03,3.10,6.74
2010-06-30,51.07,26.33,19.53,2.63,5.75
2010-03-31,52.44,27.31,20.05,2.68,5.88
2009-12-31,48.33,29.83,18.69,2.45,5.44
2009-09-30,43.38,25.98,19.44,2.19,4.89
2009-06-30,36.04,19.48,17.20,1.91,4.04
2009-03-31,31.76,17.08,15.99,1.67,3.57
2008-12-31,42.26,19.21,27.56,2.17,4.79
2008-09-30,57.63,15.29,33.44,3.04,6.56
2008-06-30,46.12,12.99,27.17,2.44,5.28
2008-03-31,51.66,14.64,43.50,2.73,5.98
2007-12-31,54.00,15.74,39.68,2.84,6.31
2007-09-30,57.80,35.90,55.64,3.80,7.09
2007-06-30,50.06,31.09,43.61,3.26,6.20
2007-03-31,58.28,32.38,47.19,3.79,7.28
2006-12-31,54.33,28.29,43.77,3.83,6.81
