Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,63.88,41.75,14.38,2.80,3.02
2020-06-30,56.65,38.28,13.67,2.58,2.69
2020-03-31,46.16,28.67,13.26,2.14,2.11
2019-12-31,63.83,32.40,18.73,2.90,2.96
2019-09-30,57.23,7.51,17.32,2.68,2.77
2019-06-30,67.98,8.83,20.71,3.25,3.45
2019-03-31,69.89,8.66,20.01,3.41,3.73
2018-12-31,56.32,6.72,16.03,2.85,3.09
2018-09-30,70.09,22.18,19.33,4.19,4.44
2018-06-30,64.14,19.55,18.69,3.97,3.99
2018-03-31,64.42,20.58,20.48,5.46,3.98
2017-12-31,60.07,20.29,19.49,5.49,3.68
2017-09-30,58.71,22.16,22.03,5.87,3.67
2017-06-30,52.49,20.66,13.31,5.74,3.34
