Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,62.48,64.41,9.75,4.48,3.42
2020-06-30,75.30,0.00,11.21,5.21,4.30
2020-03-31,72.49,18.64,11.21,4.10,4.06
2019-12-31,62.39,14.82,9.58,3.49,3.55
2019-09-30,60.29,28.85,9.59,3.68,3.46
2019-06-30,63.67,13.81,10.78,3.55,3.68
2019-03-31,60.69,13.40,11.67,3.50,3.54
2018-12-31,57.83,13.90,10.12,3.44,3.43
2018-09-30,70.79,58.99,11.73,3.98,4.17
2018-06-30,64.45,38.83,10.06,3.84,3.66
2018-03-31,68.05,26.17,8.50,4.28,3.63
2017-12-31,64.20,18.45,7.49,4.10,3.24
2017-09-30,72.10,8.21,8.01,3.73,3.49
2017-06-30,62.59,6.80,6.09,3.54,2.93
2017-03-31,59.59,6.30,5.26,3.72,2.75
2016-12-31,62.35,6.27,5.19,4.22,2.80
2016-09-30,68.46,6.35,5.17,5.21,3.05
2016-06-30,71.74,6.32,5.63,5.93,3.21
2016-03-31,78.56,6.72,6.17,7.55,3.57
2015-12-31,86.13,7.23,6.39,6.41,4.04
2015-09-30,83.01,7.60,7.16,6.70,4.12
2015-06-30,98.84,10.37,8.73,8.75,5.39
2015-03-31,82.54,9.37,8.12,6.93,4.88
2014-12-31,79.29,10.74,10.65,7.51,5.27
2014-09-30,89.54,15.79,14.60,9.78,7.20
2014-06-30,69.74,15.60,16.95,6.48,6.71
2014-03-31,59.60,21.83,27.40,6.69,7.36
2013-12-31,63.17,34.52,36.73,8.25,9.51
2013-09-30,52.88,28.90,32.83,7.25,8.22
2013-06-30,43.13,24.16,26.98,5.81,6.82
2013-03-31,41.17,23.06,22.00,6.04,6.61
2012-12-31,30.89,18.78,17.48,4.92,5.00
2012-09-30,27.90,17.33,13.45,4.83,4.70
2012-06-30,21.57,12.99,9.71,4.03,3.74
2012-03-31,20.55,12.34,10.28,4.23,3.70
2011-12-31,17.21,9.70,7.76,3.78,3.27
2011-09-30,16.32,9.49,8.16,3.96,3.25
2011-06-30,17.42,10.49,9.09,4.35,3.62
2011-03-31,17.86,11.23,10.34,4.58,3.93
2010-12-31,15.24,9.24,9.60,3.99,3.40
2010-09-30,14.98,8.78,6.28,4.15,3.38
2010-06-30,14.42,8.74,8.51,3.70,3.39
2010-03-31,19.12,12.26,11.75,4.60,4.71
2009-12-31,18.20,12.86,11.93,5.03,4.86
2009-09-30,19.56,15.28,30.43,6.13,5.75
2009-06-30,19.70,16.69,17.67,6.71,6.25
2009-03-31,19.48,17.63,19.36,7.04,6.64
2008-12-31,21.51,20.58,20.33,8.76,7.76
2008-09-30,19.19,20.20,19.56,8.48,7.40
2008-06-30,22.27,24.74,26.16,10.89,9.16
2008-03-31,21.67,24.63,24.42,11.99,9.37
2007-12-31,19.35,23.10,23.47,10.43,8.82
2007-09-30,17.19,0.00,19.91,10.71,8.12
2007-06-30,16.32,0.00,18.95,12.14,8.26
2007-03-31,16.12,0.00,21.78,12.60,8.99
2006-12-31,13.65,0.00,22.53,13.87,8.44
