Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,32.21,161.04,26.27,1.91,2.47
2020-06-30,25.56,255.63,18.87,1.60,1.98
2020-03-31,20.08,62.75,56.74,1.24,1.51
2019-12-31,28.20,27.38,207.82,3.73,2.13
2019-09-30,27.44,20.48,0.00,1.60,2.06
2019-06-30,31.74,19.47,0.00,1.83,2.39
2019-03-31,31.40,13.54,69.26,1.79,2.52
2018-12-31,28.50,27.14,42.70,1.62,2.31
2018-09-30,33.11,0.00,50.11,1.86,2.75
2018-06-30,25.67,0.00,72.63,1.49,2.25
2018-03-31,25.84,0.00,1942.55,1.48,2.37
2017-12-31,29.46,0.00,131.83,1.60,2.81
2017-09-30,27.42,11.67,32.91,1.37,2.83
2017-06-30,27.39,12.34,26.98,1.37,2.92
2017-03-31,24.48,6.67,17.97,1.23,2.73
2016-12-31,21.88,6.75,17.79,1.13,2.64
2016-09-30,21.20,10.93,30.35,1.13,2.72
2016-06-30,18.25,9.97,24.67,0.96,2.47
2016-03-31,18.50,57.80,27.77,1.11,2.61
2015-12-31,16.07,16.56,13.66,0.96,2.34
2015-09-30,14.95,9.97,11.82,0.88,2.17
2015-06-30,17.11,8.26,12.28,1.00,2.51
2015-03-31,19.56,10.74,11.85,1.15,2.79
2014-12-31,19.67,11.37,7.73,1.16,2.79
2014-09-30,16.51,12.42,6.18,0.97,2.47
2014-06-30,18.65,20.96,7.96,1.10,2.96
2014-03-31,17.61,14.55,8.77,1.06,3.06
2013-12-31,14.99,11.19,12.40,0.99,2.82
2013-09-30,12.20,9.92,11.83,0.81,2.26
2013-06-30,11.82,9.16,11.75,0.80,2.21
2013-03-31,11.00,9.48,11.07,0.76,2.09
2012-12-31,10.34,9.15,11.08,0.71,1.95
2012-09-30,10.69,8.55,15.05,0.72,2.11
2012-06-30,10.44,7.35,14.20,0.73,2.08
2012-03-31,11.30,7.11,16.59,0.80,2.25
2011-12-31,10.36,5.89,21.67,0.74,2.09
2011-09-30,9.82,4.65,7.83,0.71,2.01
2011-06-30,14.37,6.84,11.86,1.06,3.12
2011-03-31,16.30,7.37,10.74,1.25,3.68
2010-12-31,15.23,6.74,8.51,1.22,3.63
2010-09-30,14.37,6.94,11.51,1.21,3.54
2010-06-30,12.65,6.39,9.68,1.16,3.17
2010-03-31,15.79,8.82,14.78,1.50,4.16
2009-12-31,15.04,11.75,19.53,1.50,4.37
2009-09-30,11.89,12.26,269.02,1.23,3.77
2009-06-30,12.43,11.84,75.18,1.39,3.89
2009-03-31,10.24,3.83,40.90,1.25,3.05
2008-12-31,7.32,2.22,51.28,0.84,1.96
2008-09-30,11.95,3.33,19.82,1.38,2.96
2008-06-30,17.56,5.05,37.97,2.02,4.36
2008-03-31,18.29,10.33,41.48,2.67,4.75
2007-12-31,18.21,13.59,36.04,3.01,4.98
2007-09-30,18.67,14.36,37.22,3.33,5.29
2007-06-30,19.31,16.23,50.63,3.72,5.74
2007-03-31,17.19,14.20,41.30,3.53,5.26
2006-12-31,14.14,12.09,35.61,3.05,4.36
