Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,41.64,17.42,6.30,1.17,0.49
2020-09-30,29.59,13.27,6.80,0.86,0.37
2020-06-30,25.30,24.10,85.44,0.81,0.31
2020-03-31,20.78,6.35,4.39,0.66,0.22
2019-12-31,36.14,7.89,12.02,1.10,0.38
2019-09-30,36.62,5.96,7.41,1.05,0.36
2019-06-30,37.28,5.93,17.69,1.11,0.37
2019-03-31,35.51,5.65,28.33,1.11,0.35
2018-12-31,31.70,5.73,72.81,1.04,0.31
2018-09-30,31.57,65.78,371.46,1.08,0.31
2018-06-30,36.54,0.00,0.00,1.32,0.37
2018-03-31,33.42,0.00,0.00,1.32,0.34
2017-12-31,37.32,0.00,0.00,1.44,0.39
2017-09-30,36.43,18.68,0.00,1.17,0.39
2017-06-30,31.19,5.43,0.00,0.99,0.32
2017-03-31,31.23,4.83,0.00,1.01,0.33
2016-12-31,30.46,5.08,0.00,1.04,0.32
2016-09-30,27.48,3.15,0.00,0.92,0.32
2016-06-30,24.19,3.10,0.00,0.88,0.28
2016-03-31,26.52,3.98,0.00,0.96,0.31
2015-12-31,28.35,4.73,0.00,1.05,0.34
2015-09-30,24.77,9.07,33.48,1.13,0.27
2015-06-30,27.17,10.06,0.00,1.22,0.30
2015-03-31,30.26,14.14,0.00,1.31,0.33
2014-12-31,27.95,17.04,0.00,1.24,0.30
2014-09-30,25.34,16.35,13.82,0.93,0.27
2014-06-30,28.54,23.98,8.62,1.07,0.31
2014-03-31,26.84,14.67,6.89,1.00,0.29
2013-12-31,31.59,13.44,10.45,1.10,0.33
2013-09-30,27.81,11.99,18.87,1.04,0.29
2013-06-30,25.75,9.33,21.29,0.91,0.27
2013-03-31,21.51,7.39,45.55,0.77,0.23
2012-12-31,22.29,7.61,14.71,0.84,0.25
2012-09-30,17.59,6.59,9.41,0.65,0.19
2012-06-30,15.24,5.43,12.18,0.57,0.17
2012-03-31,19.83,5.75,8.32,0.77,0.22
2011-12-31,15.67,3.39,13.63,0.63,0.18
2011-09-30,15.60,3.35,4.74,0.53,0.18
