Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,1752.64,48.15,29.99,5.32,7.05
2020-09-30,1465.60,28.32,32.05,4.67,6.29
2020-06-30,1418.05,31.19,33.64,4.66,6.33
2020-03-31,1161.95,23.45,29.72,3.90,5.18
2019-12-31,1339.39,27.23,32.22,4.58,6.17
2019-09-30,1221.14,26.20,19.78,4.33,5.88
2019-06-30,1082.80,21.86,29.25,3.91,5.47
2019-03-31,1176.89,29.52,34.14,4.46,6.21
2018-12-31,1044.96,23.91,34.33,4.09,5.73
2018-09-30,1207.08,45.41,39.73,4.95,6.98
2018-06-30,1129.19,48.90,39.90,4.85,6.84
2018-03-31,1037.14,44.02,36.77,4.48,6.64
2017-12-31,1053.40,58.65,33.08,4.80,7.13
2017-09-30,973.72,32.60,29.98,4.31,6.98
2017-06-30,929.68,33.75,27.33,4.34,7.01
2017-03-31,847.80,28.70,22.71,4.05,6.69
2016-12-31,792.45,28.47,22.73,3.94,6.56
2016-09-30,804.06,29.42,24.76,4.13,7.02
2016-06-30,703.53,27.26,25.60,3.78,6.42
2016-03-31,762.90,32.14,31.48,4.24,7.29
2015-12-31,778.01,33.94,34.78,4.44,7.72
2015-09-30,637.20,27.98,30.39,3.77,6.60
2015-06-30,540.04,25.56,26.02,3.31,5.76
2015-03-31,554.70,26.18,30.17,3.49,6.07
2014-12-31,530.66,25.23,32.64,3.48,5.85
2014-09-30,588.41,30.86,40.14,4.04,6.72
2014-06-30,584.67,30.21,41.91,4.13,6.83
2014-03-31,558.98,29.21,38.00,4.11,6.70
2013-12-31,562.09,29.48,36.65,4.32,7.01
2013-09-30,439.31,23.84,24.69,3.54,5.91
2013-06-30,441.55,25.50,24.10,3.73,5.96
2013-03-31,398.32,23.77,20.95,3.49,5.49
2012-12-31,354.79,21.95,17.67,3.26,5.11
2012-09-30,378.42,23.71,19.81,3.66,5.40
2012-06-30,290.93,17.26,14.97,2.94,4.48
2012-03-31,321.61,19.50,17.69,3.40,5.27
2011-12-31,323.95,20.72,19.05,3.62,5.59
2011-09-30,258.32,16.74,18.53,3.05,4.71
2011-06-30,253.97,17.36,20.67,3.15,4.95
2011-03-31,294.29,21.56,27.28,3.88,6.12
2010-12-31,297.90,22.64,27.27,4.14,6.56
2010-09-30,263.71,21.40,19.72,3.89,6.16
2010-06-30,223.16,19.36,15.92,3.50,5.47
2010-03-31,284.44,25.86,20.59,4.73,7.31
2009-12-31,310.95,30.44,23.35,5.49,8.38
2009-09-30,248.69,32.09,20.48,4.67,6.98
2009-06-30,211.45,28.97,19.36,4.23,6.03
2009-03-31,174.57,25.19,16.94,3.69,5.01
2008-12-31,154.30,22.88,17.84,3.44,4.50
2008-09-30,200.88,25.00,26.81,4.60,6.09
2008-06-30,264.03,34.72,40.85,6.40,8.54
2008-03-31,220.92,31.07,37.95,5.70,7.72
2007-12-31,346.81,52.23,65.03,9.57,13.20
2007-09-30,284.51,44.52,61.74,8.44,11.95
2007-06-30,262.16,44.58,70.24,8.30,12.21
2007-03-31,229.79,41.18,78.97,7.76,11.91
2006-12-31,230.95,46.52,85.23,8.38,13.45
