Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,94.40,0.00,9.52,4.49,0.75
2020-06-30,85.56,0.00,9.42,4.30,0.67
2020-03-31,65.67,16.06,15.21,2.77,0.50
2019-12-31,102.67,24.21,24.29,4.04,0.78
2019-09-30,95.54,17.53,23.04,3.79,0.76
2019-06-30,98.57,18.32,20.95,3.90,0.78
2019-03-31,105.81,19.63,18.55,4.33,0.82
2018-12-31,90.04,16.37,14.30,3.78,0.71
2018-09-30,92.55,18.66,12.80,3.71,0.74
2018-06-30,84.86,18.65,16.08,3.50,0.71
2018-03-31,82.43,19.17,17.15,3.40,0.72
2017-12-31,86.49,20.69,18.80,3.66,0.78
2017-09-30,86.45,19.34,21.15,3.74,0.81
2017-06-30,83.17,17.96,19.79,3.70,0.79
2017-03-31,82.25,17.80,16.03,3.75,0.79
2016-12-31,84.43,18.39,15.53,3.91,0.83
2016-09-30,88.19,19.01,15.12,3.93,0.87
2016-06-30,88.31,19.03,11.90,4.05,0.88
2016-03-31,86.07,18.55,12.17,3.97,0.86
2015-12-31,73.89,15.92,10.65,3.51,0.74
2015-09-30,70.81,15.26,10.71,3.37,0.70
2015-06-30,75.91,16.36,14.93,3.54,0.75
2015-03-31,78.49,16.92,16.01,3.75,0.78
2014-12-31,89.17,19.34,19.91,4.12,0.90
2014-09-30,72.98,16.18,15.99,3.18,0.75
2014-06-30,72.58,16.53,13.17,3.15,0.76
2014-03-31,71.32,15.85,12.60,3.21,0.77
2013-12-31,67.87,15.39,11.20,3.11,0.75
2013-09-30,65.56,14.67,11.71,3.21,0.75
2013-06-30,62.83,14.09,11.42,3.15,0.73
2013-03-31,62.33,15.02,12.80,3.14,0.75
2012-12-31,50.44,12.15,9.70,2.60,0.61
2012-09-30,48.04,12.07,9.52,2.43,0.58
2012-06-30,47.05,12.25,10.67,2.49,0.58
2012-03-31,48.60,13.07,11.83,2.62,0.60
2011-12-31,47.03,13.10,13.98,2.66,0.60
2011-09-30,38.74,11.13,11.74,2.09,0.50
2011-06-30,41.15,12.32,13.55,2.20,0.55
2011-03-31,40.21,12.73,12.58,2.20,0.55
2010-12-31,38.16,12.76,10.13,2.15,0.54
2010-09-30,32.88,11.50,8.95,1.86,0.48
2010-06-30,28.81,10.67,7.80,1.70,0.44
2010-03-31,30.53,11.88,7.40,1.81,0.48
2009-12-31,27.16,10.86,6.07,1.64,0.43
2009-09-30,26.94,11.08,6.43,1.64,0.43
2009-06-30,23.49,9.14,5.74,1.49,0.36
2009-03-31,20.66,7.57,6.67,1.37,0.31
2008-12-31,25.82,8.84,9.63,1.72,0.38
2008-09-30,27.13,8.70,9.30,1.63,0.40
2008-06-30,26.53,8.64,8.40,1.60,0.40
2008-03-31,26.65,8.83,8.40,1.64,0.41
2007-12-31,30.39,10.20,8.71,1.86,0.48
2007-09-30,32.57,11.12,10.76,2.02,0.52
2007-06-30,32.07,11.13,12.91,2.02,0.52
2007-03-31,31.45,11.15,11.72,2.05,0.51
2006-12-31,30.21,10.91,16.71,2.02,0.50
