Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,379.40,39.11,23.71,8.57,1.73
2020-09-30,353.91,30.56,22.12,8.00,1.63
2020-06-30,310.28,27.17,19.16,7.72,1.45
2020-03-31,244.20,17.46,13.90,6.43,1.14
2019-12-31,331.07,21.67,21.69,8.63,1.59
2019-09-30,289.31,16.94,18.07,7.52,1.41
2019-06-30,259.76,17.73,15.72,6.71,1.29
2019-03-31,289.87,20.50,19.19,7.47,1.45
2018-12-31,270.76,19.72,16.92,7.23,1.36
2018-09-30,341.14,26.90,20.65,9.15,1.75
2018-06-30,293.22,21.48,17.46,8.03,1.54
2018-03-31,267.15,23.94,16.84,7.77,1.44
2017-12-31,222.53,22.21,13.73,6.86,1.24
2017-09-30,168.25,20.03,10.83,5.04,0.97
2017-06-30,167.67,19.36,12.12,5.23,0.98
2017-03-31,214.72,21.95,15.74,6.54,1.28
2016-12-31,213.22,21.69,16.31,6.58,1.29
2016-09-30,205.28,18.46,18.04,5.66,1.26
2016-06-30,206.33,18.77,17.53,5.56,1.30
2016-03-31,210.83,18.41,18.61,5.47,1.37
2015-12-31,181.95,15.77,17.67,4.80,1.21
2015-09-30,192.04,16.87,19.21,4.93,1.29
2015-06-30,210.28,17.88,22.86,4.48,1.43
2015-03-31,208.54,18.21,25.65,4.35,1.43
2014-12-31,224.40,19.60,25.92,4.61,1.56
2014-09-30,220.61,19.17,26.57,4.33,1.56
2014-06-30,221.88,19.88,25.39,4.40,1.61
2014-03-31,219.54,19.51,21.82,4.51,1.62
2013-12-31,221.06,19.88,21.05,4.58,1.66
2013-09-30,225.73,20.35,21.46,4.65,1.72
2013-06-30,216.74,21.06,20.93,4.65,1.68
2013-03-31,192.65,19.48,21.26,4.16,1.51
2012-12-31,172.65,18.14,21.38,3.85,1.37
2012-09-30,177.05,18.86,22.99,4.15,1.43
2012-06-30,161.86,16.60,24.40,3.91,1.34
2012-03-31,181.10,19.14,24.24,4.42,1.54
2011-12-31,157.30,17.34,20.12,4.04,1.38
2011-09-30,125.18,14.13,18.65,3.32,1.14
2011-06-30,128.00,15.22,20.42,3.47,1.20
2011-03-31,114.19,14.64,17.51,3.30,1.11
2010-12-31,114.09,16.46,17.30,3.46,1.15
2010-09-30,97.97,15.38,11.81,3.15,1.02
2010-06-30,81.42,13.15,9.01,2.60,0.90
2010-03-31,88.07,15.53,9.72,2.72,1.02
2009-12-31,78.51,13.99,9.94,2.55,0.95
2009-09-30,72.11,12.58,9.68,2.27,0.88
2009-06-30,65.73,11.65,9.83,2.29,0.78
2009-03-31,56.02,9.56,11.39,2.06,0.65
2008-12-31,62.59,10.36,13.98,2.30,0.71
2008-09-30,68.67,11.58,19.05,2.45,0.79
2008-06-30,64.29,11.84,27.01,2.40,0.78
2008-03-31,59.76,11.47,23.48,2.30,0.77
2007-12-31,68.16,13.77,20.24,2.58,0.91
2007-09-30,70.73,14.74,20.67,2.82,0.98
2007-06-30,71.88,15.39,17.01,2.57,1.04
2007-03-31,59.42,13.26,14.45,2.24,0.89
2006-12-31,53.60,12.64,15.29,2.07,0.83
