Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,20.20,0.00,12.37,3.59,1.23
2020-12-31,18.90,0.00,11.57,3.36,1.15
2020-09-30,12.02,0.00,5.85,2.04,0.64
2020-06-30,12.91,0.00,5.53,2.18,0.60
2020-03-31,6.79,0.00,3.66,0.87,0.27
2019-12-31,23.98,0.00,18.99,2.62,0.94
2019-09-30,18.32,13.47,27.08,1.64,0.69
2019-06-30,21.89,14.40,46.13,2.01,0.81
2019-03-31,27.98,13.92,31.02,2.53,1.02
2018-12-31,25.38,13.43,16.50,2.32,0.93
2018-09-30,38.47,202.47,20.92,3.74,1.41
2018-06-30,42.58,387.05,18.57,4.23,1.60
2018-03-31,44.19,0.00,24.18,4.61,1.75
2017-12-31,45.82,0.00,31.82,4.79,1.93
2017-09-30,42.98,179.09,23.94,4.05,2.00
2017-06-30,39.70,0.00,20.12,3.86,2.01
2017-03-31,45.56,0.00,0.00,4.39,2.46
2016-12-31,49.91,0.00,0.00,4.57,2.70
2016-09-30,41.27,0.00,0.00,3.67,2.09
2016-06-30,41.48,0.00,0.00,3.65,1.90
2016-03-31,32.57,0.00,74.20,2.14,1.34
2015-12-31,30.87,0.00,29.59,1.71,1.11
2015-09-30,31.92,106.39,30.41,1.76,1.00
2015-06-30,38.71,21.87,25.97,2.10,1.08
2015-03-31,39.28,14.99,34.55,2.13,1.03
2014-12-31,35.06,8.53,26.74,1.82,0.91
2014-09-30,57.25,14.39,26.62,3.13,1.56
2014-06-30,62.88,18.72,23.42,3.66,1.80
2014-03-31,52.03,16.36,19.49,3.19,1.56
2013-12-31,44.72,18.40,23.00,2.79,1.39
2013-09-30,42.30,19.06,24.85,2.80,1.34
2013-06-30,36.56,17.58,31.56,2.17,1.18
2013-03-31,35.31,16.50,167.02,2.09,1.15
2012-12-31,30.22,10.64,58.05,1.78,0.98
2012-09-30,29.26,9.44,303.57,1.79,0.96
2012-06-30,24.59,7.71,54.99,1.56,0.82
2012-03-31,28.66,8.96,26.89,1.91,1.00
2011-12-31,29.73,9.65,30.76,2.07,1.10
2011-09-30,26.23,9.50,38.61,1.95,1.05
2011-06-30,43.73,16.69,104.18,3.44,1.90
2011-03-31,42.66,18.15,121.69,3.57,2.00
2010-12-31,34.88,17.27,85.90,3.06,1.77
2010-09-30,28.19,17.29,100.46,2.60,1.55
2010-06-30,20.86,15.80,44.05,2.02,1.23
2010-03-31,25.52,23.63,38.81,2.58,1.59
2009-12-31,25.41,20.01,42.28,2.62,1.56
2009-09-30,22.83,14.92,27.71,2.40,1.30
2009-06-30,17.36,14.23,20.43,1.88,0.91
2009-03-31,12.92,8.73,21.90,1.43,0.65
2008-12-31,15.10,8.88,16.15,1.75,0.75
2008-09-30,26.75,13.93,30.14,3.22,1.41
2008-06-30,43.74,16.02,39.15,5.05,2.44
2008-03-31,32.35,8.51,20.16,3.99,1.90
2007-12-31,31.11,8.41,22.08,3.99,1.95
2007-09-30,31.44,8.76,15.10,4.47,2.11
2007-06-30,28.17,8.33,10.74,4.28,2.03
2007-03-31,25.85,11.19,8.84,3.28,2.02
2006-12-31,25.23,11.34,8.65,3.41,2.06
