Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-10-31,265.24,22.94,15.83,185.93,2.28
2020-07-31,262.66,24.07,16.14,-682.58,2.39
2020-04-30,216.19,21.49,19.23,-66.65,2.11
2020-01-31,222.76,21.73,22.05,-76.99,2.22
2019-10-31,227.64,22.63,22.45,-229.31,2.28
2019-07-31,206.12,20.53,20.61,-194.74,2.10
2019-04-30,195.13,19.67,19.54,-100.25,2.02
2019-01-31,174.50,17.93,18.76,-102.68,1.85
2018-10-31,166.26,18.15,19.03,142.46,1.82
2018-07-31,185.77,21.88,21.54,105.87,2.07
2018-04-30,172.85,22.48,21.23,118.24,1.99
2018-01-31,186.83,25.66,21.73,148.80,2.20
2017-10-31,153.40,21.31,18.52,70.46,1.85
2017-07-31,137.61,19.77,18.20,45.73,1.71
2017-04-30,142.77,21.37,19.25,43.13,1.83
2017-01-31,125.07,19.39,18.82,34.72,1.64
2016-10-31,110.33,17.85,16.34,23.94,1.48
2016-07-31,124.36,20.97,17.50,23.09,1.70
2016-04-30,119.82,21.06,18.58,23.55,1.69
2016-01-31,111.94,20.50,18.15,22.19,1.63
2015-10-31,109.57,20.52,17.99,18.24,1.64
2015-07-31,103.17,20.07,18.10,15.34,1.59
2015-04-30,93.82,19.03,16.20,13.24,1.48
2015-01-31,91.09,19.30,17.90,12.77,1.48
2014-10-31,84.67,19.24,17.65,11.04,1.42
2014-07-31,69.84,16.63,13.97,8.20,1.20
2014-04-30,68.28,17.42,15.42,7.69,1.22
2014-01-31,65.62,17.50,14.87,7.23,1.20
2013-10-31,66.18,17.89,15.29,6.56,1.22
2013-07-31,66.79,19.76,15.97,6.19,1.27
2013-04-30,61.68,19.58,15.63,5.50,1.22
2013-01-31,55.96,18.65,14.80,4.67,1.13
2012-10-31,51.10,18.12,15.30,4.31,1.07
2012-07-31,43.22,15.49,12.74,3.69,0.93
2012-04-30,42.65,16.15,11.26,3.63,0.93
2012-01-31,36.33,14.77,10.40,3.12,0.81
2011-10-31,29.08,12.53,8.86,2.52,0.67
2011-07-31,28.16,12.63,9.66,2.42,0.66
2011-04-30,29.74,14.23,13.41,2.61,0.72
2011-01-31,29.24,14.47,13.57,2.51,0.72
2010-10-31,24.38,13.11,11.66,2.09,0.60
2010-07-31,22.31,12.67,8.79,1.91,0.56
2010-04-30,27.37,16.10,10.04,2.38,0.69
2010-01-31,21.60,13.76,8.43,1.89,0.55
2009-10-31,19.19,14.32,7.10,1.68,0.49
2009-07-31,19.68,14.26,8.11,1.75,0.49
2009-04-30,19.78,13.83,8.81,1.87,0.48
2009-01-31,16.00,11.94,7.05,1.53,0.38
2008-10-31,17.35,9.80,9.17,1.60,0.40
2008-07-31,17.39,9.06,11.65,1.58,0.40
2008-04-30,20.84,10.32,14.13,2.00,0.50
2008-01-31,21.98,9.39,16.41,2.10,0.54
2007-10-31,22.42,9.34,12.83,2.17,0.58
2007-07-31,26.28,10.39,14.88,1.91,0.70
2007-04-30,26.62,10.16,17.16,2.05,0.71
2007-01-31,28.47,10.21,13.79,2.24,0.75
2006-10-31,25.93,8.85,8.11,1.91,0.69
