Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,63.58,0.00,0.00,2.84,4.03
2020-09-30,40.74,0.00,0.00,1.82,2.44
2020-06-30,51.28,0.00,0.00,2.14,2.87
2020-03-31,32.79,0.00,0.00,1.23,1.58
2019-12-31,65.33,0.00,0.00,2.05,3.03
2019-09-30,58.90,0.00,0.00,1.76,2.79
2019-06-30,61.67,385.41,57.59,1.78,2.76
2019-03-31,58.17,0.00,88.76,1.68,2.65
2018-12-31,38.95,0.00,25.87,1.04,1.84
2018-09-30,68.50,0.00,8.44,1.84,3.37
2018-06-30,63.77,0.00,8.93,1.69,3.30
2018-03-31,48.06,0.00,7.33,1.24,2.69
2017-12-31,44.84,0.00,6.11,1.14,2.58
2017-09-30,44.04,0.00,0.00,0.97,2.55
2017-06-30,40.96,0.00,0.00,0.86,2.59
2017-03-31,44.76,0.00,0.00,0.93,2.79
2016-12-31,57.54,0.00,0.00,1.17,3.74
2016-09-30,49.33,0.00,0.00,0.75,3.02
2016-06-30,55.00,0.00,0.00,0.82,2.98
2016-03-31,47.97,0.00,0.00,0.70,2.26
2015-12-31,43.96,0.00,0.00,0.62,1.88
2015-09-30,45.17,0.00,0.00,0.58,1.70
2015-06-30,60.07,0.00,0.00,0.82,2.05
2015-03-31,60.74,12.47,233.60,0.81,1.92
2014-12-31,65.82,8.85,9.12,0.84,1.91
2014-09-30,83.78,6.33,7.20,1.03,2.45
2014-06-30,87.61,7.86,8.25,1.11,2.63
2014-03-31,73.24,5.93,5.69,0.95,2.20
2013-12-31,73.12,4.92,6.75,0.96,1.71
2013-09-30,67.92,6.31,8.52,0.96,1.57
2013-06-30,58.20,5.21,6.38,0.83,1.31
2013-03-31,62.59,7.25,117.16,0.95,1.38
2012-12-31,46.22,7.10,0.00,0.74,1.28
2012-09-30,46.80,10.49,0.00,0.77,0.84
2012-06-30,37.78,10.21,0.00,0.65,0.52
2012-03-31,51.14,13.22,0.00,0.91,0.56
2011-12-31,49.20,9.82,0.00,0.90,0.43
2011-09-30,45.36,8.13,0.00,0.82,0.41
2011-06-30,64.53,7.85,0.00,1.16,0.58
2011-03-31,73.45,9.68,0.00,1.38,0.70
2010-12-31,65.89,10.14,0.00,1.32,0.64
2010-09-30,50.83,6.85,38.57,1.05,0.50
2010-06-30,43.20,8.73,24.51,0.98,0.43
2010-03-31,53.58,13.04,40.91,1.25,0.55
2009-12-31,51.74,22.69,131.79,1.25,0.57
2009-09-30,45.64,48.04,0.00,1.15,0.52
2009-06-30,45.80,20.18,0.00,1.21,0.46
2009-03-31,46.11,9.77,0.00,1.24,0.40
2008-12-31,45.56,6.29,59.38,1.20,0.36
2008-09-30,69.58,7.68,21.97,1.85,0.52
2008-06-30,106.86,13.49,29.93,3.13,0.88
2008-03-31,74.61,10.80,25.31,2.24,0.68
2007-12-31,85.25,14.85,191.71,2.80,0.86
2007-09-30,56.17,10.64,0.00,1.89,0.61
2007-06-30,49.70,10.04,0.00,1.74,0.54
2007-03-31,46.68,9.43,0.00,1.72,0.52
2006-12-31,41.63,6.95,144.46,1.61,0.47
