Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,36.59,0.00,29.86,1.01,0.47
2020-09-30,19.40,0.00,15.83,0.53,0.25
2020-06-30,28.36,0.00,7.82,0.78,0.33
2020-03-31,23.54,19.29,3.24,0.62,0.23
2019-12-31,48.31,10.57,6.44,1.20,0.47
2019-09-30,50.76,10.13,5.50,1.26,0.50
2019-06-30,43.48,8.11,4.95,1.10,0.43
2019-03-31,45.93,7.47,7.11,1.19,0.46
2018-12-31,47.37,7.66,6.71,1.26,0.47
2018-09-30,64.41,7.77,11.32,1.71,0.66
2018-06-30,62.77,7.96,12.09,1.73,0.68
2018-03-31,44.61,7.10,7.58,1.28,0.52
2017-12-31,46.42,10.27,12.09,1.40,0.58
2017-09-30,32.36,17.03,8.61,1.05,0.43
2017-06-30,24.42,30.91,9.69,0.83,0.35
2017-03-31,24.88,0.00,25.62,0.84,0.38
2016-12-31,28.44,0.00,39.12,0.95,0.48
2016-09-30,21.03,0.00,0.00,0.71,0.36
2016-06-30,20.15,0.00,38.52,0.68,0.33
2016-03-31,29.59,10.57,53.86,0.93,0.45
2015-12-31,33.09,8.62,19.00,1.03,0.48
2015-09-30,40.24,13.64,34.78,1.20,0.53
2015-06-30,34.92,12.52,0.00,1.07,0.42
2015-03-31,32.68,18.15,363.49,1.03,0.36
2014-12-31,30.17,21.55,28.31,0.97,0.30
2014-09-30,34.50,12.15,18.01,1.03,0.34
2014-06-30,33.95,14.33,10.51,1.01,0.33
2014-03-31,36.36,13.17,13.33,1.09,0.36
2013-12-31,37.33,10.28,16.62,1.12,0.37
2013-09-30,31.09,5.93,7.16,0.91,0.31
2013-06-30,31.04,3.99,4.83,0.90,0.31
2013-03-31,36.71,4.13,5.71,1.08,0.38
2012-12-31,32.74,3.89,5.06,1.00,0.34
2012-09-30,28.55,3.78,4.11,0.91,0.28
2012-06-30,23.82,3.36,5.04,0.82,0.23
2012-03-31,21.16,3.26,3.27,0.76,0.20
2011-12-31,15.13,2.47,2.49,0.54,0.14
2011-09-30,16.50,3.18,4.69,0.61,0.17
2011-06-30,21.47,6.72,5.62,1.47,0.24
2011-03-31,18.75,9.26,8.08,1.46,0.23
2010-12-31,12.55,12.94,19.22,1.04,0.16
2010-09-30,8.81,20.03,11.47,0.74,0.12
2010-06-30,8.10,41.56,0.00,0.71,0.12
2010-03-31,8.46,0.00,0.00,0.77,0.14
2009-12-31,7.73,37.71,0.00,0.68,0.16
2009-09-30,7.68,6.95,0.00,0.74,0.19
2009-06-30,5.36,3.91,0.00,0.52,0.12
2009-03-31,6.27,4.68,0.00,0.66,0.13
2008-12-31,5.35,4.44,0.00,0.57,0.09
2008-09-30,8.43,7.33,5.78,1.64,0.14
2008-06-30,10.71,9.15,7.99,2.23,0.19
2008-03-31,12.55,5.07,3.37,2.55,0.26
2007-12-31,14.65,4.90,6.26,2.60,0.34
2007-09-30,17.19,5.81,12.97,2.81,0.45
2007-06-30,21.27,6.81,7.53,3.65,0.57
2007-03-31,16.97,6.78,8.40,3.74,0.47
2006-12-31,14.69,6.40,13.71,3.49,0.43
