Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,116.91,0.00,33.30,0.00,5.73
2020-09-30,85.32,0.00,24.30,-17.95,4.18
2020-06-30,73.45,612.08,11.98,-15.78,2.90
2020-03-31,68.24,26.66,16.37,-20.92,2.14
2019-12-31,110.74,36.43,22.57,-65.45,3.41
2019-09-30,92.82,29.19,17.53,-132.15,2.92
2019-06-30,97.29,35.77,22.71,-1217.61,3.14
2019-03-31,82.59,32.52,19.19,223.10,2.75
2018-12-31,71.23,28.38,18.36,37.63,2.45
2018-09-30,79.97,18.30,22.36,40.94,2.87
2018-06-30,78.21,17.86,25.30,41.69,2.92
2018-03-31,77.67,18.58,25.67,14.09,3.04
2017-12-31,78.61,20.21,32.50,14.76,3.17
2017-09-30,68.22,620.22,27.36,15.12,3.16
2017-06-30,60.61,465.89,24.48,13.01,2.91
2017-03-31,57.15,168.00,24.12,11.80,2.80
2016-12-31,79.56,75.75,26.36,4.48,3.99
2016-09-30,66.87,14.29,19.98,3.40,5.19
2016-06-30,65.52,13.23,14.55,3.41,4.09
2016-03-31,65.27,13.86,14.13,3.47,3.44
2015-12-31,61.82,14.61,6.11,3.42,2.86
2015-09-30,66.07,29.36,6.59,4.20,1.94
2015-06-30,79.14,39.96,8.68,5.14,2.37
2015-03-31,85.08,39.94,9.20,6.06,2.61
2014-12-31,74.94,36.73,22.77,5.22,2.35
2014-09-30,70.75,42.87,8.52,4.89,2.21
