Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,212.70,31.65,28.23,8.33,4.64
2020-09-30,163.84,23.51,23.13,6.28,3.53
2020-06-30,143.10,17.60,18.26,5.47,2.99
2020-03-31,131.48,15.11,16.17,5.17,2.63
2019-12-31,172.97,20.57,20.70,6.58,3.45
2019-09-30,164.52,19.22,23.75,6.42,3.29
2019-06-30,169.76,17.98,23.05,6.76,3.27
2019-03-31,153.77,17.05,20.50,5.90,2.86
2018-12-31,127.16,14.14,17.03,5.05,2.30
2018-09-30,154.30,44.09,19.02,6.20,2.73
2018-06-30,132.93,62.12,17.89,5.55,2.40
2018-03-31,132.69,58.71,19.55,5.58,2.46
2017-12-31,140.13,67.37,21.55,6.31,2.67
2017-09-30,128.86,19.52,20.17,4.62,2.51
2017-06-30,120.60,18.70,18.66,4.46,2.37
2017-03-31,112.40,17.81,17.10,4.19,2.22
2016-12-31,103.73,16.92,18.18,4.04,2.05
2016-09-30,103.19,16.33,18.72,4.06,2.05
2016-06-30,102.43,16.21,17.97,4.11,2.05
2016-03-31,98.15,15.91,17.88,4.07,1.99
2015-12-31,90.21,14.91,15.96,3.77,1.85
2015-09-30,82.00,14.33,15.15,3.53,1.67
2015-06-30,87.87,15.72,18.32,3.69,1.77
2015-03-31,89.45,16.38,18.92,3.96,1.78
2014-12-31,85.26,16.00,16.93,3.75,1.68
2014-09-30,79.04,14.86,16.25,3.25,1.56
2014-06-30,78.52,15.43,16.61,3.27,1.56
2014-03-31,77.97,15.63,16.74,3.38,1.58
2013-12-31,76.44,15.54,17.91,3.41,1.56
2013-09-30,69.11,17.07,17.27,3.60,1.44
2013-06-30,65.71,16.39,16.96,3.72,1.38
2013-03-31,62.08,16.04,17.65,3.61,1.31
2012-12-31,51.99,14.05,15.61,3.11,1.09
2012-09-30,48.60,16.31,14.12,2.88,1.02
2012-06-30,45.14,15.67,14.56,2.92,0.95
2012-03-31,49.03,17.76,14.66,3.23,1.04
2011-12-31,43.10,16.58,16.72,3.06,0.94
2011-09-30,34.58,9.97,16.43,2.27,0.77
2011-06-30,46.59,15.48,15.76,2.99,1.07
2011-03-31,46.43,17.93,15.56,3.09,1.10
2010-12-31,41.10,18.60,9.00,2.98,0.99
2010-09-30,33.76,12.74,6.67,2.52,0.84
2010-06-30,29.77,10.60,6.07,2.52,0.75
2010-03-31,34.30,12.21,6.85,2.89,0.86
2009-12-31,29.47,10.34,6.61,2.51,0.74
2009-09-30,27.72,9.53,6.58,2.20,0.66
2009-06-30,23.23,7.54,6.28,2.04,0.52
2009-03-31,20.42,5.94,5.78,2.03,0.43
2008-12-31,23.83,6.35,5.99,2.41,0.49
2008-09-30,29.84,8.09,7.15,2.27,0.61
2008-06-30,35.92,10.18,8.17,2.61,0.75
2008-03-31,40.13,11.98,9.23,3.09,0.87
2007-12-31,43.58,13.79,10.41,3.53,0.98
2007-09-30,41.91,14.11,10.61,3.79,0.99
2007-06-30,39.48,14.00,10.64,3.79,0.97
2007-03-31,32.17,12.05,9.11,2.74,0.82
2006-12-31,31.43,12.42,10.13,2.59,0.83
