Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-10-31,48.43,29.00,34.72,4.07,2.75
2020-07-31,50.35,29.44,31.89,4.33,2.84
2020-04-30,46.16,26.99,32.77,4.03,2.62
2020-01-31,46.34,25.60,40.73,4.08,2.65
2019-10-31,39.88,22.16,32.62,3.60,2.29
2019-07-31,39.78,21.98,26.69,3.60,2.28
2019-04-30,38.56,21.07,24.38,3.50,2.19
2019-01-31,40.65,23.23,28.07,3.81,2.31
2018-10-31,41.71,22.31,26.32,3.98,2.37
2018-07-31,34.23,19.02,20.43,3.37,1.95
2018-04-30,34.32,19.61,20.15,3.44,1.98
2018-01-31,32.33,19.02,19.27,3.32,1.89
2017-10-31,29.19,18.47,19.28,3.12,1.72
2017-07-31,31.83,19.65,23.02,3.53,1.85
2017-04-30,32.51,19.82,25.74,3.67,1.87
2017-01-31,33.47,20.29,25.71,3.87,1.91
2016-10-31,35.33,21.54,24.24,4.19,2.01
2016-07-31,34.15,22.24,25.81,4.11,1.99
2016-04-30,35.10,24.29,24.51,4.32,2.07
2016-01-31,36.48,26.43,22.34,4.64,2.16
2015-10-31,30.53,24.04,19.06,4.03,1.78
2015-07-31,26.66,21.50,15.75,3.58,1.53
2015-04-30,24.37,19.89,16.55,3.35,1.39
2015-01-31,22.86,19.88,22.65,3.23,1.31
2014-10-31,23.95,21.48,21.64,3.50,1.39
2014-07-31,20.02,18.37,23.21,2.95,1.19
2014-04-30,21.01,20.11,21.45,3.16,1.27
2014-01-31,19.94,19.64,15.40,3.07,1.21
2013-10-31,18.98,19.57,18.96,3.02,1.17
2013-07-31,18.43,19.92,17.68,3.19,1.16
2013-04-30,17.88,19.44,21.45,3.14,1.14
2013-01-31,14.94,16.06,20.59,2.69,0.97
2012-10-31,12.62,13.57,17.40,2.35,0.83
2012-07-31,11.87,13.18,19.67,2.16,0.78
2012-04-30,12.29,14.05,21.23,2.31,0.83
2012-01-31,12.11,14.50,17.71,2.33,0.82
2011-10-31,12.33,14.18,16.86,2.45,0.85
2011-07-31,12.07,13.72,14.40,2.41,0.84
2011-04-30,12.20,14.23,13.22,2.47,0.86
2011-01-31,10.20,12.75,12.17,2.13,0.75
2010-10-31,9.44,12.93,12.75,2.09,0.71
2010-07-31,8.78,12.59,11.48,2.02,0.70
2010-04-30,8.30,12.15,11.59,1.96,0.67
2010-01-31,7.84,11.40,10.35,1.89,0.65
2009-10-31,7.34,11.61,8.53,1.85,0.61
2009-07-31,7.19,12.73,12.08,1.78,0.58
2009-04-30,6.23,12.05,10.73,1.59,0.50
2009-01-31,5.91,11.59,18.17,1.55,0.47
2008-10-31,5.56,10.70,20.49,1.49,0.45
2008-07-31,7.08,12.26,16.17,1.89,0.60
2008-04-30,7.67,13.12,17.07,2.05,0.66
2008-01-31,7.51,13.23,12.91,2.07,0.66
2007-10-31,7.04,12.97,17.99,2.03,0.63
2007-07-31,6.61,12.72,19.08,1.88,0.61
2007-04-30,7.29,13.88,22.97,2.09,0.68
2007-01-31,7.22,13.82,17.22,2.12,0.69
2006-10-31,6.85,13.37,19.74,2.09,0.67
