Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,141.83,24.88,19.55,14.27,3.70
2020-06-30,127.56,25.01,19.16,15.11,3.38
2020-03-31,129.61,24.50,19.74,16.11,3.41
2019-12-31,143.08,26.25,20.46,17.12,3.78
2019-09-30,150.09,24.73,22.99,17.83,4.00
2019-06-30,129.16,22.35,20.34,16.08,3.47
2019-03-31,110.05,20.46,18.31,16.13,2.96
2018-12-31,102.05,18.29,16.30,15.18,2.76
2018-09-30,96.47,19.97,16.79,16.19,2.64
2018-06-30,87.38,17.98,15.07,17.19,2.41
2018-03-31,92.26,19.50,18.04,19.51,2.59
2017-12-31,105.11,28.72,22.48,23.79,2.99
2017-09-30,100.48,29.91,22.90,25.23,2.86
2017-06-30,98.23,31.28,28.85,23.98,2.81
2017-03-31,99.40,34.64,29.63,25.01,2.85
2016-12-31,93.57,27.93,26.95,24.00,2.71
2016-09-30,85.95,22.74,22.73,19.49,2.53
2016-06-30,101.47,29.67,26.72,27.87,3.02
2016-03-31,81.81,36.04,19.22,19.92,2.47
2015-12-31,78.80,34.11,19.30,16.31,2.36
2015-09-30,80.55,35.96,26.45,18.63,2.39
2015-06-30,77.37,30.46,21.89,14.13,2.30
2015-03-31,87.40,23.24,35.71,14.55,2.62
2014-12-31,89.56,23.76,42.38,13.03,2.72
2014-09-30,81.78,22.22,30.82,11.24,2.51
2014-06-30,82.96,22.36,28.01,11.44,2.59
2014-03-31,88.51,24.18,25.74,11.84,2.79
2013-12-31,82.06,22.73,21.79,11.37,2.61
2013-09-30,77.68,22.52,21.15,12.86,2.55
2013-06-30,74.59,23.38,19.84,14.84,2.49
2013-03-31,72.78,23.63,19.93,14.63,2.47
2012-12-31,59.74,20.67,16.69,12.75,2.06
2012-09-30,58.30,20.46,20.84,13.05,2.07
2012-06-30,58.93,20.04,45.00,12.27,2.13
2012-03-31,49.89,17.15,32.98,12.58,1.83
2011-12-31,49.94,18.23,47.73,12.77,1.89
2011-09-30,47.60,17.56,25.64,11.23,1.83
2011-06-30,45.41,17.27,16.91,9.87,1.77
2011-03-31,43.14,19.00,15.68,10.70,1.71
2010-12-31,37.17,16.82,12.19,9.00,1.51
2010-09-30,37.26,17.17,12.87,9.81,1.53
2010-06-30,37.28,17.75,11.47,11.55,1.55
2010-03-31,33.07,14.96,9.06,9.52,1.39
2009-12-31,27.42,14.43,6.75,8.22,1.18
2009-09-30,29.53,17.27,9.17,10.55,1.28
2009-06-30,27.16,17.63,13.96,13.49,1.18
2009-03-31,25.99,18.43,18.10,15.26,1.14
2008-12-31,25.76,18.94,18.44,16.71,1.15
2008-09-30,29.07,23.44,13.39,10.75,1.31
2008-06-30,23.91,24.65,8.95,8.93,1.10
2008-03-31,27.25,34.06,11.47,10.98,1.27
2007-12-31,28.27,30.73,11.38,10.83,1.32
2007-09-30,33.05,24.85,12.70,13.91,1.56
2007-06-30,35.82,19.57,12.94,14.30,1.70
2007-03-31,38.48,17.25,13.79,14.16,1.84
2006-12-31,34.88,14.97,15.89,11.75,1.69
