Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-18,378.33,13.83,10.19,3.18,0.65
2020-09-30,413.25,13.25,11.13,3.47,0.74
2020-06-30,386.55,14.70,9.15,3.55,0.73
2020-03-31,312.54,16.04,10.31,3.34,0.62
2019-12-31,364.06,18.13,10.78,4.00,0.76
2019-09-30,253.57,13.47,9.00,2.89,0.55
2019-06-30,262.56,14.32,103.10,2.99,0.59
2019-03-31,262.71,20.56,0.00,3.27,0.62
2018-12-31,282.34,23.24,25.03,3.77,0.69
2018-09-30,333.04,30.67,0.00,4.31,0.84
2018-06-30,292.38,30.30,13.65,3.94,0.75
2018-03-31,263.64,20.73,11.78,3.60,0.70
2017-12-31,242.83,14.56,10.02,3.40,0.66
2017-09-30,238.10,18.73,9.14,3.03,0.66
2017-06-30,234.77,19.17,6.48,3.10,0.65
2017-03-31,200.80,20.39,5.86,2.83,0.56
2016-12-31,198.07,50.53,21.21,2.77,0.55
2016-09-30,171.44,23.58,5.73,2.27,0.47
2016-06-30,174.34,27.33,24.96,2.39,0.48
2016-03-31,177.03,24.69,36.18,2.51,0.49
2015-12-31,172.47,20.46,75.34,2.47,0.48
2015-09-30,172.66,19.85,148.94,2.47,0.49
2015-06-30,184.20,21.77,540.33,2.71,0.54
2015-03-31,171.18,21.95,52.17,2.55,0.53
2014-12-31,137.89,18.81,19.72,2.14,0.44
2014-09-30,124.84,20.14,21.17,1.89,0.42
2014-06-30,122.12,18.34,17.04,1.88,0.43
2014-03-31,107.54,15.15,11.16,1.71,0.40
2013-12-31,98.24,12.76,12.22,1.62,0.38
2013-09-30,88.60,9.76,9.33,1.44,0.35
2013-06-30,79.87,8.51,0.00,1.34,0.32
2013-03-31,65.21,7.31,0.00,1.12,0.27
2012-12-31,64.50,8.65,6.97,1.15,0.27
2012-09-30,65.68,8.79,0.00,1.20,0.28
2012-06-30,72.24,9.61,3.15,1.38,0.31
2012-03-31,85.98,10.65,4.36,1.70,0.38
2011-12-31,81.23,9.62,7.82,1.65,0.37
2011-09-30,67.24,8.54,3.16,1.40,0.31
2011-06-30,74.22,9.87,6.76,1.63,0.36
2011-03-31,64.25,9.44,5.37,1.50,0.32
2010-12-31,50.29,7.77,4.23,1.22,0.25
2010-09-30,46.16,6.31,3.33,1.12,0.24
2010-06-30,41.96,6.19,3.39,1.10,0.22
2010-03-31,42.97,6.66,3.74,1.20,0.23
2009-12-31,40.32,6.56,5.51,1.19,0.22
2009-09-30,34.27,6.01,4.68,1.05,0.19
2009-06-30,29.64,5.92,5.90,0.99,0.17
2009-03-31,23.96,5.23,5.27,0.87,0.14
2008-12-31,34.25,8.94,8.04,1.30,0.20
2008-09-30,37.85,8.95,25.79,1.50,0.23
2008-06-30,36.54,7.43,0.00,1.47,0.23
2008-03-31,41.21,8.31,0.00,1.72,0.27
2007-12-31,69.19,14.09,11.62,2.92,0.46
2007-09-30,64.20,14.59,6.20,2.91,0.44
2007-06-30,55.96,15.67,4.80,2.79,0.39
2007-03-31,53.30,18.90,4.40,2.83,0.39
2006-12-31,50.81,17.52,5.68,2.77,0.40
