Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-12-31,499.87,74.50,80.11,67.50,16.00
2020-09-30,393.11,68.49,76.57,76.02,13.17
2020-06-30,330.16,62.41,78.25,102.71,11.62
2020-03-31,242.24,48.45,73.97,190.40,8.61
2019-12-31,261.13,53.51,75.15,125.51,9.50
2019-09-30,271.93,56.42,80.47,115.21,10.16
2019-06-30,275.33,59.47,86.20,138.19,10.58
2019-03-31,223.60,50.47,73.44,370.94,8.76
2018-12-31,186.02,43.56,57.88,-1735.26,7.45
2018-09-30,249.66,67.11,78.60,-15901.91,10.22
2018-06-30,217.94,62.99,65.11,-462.23,9.17
2018-03-31,191.39,60.19,56.66,-339.95,8.37
2017-12-31,156.38,53.19,46.86,-253.00,7.12
2017-09-30,155.49,50.32,49.10,-280.52,7.34
2017-06-30,161.42,55.28,52.75,-163.93,7.84
2017-03-31,154.61,57.05,50.77,-183.95,7.71
2016-12-31,117.27,47.87,38.88,-95.33,6.01
2016-09-30,112.73,47.97,41.12,183.90,5.96
2016-06-30,92.86,42.02,38.91,-978.50,5.05
2016-03-31,78.32,37.84,40.51,-95.05,4.44
2015-12-31,72.92,35.57,49.17,-78.13,4.28
2015-09-30,74.29,40.38,79.02,-174.59,4.58
2015-06-30,64.14,34.21,57.75,694.91,4.10
2015-03-31,77.24,42.32,65.80,212.14,5.13
2014-12-31,74.14,41.65,41.64,29.87,5.12
2014-09-30,58.92,30.68,28.22,24.78,4.12
2014-06-30,66.79,36.40,34.98,14.86,4.89
2014-03-31,60.70,34.10,34.42,12.16,4.62
2013-12-31,53.19,30.57,34.10,10.58,4.19
2013-09-30,49.83,28.97,31.08,9.68,4.07
2013-06-30,44.85,26.85,29.89,8.59,3.77
2013-03-31,46.20,28.34,32.42,7.94,3.97
2012-12-31,46.40,29.27,31.61,7.95,4.03
2012-09-30,49.68,32.47,36.45,8.80,4.40
2012-06-30,48.07,32.48,34.30,8.94,4.34
2012-03-31,43.73,30.36,32.04,8.49,4.05
2011-12-31,38.48,27.68,26.59,7.86,3.69
2011-09-30,34.49,25.26,24.86,6.62,3.39
2011-06-30,38.78,29.27,31.72,7.24,3.94
2011-03-31,38.61,31.65,31.67,7.41,4.07
2010-12-31,34.61,29.21,29.44,6.91,3.74
2010-09-30,30.86,27.31,25.14,6.48,3.39
2010-06-30,30.45,27.68,27.48,6.69,3.40
2010-03-31,28.78,27.02,26.32,6.66,3.27
2009-12-31,26.73,26.59,25.67,6.05,3.14
2009-09-30,25.00,26.46,34.00,5.86,3.04
2009-06-30,23.10,25.81,36.07,5.75,2.84
2009-03-31,17.29,18.49,27.79,4.57,2.11
2008-12-31,18.04,19.29,42.11,4.88,2.20
2008-09-30,27.40,29.15,55.87,7.45,3.37
2008-06-30,24.37,26.13,52.47,6.77,3.08
2008-03-31,24.63,31.38,51.18,6.86,3.29
2007-12-31,29.32,40.02,54.00,8.16,4.10
2007-09-30,27.40,38.05,44.36,7.97,4.08
2007-06-30,23.66,33.44,37.43,7.50,3.72
2007-03-31,21.91,29.81,45.98,6.59,3.68
2006-12-31,19.83,27.92,39.95,6.15,3.54
