Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,181.48,37.11,27.17,5.73,5.90
2020-06-30,156.77,32.06,23.05,5.23,5.02
2020-03-31,136.54,25.10,22.04,4.61,4.23
2019-12-31,169.55,30.55,27.11,5.70,5.19
2019-09-30,161.04,28.96,25.83,5.66,4.94
2019-06-30,168.66,30.33,29.05,6.06,5.19
2019-03-31,148.19,27.14,26.14,5.46,4.59
2018-12-31,122.91,23.24,22.50,4.68,3.84
2018-09-30,146.20,27.95,27.81,5.45,4.62
2018-06-30,132.03,26.73,24.75,5.10,4.26
2018-03-31,137.44,29.62,27.89,5.24,4.54
2017-12-31,126.93,29.11,24.86,5.16,4.29
2017-09-30,116.48,29.87,23.69,4.93,4.03
2017-06-30,108.02,28.96,22.31,4.79,3.80
2017-03-31,89.07,24.47,18.25,4.15,3.16
2016-12-31,85.46,24.14,18.14,4.23,3.10
2016-09-30,88.44,24.10,19.90,4.34,3.27
2016-06-30,77.29,20.45,17.85,3.93,2.90
2016-03-31,77.71,21.12,17.75,3.96,2.99
2015-12-31,71.51,19.70,17.56,3.79,2.77
2015-09-30,66.27,18.83,16.39,3.56,2.56
2015-06-30,72.73,21.52,19.08,3.89,2.79
2015-03-31,69.89,20.74,18.87,3.77,2.67
2014-12-31,71.47,20.78,17.95,3.79,2.70
2014-09-30,66.18,18.96,16.48,3.32,2.51
2014-06-30,73.57,21.70,17.31,3.64,2.86
2014-03-31,66.16,20.23,14.73,3.30,2.62
2013-12-31,66.82,21.55,14.87,3.45,2.73
2013-09-30,58.83,70.88,13.71,3.17,2.45
2013-06-30,48.32,74.35,11.97,2.68,2.03
2013-03-31,47.76,88.44,13.09,2.66,2.04
2012-12-31,41.42,98.63,11.93,2.34,1.78
2012-09-30,37.00,15.17,12.50,1.90,1.59
2012-06-30,34.34,14.19,11.95,1.81,1.48
2012-03-31,36.94,15.59,13.60,1.94,1.63
2011-12-31,32.40,13.90,13.90,1.78,1.47
2011-09-30,27.07,11.98,12.38,1.50,1.28
2011-06-30,39.68,18.45,21.92,2.18,1.98
2011-03-31,37.63,18.44,20.41,2.12,1.95
2010-12-31,33.59,17.59,17.95,2.00,1.82
2010-09-30,30.37,16.78,13.79,1.86,1.71
2010-06-30,24.31,14.22,9.66,1.56,1.41
2010-03-31,28.05,17.98,11.55,1.77,1.67
2009-12-31,26.29,18.92,11.11,1.68,1.59
2009-09-30,23.50,18.21,10.03,1.53,1.42
2009-06-30,20.55,14.57,9.41,1.38,1.21
2009-03-31,18.20,11.16,8.07,1.27,1.03
2008-12-31,19.99,10.80,8.43,1.40,1.11
2008-09-30,25.55,12.65,10.34,1.68,1.42
2008-06-30,30.23,15.12,13.10,1.96,1.72
2008-03-31,25.09,12.87,10.91,1.67,1.48
2007-12-31,29.42,15.51,13.82,2.06,1.78
2007-09-30,29.54,15.83,14.50,2.15,1.84
2007-06-30,31.19,15.89,17.01,2.38,2.00
2007-03-31,27.36,14.50,16.68,2.15,1.82
2006-12-31,25.41,14.01,14.42,2.09,1.78
