Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2021-02-19,139.50,52.84,28.40,2.45,3.12
2020-09-30,121.60,36.41,24.75,2.14,2.71
2020-06-30,120.81,32.48,25.21,2.15,2.69
2020-03-31,100.09,23.94,23.43,1.83,2.19
2019-12-31,125.60,31.48,28.18,2.15,2.77
2019-09-30,118.73,35.13,28.52,2.09,2.48
2019-06-30,139.54,40.80,34.23,2.40,2.92
2019-03-31,123.25,35.52,33.97,2.14,2.57
2018-12-31,127.74,30.86,40.84,2.25,2.65
2018-09-30,131.63,37.18,41.43,2.99,2.91
2018-06-30,116.68,31.03,36.46,5.25,2.59
2018-03-31,128.16,32.95,42.16,5.69,2.90
2017-12-31,142.12,38.31,40.59,6.64,3.32
2017-09-30,132.49,25.38,37.91,5.94,3.19
2017-06-30,124.56,25.16,32.10,5.86,3.09
2017-03-31,121.71,24.20,24.08,5.89,3.07
2016-12-31,107.70,21.33,20.00,5.23,2.76
2016-09-30,129.97,26.31,25.20,6.08,3.40
2016-06-30,114.09,22.24,24.59,5.42,3.00
2016-03-31,102.51,20.67,22.05,5.00,2.73
2015-12-31,107.27,21.20,23.41,5.38,2.87
2015-09-30,92.15,17.49,19.26,4.64,2.44
2015-06-30,97.02,18.41,19.15,4.81,2.57
2015-03-31,103.78,19.47,21.75,5.34,2.73
2014-12-31,89.24,17.64,19.21,4.73,2.36
2014-09-30,84.04,17.84,20.45,4.15,2.24
2014-06-30,90.96,19.77,23.04,4.61,2.46
2014-03-31,83.12,18.51,21.63,4.44,2.27
2013-12-31,74.39,17.34,20.27,4.13,2.07
2013-09-30,70.89,16.22,17.42,4.02,2.00
2013-06-30,64.43,19.12,27.56,3.83,1.84
2013-03-31,65.43,20.38,32.55,4.07,1.89
2012-12-31,56.53,18.24,23.20,3.68,1.64
2012-09-30,50.36,19.60,55.89,3.28,1.48
2012-06-30,46.06,13.67,20.08,3.06,1.35
2012-03-31,48.98,15.21,28.36,3.30,1.43
2011-12-31,43.58,13.37,56.87,3.18,1.27
2011-09-30,46.47,12.77,39.05,3.14,1.36
2011-06-30,52.83,14.71,56.32,3.59,1.56
2011-03-31,51.01,14.62,29.93,3.72,1.53
2010-12-31,45.31,13.90,17.31,3.62,1.38
2010-09-30,39.36,12.41,14.88,3.31,1.22
2010-06-30,34.22,11.88,10.93,3.22,1.08
2010-03-31,38.25,14.38,11.31,3.72,1.25
2009-12-31,32.83,13.34,11.46,3.37,1.12
2009-09-30,30.08,12.08,10.86,3.12,1.04
2009-06-30,25.78,10.07,13.02,2.83,0.89
2009-03-31,23.82,8.57,15.79,2.90,0.80
2008-12-31,23.04,8.03,13.30,3.12,0.77
2008-09-30,30.34,10.72,14.47,3.29,1.03
2008-06-30,29.85,10.66,11.70,3.65,1.06
2008-03-31,33.47,11.79,11.76,4.62,1.26
2007-12-31,36.38,12.81,12.82,4.77,1.42
2007-09-30,39.76,14.46,21.15,5.87,1.60
2007-06-30,39.05,14.20,17.79,3.51,1.62
2007-03-31,35.22,13.81,17.69,3.34,1.49
2006-12-31,36.50,14.96,14.93,3.61,1.60
