Date,Stock Price,PE Ratio,Price to FCF Ratio,Price to Book Ratio,Price to Sales Ratio
2020-09-30,309.08,71.71,49.33,9.60,14.16
2020-06-30,370.35,79.13,52.61,11.85,16.39
2020-03-31,273.12,43.01,43.17,8.66,11.41
2019-12-31,331.74,49.15,58.70,10.57,13.93
2019-09-30,304.22,46.45,65.31,10.07,13.08
2019-06-30,368.15,58.44,78.54,12.49,16.11
2019-03-31,310.69,54.32,56.33,11.22,13.61
2018-12-31,299.93,53.94,52.82,11.47,13.36
2018-09-30,367.06,79.62,65.86,15.01,16.78
2018-06-30,279.29,63.62,54.92,12.25,13.32
2018-03-31,236.42,61.41,54.30,11.31,11.90
2017-12-31,218.49,44.05,57.23,11.68,11.71
2017-09-30,199.20,37.30,55.94,10.19,11.33
2017-06-30,173.52,34.02,51.95,9.33,10.29
2017-03-31,170.64,33.79,45.21,9.77,10.40
2016-12-31,128.04,40.91,36.51,8.24,7.90
2016-09-30,181.66,60.76,40.17,11.50,11.36
2016-06-30,140.38,48.24,29.71,9.62,9.02
2016-03-31,162.11,58.31,36.65,11.52,10.71
2015-12-31,191.95,61.92,44.48,15.22,12.89
2015-09-30,176.00,51.31,63.45,13.31,12.26
2015-06-30,218.36,66.78,84.94,17.61,15.66
2015-03-31,185.64,64.24,67.84,16.48,13.94
2014-12-31,184.58,77.88,69.57,18.12,14.78
2014-09-30,163.92,86.27,61.14,18.27,13.87
2014-06-30,178.54,119.83,76.80,23.04,16.08
2014-03-31,148.66,103.24,83.57,12.13,14.05
2013-12-31,110.59,128.59,50.38,9.21,10.57
2013-09-30,80.83,97.39,41.92,7.43,8.08
2013-06-30,74.84,90.17,43.07,6.74,7.77
2013-03-31,53.98,71.97,29.76,5.12,5.83
2012-12-31,55.59,49.19,33.31,5.23,6.45
2012-09-30,48.19,69.84,27.22,4.86,5.95
2012-06-30,40.39,65.15,19.68,4.21,5.26
2012-03-31,52.61,79.71,27.53,5.60,6.92
2011-12-31,30.48,49.16,15.11,3.46,4.12
2011-09-30,40.92,52.46,20.88,4.80,5.51
2011-06-30,75.15,86.38,44.60,8.00,10.25
2011-03-31,70.07,81.48,41.22,8.11,10.30
2010-12-31,63.34,73.65,40.79,6.70,9.95
2010-09-30,49.20,70.29,33.51,5.55,8.39
2010-06-30,43.53,75.05,35.96,5.22,8.12
2010-03-31,38.90,70.73,41.57,5.03,7.75
2009-12-31,30.68,57.89,35.19,4.24,6.32
2009-09-30,42.50,64.39,57.86,5.31,8.96
2009-06-30,38.94,81.13,47.98,5.14,8.00
2009-03-31,37.24,89.73,48.84,5.36,7.83
2008-12-31,26.05,68.55,123.46,3.95,5.83
2008-09-30,40.53,324.24,0.00,5.88,9.42
2008-06-30,43.56,142.80,0.00,10.13,11.26
2008-03-31,37.95,140.56,0.00,9.49,10.71
2007-12-31,29.63,0.00,100.30,7.97,9.08
2007-09-30,25.94,0.00,79.69,8.83,9.12
2007-06-30,20.30,0.00,49.37,7.63,7.95
2007-03-31,14.65,0.00,39.19,5.91,6.47
2006-12-31,19.66,49.14,80.22,7.45,10.14
